"","MEturquoise","MEblack","MEgreen","MEred","MEblue","MEbrown","MEyellow"
"AST-1065",-0.376888660639594,-0.216998917536496,-0.0949965451113006,0.199699043429697,0.286960796205489,0.238036595295416,0.404609781517885
"AST-1147",0.404762957517102,0.34466439119346,0.501015253960084,-0.0282866033309687,-0.0424885701128082,-0.394623348344261,-0.210293257780308
"AST-1412",0.0349473660732526,-0.381548823984601,-0.100558494212308,0.0704895680177924,-0.11883215529518,0.121633813924932,0.0679949942771731
"AST-1560",0.0256923730290649,-0.140950989616554,-0.287117304681243,-0.735121974223651,0.388227786145747,0.258398474536887,0.000116596106894639
"AST-1567",0.357795225611235,-0.204988588401909,-0.0691291583936128,-0.235724321366444,0.0399282151889515,-0.136901177074226,-0.053020841270579
"AST-1617",-0.0586871099602836,0.289767660123118,-0.173038104590658,0.0160001075815778,0.0474166303808075,0.103662666986891,0.113495923255033
"AST-1722",0.0930337627244818,0.116408947162888,-0.0317387945743774,-0.260516015049074,0.151851956519089,-0.440403973800434,-0.573170969830972
"AST-2000",0.148115595140806,-0.115057618943976,-0.152684212827559,-0.091935234199484,0.0106237778782841,0.077076584588516,-0.122582615444749
"AST-2007",-0.123590143945116,-0.050936769423777,0.238762883606329,0.323488889588085,0.0871216394727523,0.0925553822036738,0.317937057789346
"AST-2302",0.0623963296683938,0.133612882072763,-0.259319734590214,0.112910059014603,0.136675717220195,-0.306355563012706,0.0642168583752653
"AST-2360",0.153155314797164,-0.0128627619541694,0.106962304431201,0.297721926882472,-0.342889829072896,0.0375270793186218,-0.106768473247928
"AST-2398",0.292891859297496,0.32840297413192,0.0322545131723106,0.0169422500820766,-0.0725663716037338,-0.386600676662976,-0.150891411440084
"AST-2404",0.0597413669564766,-0.185597955588201,-0.0775666870238754,0.0971717824885825,-0.177141241070487,-0.0331227072780238,0.287323962985541
"AST-2412",0.00368002516809933,-0.0297499685740441,-0.0300175373921432,0.0282825550084002,-0.364284347479573,0.043098200006082,0.192816269980097
"AST-2512",-0.273929771956595,-0.259291189219249,0.258992304564028,0.0598963686406531,-0.420405053994681,0.298158117520324,0.0238193495020292
"AST-2523",-0.34073435209241,0.219001749635569,0.00523723904284054,-0.0933827162605622,-0.0794297875382662,-0.127958719997557,0.0249689693276932
"AST-2563",-0.447166170274701,0.331227496591609,-0.196987654832916,-0.018224785994354,-0.162248387693196,0.27389477288259,0.15847221854441
"AST-2729",-0.0666926779927325,-0.320846221980839,-0.212116960179211,0.22906363910982,0.347700147583131,0.154893898739065,-0.0671945727907723
"AST-2755",0.0514767108778621,0.155743704312487,0.542046689632624,0.0115254605807785,0.283779077266373,0.127030580167184,-0.371849839855974
