"","PlugID","Fraction","initial.mass.g","dry.pan.mass.g","burnt.pan.mass.g","Area_cm","vol_mL","Site","Treatment","Timepoint","dry.pan.mass.g.ml","burnt.pan.mass.g.ml","dry.pan.mass.g.vol.corr","burnt.pan.mass.g.vol.corr","dry.bioimass.g","DW.mg.cm2","AFDW.mg.cm2"
"1","AST-1343","Host",1.1116,1.1582,1.1534,17.451,50,"ENDV","Ambient","TP4",0.28955,0.28835,14.4775,14.4175,0.0599999999999987,765.910263022176,3.43819838404669
"2","AST-2539","Host",1.1434,1.1866,1.1806,7.357,23,"FW","Ambient","TP2",0.29665,0.29515,6.82295,6.78845,0.0344999999999995,771.992660051652,4.68941144488236
"3","AST-2000","Host",1.1279,1.1673,1.1644,5.645,23,"FW","Ambient","TP5",0.291825,0.2911,6.711975,6.6953,0.0166749999999993,989.207263064659,2.95394154118677
"4","AST-2873","Host",1.1355,1.1743,1.1708,4.21,13,"FW","Heat","TP0",0.293575,0.2927,3.816475,3.8051,0.0113749999999992,636.811163895487,2.70190023752951
"5","AST-2404","Host",1.1364,1.176,1.1738,2.17,30,"FW","Heat","TP5",0.294,0.29345,8.82,8.8035,0.0165000000000006,3540.82949308756,7.60368663594499
"6","AST-2523","Symbiont",1.1225,1.1263,1.1261,1.03,10,"FW","Ambient","TP7",0.22526,0.22522,2.2526,2.2522,0.000399999999999956,1097.18446601942,0.388349514563064
"7","AST-1647","Host",1.1763,1.2207,1.2156,14.396,44,"ENDV","Heat","TP7",0.305175,0.3039,13.4277,13.3716,0.0560999999999972,851.028063350931,3.89691580994701
"8","AST-2412","Symbiont",1.118,1.1214,1.1213,4.334,18,"FW","Heat","TP5",0.22428,0.22426,4.03704,4.03668,0.000359999999999694,673.520996769728,0.0830641439777789
"9","AST-2729","Host",1.1182,1.159,1.1561,3.795,25,"FW","Heat","TP7",0.28975,0.289025,7.24375,7.225625,0.0181250000000013,1614.11067193676,4.77602108036924
"10","AST-1058","Host",1.1218,1.1632,1.1575,3.579,11,"ENDV","Ambient","TP1",0.2908,0.289375,3.1988,3.183125,0.0156749999999999,580.329701033808,4.37971500419108
"11","AST-1761","Symbiont",1.1383,1.1442,1.1423,4.327,12,"FW","Heat","TP2",0.22884,0.22846,2.74608,2.74152,0.00455999999999968,371.569216547261,1.05384793159225
"12","AST-2561","Host",1.127,1.1471,1.1409,3.602,9,"ENDV","Heat","TP3",0.286775,0.285225,2.580975,2.567025,0.0139499999999999,403.657690172127,3.87284841754578
"13","AST-2060","Host",1.1405,1.1915,1.1812,1.521,8,"FW","Ambient","TP4",0.297875,0.2953,2.383,2.3624,0.0206,816.89677843524,13.5437212360289
"14","AST-1194","Host",1.1522,1.1827,1.179,3.402,10,"ENDV","Ambient","TP4",0.295675,0.29475,2.95675,2.9475,0.0092500000000002,530.4379776602,2.7189888301
