Well ,485,Run
A1,2.307,1
B1,2.309,1
C1,1.781,1
D1,1.839,1
E1,1.182,1
F1,1.286,1
G1,0.963,1
H1,1.035,1
A2,0.726,1
B2,0.698,1
C2,0.398,1
D2,0.403,1
E2,0.267,1
F2,0.235,1
G2,0.11,1
H2,0.109,1
A3,0.078,1
B3,0.08,1
C3,0.646,1
D3,0.678,1
E3,0.362,1
F3,0.363,1
G3,0.427,1
H3,0.422,1
A4,0.19,1
B4,0.189,1
C4,0.518,1
D4,0.518,1
E4,0.696,1
F4,0.711,1
G4,0.494,1
H4,0.486,1
A5,0.83,1
B5,0.79,1
C5,0.277,1
D5,0.272,1
E5,0.481,1
F5,0.487,1
G5,0.254,1
H5,0.276,1
A6,0.426,1
B6,0.415,1
C6,0.162,1
D6,0.162,1
E6,0.387,1
F6,0.386,1
G6,0.746,1
H6,0.814,1
A7,0.496,1
B7,0.434,1
C7,0.136,1
D7,0.13,1
E7,0.641,1
F7,0.63,1
G7,0.626,1
H7,0.653,1
A8,0.578,1
B8,0.565,1
C8,0.309,1
D8,0.303,1
E8,0.377,1
F8,0.367,1
G8,0.327,1
H8,0.309,1
A9,0.553,1
B9,0.544,1
C9,0.982,1
D9,0.962,1
E9,0.537,1
F9,0.529,1
G9,0.284,1
H9,0.281,1
A10,0.728,1
B10,0.783,1
C10,0.31,1
D10,0.301,1
E10,0.326,1
F10,0.338,1
G10,0.723,1
H10,0.698,1
A11,0.387,1
B11,0.379,1
C11,0.171,1
D11,0.166,1
E11,0.203,1
F11,0.203,1
G11,0.214,1
H11,0.214,1
A12,0.616,1
B12,0.557,1
C12,0.361,1
D12,0.346,1
E12,0.632,1
F12,0.623,1
G12,0.426,1
H12,0.438,1
A1,2.151,2
B1,2.99,2
C1,1.956,2
D1,1.945,2
E1,1.197,2
F1,1.24,2
G1,0.992,2
H1,1.006,2
A2,0.707,2
B2,0.71,2
C2,0.405,2
D2,0.408,2
E2,0.261,2
F2,0.256,2
G2,0.119,2
H2,0.116,2
A3,0.086,2
B3,0.086,2
C3,0.436,2
D3,0.431,2
E3,0.293,2
F3,0.286,2
G3,0.569,2
H3,0.588,2
A4,0.53,2
B4,0.517,2
C4,0.374,2
D4,0.372,2
E4,0.929,2
F4,0.977,2
G4,0.628,2
H4,0.641,2
A5,0.599,2
B5,0.607,2
C5,0.325,2
D5,0.316,2
E5,0.55,2
F5,0.542,2
G5,0.327,2
H5,0.335,2
A6,0.446,2
B6,0.44,2
C6,0.565,2
D6,0.554,2
E6,1.17,2
F6,1.159,2
G6,0.335,2
H6,0.334,2
A7,0.521,2
B7,0.461,2
C7,0.32,2
D7,0.324,2
E7,0.635,2
F7,0.638,2
G7,0.28,2
H7,0.281,2
A8,0.413,2
B8,0.406,2
C8,0.778,2
D8,0.776,2
E8,1.235,2
F8,1.22,2
G8,0.29,2
H8,0.29,2
A9,0.78,2
B9,0.798,2
C9,0.733,2
D9,0.711,2
E9,0.275,2
F9,0.268,2
G9,0.317,2
H9,0.316,2
A10,0.393,2
B10,0.377,2
C10,0.762,2
D10,0.819,2
E10,0.23,2
F10,0.223,2
G10,0.249,2
H10,0.246,2
A11,0.346,2
B11,0.331,2
C11,0.261,2
D11,0.264,2
E11,0.263,2
F11,0.25,2
G11,0.215,2
H11,0.212,2
A12,0.439,2
B12,0.447,2
C12,0.84,2
D12,0.828,2
E12,1.052,2
F12,1.049,2
G12,0.476,2
H12,0.478,2
A1,2.117,3
B1,2.112,3
C1,1.651,3
D1,1.682,3
E1,1.212,3
F1,1.186,3
G1,0.959,3
H1,0.944,3
A2,0.709,3
B2,0.694,3
C2,0.42,3
D2,0.396,3
E2,0.252,3
F2,0.249,3
G2,0.112,3
H2,0.108,3
A3,0.081,3
B3,0.081,3
C3,0.542,3
D3,0.508,3
E3,0.331,3
F3,0.332,3
G3,0.215,3
H3,0.175,3
A4,1.03,3
B4,1.067,3
C4,0.27,3
D4,0.275,3
E4,0.339,3
F4,0.334,3
G4,0.248,3
H4,0.259,3
A5,0.319,3
B5,0.312,3
C5,0.565,3
D5,0.559,3
E5,0.277,3
F5,0.276,3
G5,1.279,3
H5,1.186,3
A6,0.173,3
B6,0.172,3
C6,0.655,3
D6,0.648,3
E6,0.714,3
F6,0.685,3
G6,0.597,3
H6,0.591,3
A7,1.523,3
B7,1.498,3
C7,0.694,3
D7,0.705,3
E7,0.977,3
F7,0.916,3
G7,0.935,3
H7,0.936,3
A8,1.59,3
B8,1.549,3
C8,0.294,3
D8,0.295,3
E8,0.525,3
F8,0.515,3
