Well,562
A1,2.151
B1,2.99
C1,1.956
D1,1.945
E1,1.197
F1,1.24
G1,0.992
H1,1.006
A2,0.707
B2,0.71
C2,0.405
D2,0.408
E2,0.261
F2,0.256
G2,0.119
H2,0.116
A3,0.086
B3,0.086
C3,0.436
D3,0.431
E3,0.293
F3,0.286
G3,0.569
H3,0.588
A4,0.53
B4,0.517
C4,0.374
D4,0.372
E4,0.929
F4,0.977
G4,0.628
H4,0.641
A5,0.599
B5,0.607
C5,0.325
D5,0.316
E5,0.55
F5,0.542
G5,0.327
H5,0.335
A6,0.446
B6,0.44
C6,0.565
D6,0.554
E6,1.17
F6,1.159
G6,0.335
H6,0.334
A7,0.521
B7,0.461
C7,0.32
D7,0.324
E7,0.635
F7,0.638
G7,0.28
H7,0.281
A8,0.413
B8,0.406
C8,0.778
D8,0.776
E8,1.235
F8,1.22
G8,0.29
H8,0.29
A9,0.78
B9,0.798
C9,0.733
D9,0.711
E9,0.275
F9,0.268
G9,0.317
H9,0.316
A10,0.393
B10,0.377
C10,0.762
D10,0.819
E10,0.23
F10,0.223
G10,0.249
H10,0.246
A11,0.346
B11,0.331
C11,0.261
D11,0.264
E11,0.263
F11,0.25
G11,0.215
H11,0.212
A12,0.439
B12,0.447
C12,0.84
D12,0.828
E12,1.052
F12,1.049
G12,0.476
H12,0.478
