Well,562
A1,2.307
B1,2.309
C1,1.781
D1,1.839
E1,1.182
F1,1.286
G1,0.963
H1,1.035
A2,0.726
B2,0.698
C2,0.398
D2,0.403
E2,0.267
F2,0.235
G2,0.11
H2,0.109
A3,0.078
B3,0.08
C3,0.646
D3,0.678
E3,0.362
F3,0.363
G3,0.427
H3,0.422
A4,0.19
B4,0.189
C4,0.518
D4,0.518
E4,0.696
F4,0.711
G4,0.494
H4,0.486
A5,0.83
B5,0.79
C5,0.277
D5,0.272
E5,0.481
F5,0.487
G5,0.254
H5,0.276
A6,0.426
B6,0.415
C6,0.162
D6,0.162
E6,0.387
F6,0.386
G6,0.746
H6,0.814
A7,0.496
B7,0.434
C7,0.136
D7,0.13
E7,0.641
F7,0.63
G7,0.626
H7,0.653
A8,0.578
B8,0.565
C8,0.309
D8,0.303
E8,0.377
F8,0.367
G8,0.327
H8,0.309
A9,0.553
B9,0.544
C9,0.982
D9,0.962
E9,0.537
F9,0.529
G9,0.284
H9,0.281
A10,0.728
B10,0.783
C10,0.31
D10,0.301
E10,0.326
F10,0.338
G10,0.723
H10,0.698
A11,0.387
B11,0.379
C11,0.171
D11,0.166
E11,0.203
F11,0.203
G11,0.214
H11,0.214
A12,0.616
B12,0.557
C12,0.361
D12,0.346
E12,0.632
F12,0.623
G12,0.426
H12,0.438
