Well,ID
A1,StandardA
B1,StandardA
C1,StandardB
D1,StandardB
E1,StandardC
F1,StandardC
G1,StandardD
H1,StandardD
A2,StandardE
B2,StandardE
C2,StandardF
D2,StandardF
E2,StandardG
F2,StandardG
G2,StandardH
H2,StandardH
A3,StandardI
B3,StandardI
C3,FLD-0020
D3,FLD-0020
E3,AST-2198
F3,AST-2198
G3,AST-1409
H3,AST-1409
A4,AST-2669
B4,AST-2669
C4,AST-2873
D4,AST-2873
E4,FLD-0003
F4,FLD-0003
G4,AST-1486
H4,AST-1486
A5,AST-2520
B5,AST-2520
C5,AST-1416
D5,AST-1416
E5,AST-1618
F5,AST-1618
G5,AST-2360
H5,AST-2360
A6,AST-2375
B6,AST-2375
C6,AST-1692
D6,AST-1692
E6,AST-1499
F6,AST-1499
G6,AST-1288
H6,AST-1288
A7,AST-1087
B7,AST-1087
C7,AST-1617
D7,AST-1617
E7,AST-1105
F7,AST-1105
G7,FLD-0014
H7,FLD-0014
A8,AST-1649
B8,AST-1649
C8,AST-1696
D8,AST-1696
E8,AST-1578
F8,AST-1578
G8,AST-2404
H8,AST-2404
A9,AST-1080
B9,AST-1080
C9,FLD-0010
D9,FLD-0010
E9,AST-1647
F9,AST-1647
G9,AST-2007
H9,AST-2007
A10,AST-1722
B10,AST-1722
C10,AST-1159
D10,AST-1159
E10,AST-2000
F10,AST-2000
G10,FLD-1693
H10,FLD-1693
A11,AST-1694
B11,AST-1694
C11,AST-1065
D11,AST-1065
E11,AST-1174
F11,AST-1174
G11,AST-2523
H11,AST-2523
A12,AST-2538
B12,AST-2538
C12,AST-1630
D12,AST-1630
E12,AST-2539
F12,AST-2539
G12,AST-1568
H12,AST-1568
