Well,ID
A1,StandardA
B1,StandardA
C1,StandardB
D1,StandardB
E1,StandardC
F1,StandardC
G1,StandardD
H1,StandardD
A2,StandardE
B2,StandardE
C2,StandardF
D2,StandardF
E2,StandardG
F2,StandardG
G2,StandardH
H2,StandardH
A3,StandardI
B3,StandardI
C3,AST-1496
D3,AST-1496
E3,AST-1126
F3,AST-1126
G3,FLD-0004
H3,FLD-0004
A4,AST-2533
B4,AST-2533
C4,AST-1058
D4,AST-1058
E4,AST-2016
F4,AST-2016
G4,AST-1748
H4,AST-1748
A5,AST-1689
B5,AST-1689
C5,AST-1148
D5,AST-1148
E5,FLD-2550
F5,FLD-2550
G5,AST-1540
H5,AST-1540
A6,AST-1562
B6,AST-1562
C6,FLD-0005
D6,FLD-0005
E6,AST-2755
F6,AST-2755
G6,AST-1325
H6,AST-1325
A7,AST-2403
B7,AST-2403
C7,FLD-0017
D7,FLD-0017
E7,AST-1719
F7,AST-1719
G7,AST-2044
H7,AST-2044
A8,AST-2563
B8,AST-2563
C8,AST-1337
D8,AST-1337
E8,AST-1735
F8,AST-1735
G8,FLD-0040
H8,FLD-0040
A9,AST-1146
B9,AST-1146
C9,AST-1037
D9,AST-1037
E9,AST-1473
F9,AST-1473
G9,AST-1343
H9,AST-1343
A10,AST-2197
B10,AST-2197
C10,FLD-0022
D10,FLD-0022
E10,AST-1182
F10,AST-1182
G10,AST-1152
H10,AST-1152
A11,AST-1563
B11,AST-1563
C11,AST-1075
D11,AST-1075
E11,AST-1585
F11,AST-1585
G11,FLD-0002
H11,FLD-0002
A12,AST-2209
B12,AST-2209
C12,AST-1273
D12,AST-1273
E12,AST-2302
F12,AST-2302
G12,FLD-0023
H12,FLD-0023
