Well,562
A1,2.117
B1,2.112
C1,1.651
D1,1.682
E1,1.212
F1,1.186
G1,0.959
H1,0.944
A2,0.709
B2,0.694
C2,0.42
D2,0.396
E2,0.252
F2,0.249
G2,0.112
H2,0.108
A3,0.081
B3,0.081
C3,0.542
D3,0.508
E3,0.331
F3,0.332
G3,0.215
H3,0.175
A4,1.03
B4,1.067
C4,0.27
D4,0.275
E4,0.339
F4,0.334
G4,0.248
H4,0.259
A5,0.319
B5,0.312
C5,0.565
D5,0.559
E5,0.277
F5,0.276
G5,1.279
H5,1.186
A6,0.173
B6,0.172
C6,0.655
D6,0.648
E6,0.714
F6,0.685
G6,0.597
H6,0.591
A7,1.523
B7,1.498
C7,0.694
D7,0.705
E7,0.977
F7,0.916
G7,0.935
H7,0.936
A8,1.59
B8,1.549
C8,0.294
D8,0.295
E8,0.525
F8,0.515
G8,0.496
H8,0.499
A9,1.325
B9,1.341
C9,0.186
D9,0.177
E9,1.539
F9,1.565
G9,0.288
H9,0.284
A10,0.205
B10,0.202
C10,1.498
D10,1.511
E10,0.249
F10,0.252
G10,0.414
H10,0.406
A11,0.787
B11,0.743
C11,1.014
D11,1.013
E11,0.665
F11,0.676
G11,0.594
H11,0.594
A12,0.358
B12,0.351
C12,0.715
D12,0.661
E12,0.434
F12,0.416
G12,0.319
H12,0.322
