Well,ID
A1,StandardA
B1,StandardA
C1,StandardB
D1,StandardB
E1,StandardC
F1,StandardC
G1,StandardD
H1,StandardD
A2,StandardE
B2,StandardE
C2,StandardF
D2,StandardF
E2,StandardG
F2,StandardG
G2,StandardH
H2,StandardH
A3,StandardI
B3,StandardI
C3,AST-2211
D3,AST-2211
E3,AST-2867
F3,AST-2867
G3,AST-1290
H3,AST-1290
A4,FLD-0001
B4,FLD-0001
C4,AST-2731
D4,AST-2731
E4,AST-1492
F4,AST-1492
G4,AST-2208
H4,AST-2208
A5,AST-1434
B5,AST-1434
C5,AST-3002
D5,AST-3002
E5,AST-1450
F5,AST-1450
G5,FLD-0029
H5,FLD-0029
A6,AST-2512
B6,AST-2512
C6,AST-1443
D6,AST-1443
E6,AST-2859
F6,AST-2859
G6,AST-2561
H6,AST-2561
A7,FLD-1214
B7,FLD-1214
C7,AST-1147
D7,AST-1147
E7,AST-2378
F7,AST-2378
G7,FLD-0006
H7,FLD-0006
A8,FLD-0027
B8,FLD-0027
C8,AST-1560
D8,AST-1560
E8,AST-1432
F8,AST-1432
G8,AST-1567
H8,AST-1567
A9,FLD-2024
B9,FLD-2024
C9,AST-1698
D9,AST-1698
E9,FLD-0021
F9,FLD-0021
G9,AST-1117
H9,AST-1117
A10,AST-1189
B10,AST-1189
C10,FLD-0007
D10,FLD-0007
E10,AST-2870
F10,AST-2870
G10,AST-2738
H10,AST-2738
A11,AST-1748
B11,AST-1748
C11,FLD-0038
D11,FLD-0038
E11,FLD-0042
F11,FLD-0042
G11,AST-1761
H11,AST-1761
A12,AST-1742
B12,AST-1742
C12,AST-2398
D12,AST-2398
E12,AST-1041
F12,AST-1041
G12,AST-1498
H12,AST-1498
