"","colony_id","Light_Value","Run","micromol.cm2.s","micromol.cm2.h"
"1","AST-1337","0",1,1.26315590189305e-05,0.0454736124681497
"2","AST-1337","133",1,-2.65055610255344e-07,-0.000954200196919238
"3","AST-1337","19",1,5.82897514337355e-07,0.00209843105161448
"4","AST-1337","208",1,-8.24042084225941e-07,-0.00296655150321339
"5","AST-1337","253",1,-6.68333069578207e-06,-0.0240599905048154
"6","AST-1337","30",1,-9.80095341536031e-06,-0.0352834322952971
"7","AST-1337","345",1,7.33104006913316e-06,0.0263917442488794
"8","AST-1337","49",1,-8.13599427665681e-06,-0.0292895793959645
"9","AST-1337","5",1,1.49595003676518e-05,0.0538542013235464
"10","AST-1337","70",1,-1.35160896976188e-05,-0.0486579229114278
"11","AST-1409","0",1,-8.06148460111707e-06,-0.0290213445640215
"12","AST-1409","133",1,7.7888375637661e-06,0.0280398152295579
"13","AST-1409","19",1,-1.40616292770244e-06,-0.00506218653972879
"14","AST-1409","208",1,3.19506520538871e-06,0.0115022347393993
"15","AST-1409","253",1,-1.86099237229189e-06,-0.00669957254025081
"16","AST-1409","30",1,-3.34407859834498e-06,-0.0120386829540419
"17","AST-1409","345",1,-1.15309407565845e-05,-0.0415113867237041
"18","AST-1409","49",1,-2.67184667273832e-06,-0.00961864802185794
"19","AST-1409","5",1,3.13339762249051e-06,0.0112802314409658
"20","AST-1409","70",1,-6.13428469689385e-06,-0.0220834249088179
"21","AST-1470","0",1,2.29542814662672e-05,0.0826354132785621
"22","AST-1470","133",1,1.69755157987116e-05,0.0611118568753616
"23","AST-1470","19",1,8.64184682682706e-06,0.0311106485765774
"24","AST-1470","208",1,7.14974132248336e-06,0.0257390687609401
"25","AST-1470","253",1,7.80472844174785e-06,0.0280970223902923
"26","AST-1470","30",1,-7.00376055476047e-06,-0.0252135379971377
"27","AST-1470","345",1,2.13690267323728e-06,0.00769284962365419
"28","AST-1470","49",1,1.12590193967342e-05,0.0405324698282431
"29","AST-1470","5",1,2.44903443096912e-05,0.0881652395148882
"30","AST-1470","70",1,5.88934121883472e-06,0.021201628387805
"31","AST-1735","0",1,2.21317199901048e-05,0.0796741919643774
"32","AST-1735","133",1,7.6714095182632e-06,0.0276170742657475
"33","AST-1735","19",1,5.98344572295792e-06,0.0215404046026485
"34","AST-1735","208",1,5.17606830609925e-06,0.0186338459019573
"35","AST-1735","253",1,-4.29752698944327e-08,-0.000154710971619958
"36","AST-1735","30",1,-8.09703467217068e-06,-0.0291493248198144
"37","AST-1735","345",1,-2.24660757986234e-05,-0.0808778728750444
"38","AST-1735","49",1,-7.34837373240328e-07,-0.00264541454366518
"39","AST-1735","5",1,1.67695477519169e-05,0.0603703719069009
"40","AST-1735","70",1,-3.70993906562073e-06,-0.0133557806362346
"41","AST-1742","0",1,-3.73115511379963e-07,-0.00134321584096787
"42","AST-1742","133",1,1.259474374841e-05,0.045341077494276
"43","AST-1742","19",1,-7.57722355829626e-06,-0.0272780048098666
"44","AST-1742","208",1,1.69800541153757e-05,0.0611281948153527
"45","AST-1742","253",1,5.56412522927645e-06,0.0200308508253952
"46","AST-1742","30",1,-8.11310157634826e-06,-0.0292071656748537
"47","AST-1742","345",1,3.44489341203904e-07,0.00124016162833406
"48","AST-1742","49",1,2.21696333820231e-06,0.00798106801752831
"49","AST-1742","5",1,6.32486381981866e-06,0.0227695097513472
"50","AST-1742","70",1,3.87368400111285e-06,0.0139452624040063
"51","AST-2728","0",1,-3.08105527542778e-05,-0.1109179899154
"52","AST-2728","133",1,-1.50853670307296e-05,-0.0543073213106265
"53","AST-2728","19",1,-2.34438664651615e-05,-0.0843979192745813
"54","AST-2728","208",1,-1.26274109141782e-05,-0.0454586792910416
"55","AST-2728","253",1,-2.13182894730692e-05,-0.0767458421030491
"56","AST-2728","30",1,-2.69605444996989e-05,-0.0970579601989161
"57","AST-2728","345",1,-2.74417426499299e-05,-0.0987902735397477
"58","AST-2728","49",1,-1.94851992949859e-05,-0.0701467174619493
"59","AST-2728","5",1,-9.87261344707571e-06,-0.0355414084094725
"60","AST-2728","70",1,-2.0587267811985e-05,-0.0741141641231459
