"Color.Score","Fragment.ID","Timepoint","Treatment","Group"
"2197",2.62324004869563,"2197","Time0","Ambient","Time0 Ambient"
"1443",2.77547827419328,"1443","Time0","Ambient","Time0 Ambient"
"1497",3.40011114059185,"1497","Time0","Ambient","Time0 Ambient"
"1182",1.65827990330583,"1182","Time0","Ambient","Time0 Ambient"
"1290",-0.475809553185844,"1290","Time0","Ambient","Time0 Ambient"
"1458",-1.29391388033559,"1458","Time0","Ambient","Time0 Ambient"
"2201",2.95371140135064,"2201","Time0","Ambient","Time0 Ambient"
"1479",3.48440097493649,"1479","Time0","Ambient","Time0 Ambient"
"1621",1.95596282216732,"1621","Time0","Ambient","Time0 Ambient"
"2997",2.86771381154198,"2997","Time0","Ambient","Time0 Ambient"
"1159",0.310705130589016,"1159","Time0","Ambient","Time0 Ambient"
"1450",2.55177043262918,"1450","Time0","Ambient","Time0 Ambient"
"1174",-0.173990357887991,"1174","Time0","Ambient","Time0 Ambient"
"1085",-0.384158744722812,"1085","Time0","Ambient","Time0 Ambient"
"2279",1.62964297712576,"2279","Time0","Ambient","Time0 Ambient"
"1636",3.78308064118141,"1636","Time0","Ambient","Time0 Ambient"
"2004",3.43521995366626,"2004","Time0","Ambient","Time0 Ambient"
"1138",3.90993468382741,"1138","Time0","Ambient","Time0 Ambient"
"2862",0.755979776857964,"2862","Time0","Ambient","Time0 Ambient"
"3002",2.05114778967294,"3002","Time0","Ambient","Time0 Ambient"
"1147",3.82390777628623,"1147","Time0","Ambient","Time0 Ambient"
"1337",3.26576667255788,"1337","Time0","Ambient","Time0 Ambient"
"2401",0.919459113141003,"2401","Time0","Ambient","Time0 Ambient"
"2979",-0.144478413014049,"2979","Time0","Ambient","Time0 Ambient"
"2016",3.00552944771404,"2016","Time0","Ambient","Time0 Ambient"
"1238",0.853639112968354,"1238","Time0","Ambient","Time0 Ambient"
"2060",3.87291510056898,"2060","Time0","Ambient","Time0 Ambient"
"2375",3.77407306430393,"2375","Time0","Ambient","Time0 Ambient"
"1189",3.88596065549315,"1189","Time0","Ambient","Time0 Ambient"
"2414",3.73423827703301,"2414","Time0","Heat","Time0 Heat"
"2301",3.59265209220859,"2301","Time0","Heat","Time0 Heat"
"1186",3.82966020936662,"1186","Time0","Heat","Time0 Heat"
"1499",3.48329363251252,"1499","Time0","Heat","Time0 Heat"
"1125",3.59370858971544,"1125","Time0","Heat","Time0 Heat"
"1075",3.72319674109312,"1075","Time0","Heat","Time0 Heat"
"2202",3.76042808708687,"2202","Time0","Heat","Time0 Heat"
"1735",3.41471155612382,"1735","Time0","Heat","Time0 Heat"
"1483",3.28763593820209,"1483","Time0","Heat","Time0 Heat"
"1250",3.92364643029111,"1250","Time0","Heat","Time0 Heat"
"2079",3.82222595836918,"2079","Time0","Heat","Time0 Heat"
"1647",3.60926451983694,"1647","Time0","Heat","Time0 Heat"
"2563",2.20185128887066,"2563","Time0","Heat","Time0 Heat"
"1618",0.936486390358061,"1618","Time0","Heat","Time0 Heat"
"1043",3.5694219200467,"1043","Time0","Heat","Time0 Heat"
"2007",3.55782893479712,"2007","Time0","Heat","Time0 Heat"
"1578",2.40892324722132,"1578","Time0","Heat","Time0 Heat"
"1187",2.38805375056763,"1187","Time0","Heat","Time0 Heat"
"1184",3.90180008088827,"1184","Time0","Heat","Time0 Heat"
"1228",3.4415433694125,"1228","Time0","Heat","Time0 Heat"
"1113",2.1326246653333,"1113","Time0","Heat","Time0 Heat"
"1135",1.31017151580669,"1135","Time0","Heat","Time0 Heat"
"1742?",3.4527715624407,"1742?","Time0","Heat","Time0 Heat"
"1042",0.7489508174306,"1042","Time0","Heat","Time0 Heat"
"1649",3.58901365134314,"1649","Time0","Heat","Time0 Heat"
"2376",3.8677511608214,"2376","Time0","Heat","Time0 Heat"
"1754",3.78372243156187,"1754","Time0","Heat","Time0 Heat"
"1252",3.64649336208526,"1252","Time0","Heat","Time0 Heat"
"1423",3.39688699079959,"1423","Time0","Heat","Time0 Heat"
"1167",3.89616273657867,"1167","Time0","Ambient","Time0 Ambient"
"1163",3.39117878127488,"1163","Time0","Ambient","Time0 Ambient"
"2403",2.26491078429502,"2403","Time0","Ambient","Time0 Ambient"
"2305",3.89635998059144,"2305","Time0","Ambient","Time0 Ambient"
"1105",3.70495844409951,"1105","Time0","Ambient","Time0 Ambient"
"2198",3.84677162879536,"2198","Time0","Ambient","Time0 Ambient"
"2730",3.49889281479583,"2730","Time0","Ambient","Time0 Ambient"
"2190",3.18754740006543,"2190","Time0","Ambient","Time0 Ambient"
"2000",2.95916180665441,"2000","Time0","Ambient","Time0 Ambient"
"1109",0.407627351181739,"1109","Time0","Ambient","Time0 Ambient"
"1814",1.99186769056018,"1814","Time0","Ambient","Time0 Ambient"
"1058",0.359073891402038,"1058","Time0","Ambient","Time0 Ambient"
"1448",1.16145755553045,"1448","Time0","Ambient","Time0 Ambient"
"1170",2.88536699264489,"1170","Time0","Ambient","Time0 Ambient"
"1077",3.81333485670927,"1077","Time0","Ambient","Time0 Ambient"
"1117?",-4.85670726984191,"1117?","Time0","Heat","Time0 Heat"
"2669?",1.99049246800312,"2669?","Time0","Heat","Time0 Heat"
"2732?",2.08059287839889,"2732?","Time0","Heat","Time0 Heat"
"1141?",-7.92451289883318,"1141?","Time0","Heat","Time0 Heat"
"1548?",1.90441133738477,"1548?","Time0","Heat","Time0 Heat"
"1440?",1.60978680637238,"1440?","Time0","Heat","Time0 Heat"
"1065?",-12.2867516701954,"1065?","Time0","Heat","Time0 Heat"
"1148?",1.57766082256387,"1148?","Time0","Heat","Time0 Heat"
"1461?",-6.17011358841144,"1461?","Time0","Heat","Time0 Heat"
"2070?",-6.84713259115048,"2070?","Time0","Heat","Time0 Heat"
"2404?",0.164717373953882,"2404?","Time0","Heat","Time0 Heat"
"2541?",2.23841024728725,"2541?","Time0","Heat","Time0 Heat"
"2566?",1.29378357229283,"2566?","Time0","Heat","Time0 Heat"
"1146?",0.774811530327666,"1146?","Time0","Heat","Time0 Heat"
"1585?",2.59912885343681,"1585?","Time0","Heat","Time0 Heat"
"1562",3.09770388196053,"1562","Time0","Heat","Time0 Heat"
"1332",0.596956781590517,"1332","Time0","Heat","Time0 Heat"
"1486",-0.262376609749985,"1486","Time0","Heat","Time0 Heat"
"1273",2.88476561329205,"1273","Time0","Heat","Time0 Heat"
"2384",3.08338570090125,"2384","Time0","Heat","Time0 Heat"
"1309",3.6680118860544,"1309","Time0","Heat","Time0 Heat"
"2527",2.48021893884402,"2527","Time0","Heat","Time0 Heat"
"2870",0.783051727214831,"2870","Time0","Heat","Time0 Heat"
"1467",3.00910536249031,"1467","Time0","Heat","Time0 Heat"
"1572",2.50679093867139,"1572","Time0","Heat","Time0 Heat"
"2728",1.88775251314907,"2728","Time0","Heat","Time0 Heat"
"2976",3.06175128107969,"2976","Time0","Heat","Time0 Heat"
"2561",0.171064909250656,"2561","Time0","Heat","Time0 Heat"
"1567",2.25178873525869,"1567","Time0","Heat","Time0 Heat"
"1145",3.72693539924617,"1145","Time0","Ambient","Time0 Ambient"
"1037",3.2768958959977,"1037","Time0","Ambient","Time0 Ambient"
"2378",1.13289938480371,"2378","Time0","Ambient","Time0 Ambient"
"2990?",2.79396921590039,"2990?","Time0","Ambient","Time0 Ambient"
"1617?",3.6547423549722,"1617?","Time0","Ambient","Time0 Ambient"
"1237",3.19791201143031,"1237","Time0","Ambient","Time0 Ambient"
"1439",3.55487114735887,"1439","Time0","Ambient","Time0 Ambient"
"1205",3.01039794859974,"1205","Time0","Ambient","Time0 Ambient"
"2880",3.10948904609373,"2880","Time0","Ambient","Time0 Ambient"
"2063",3.36498968436612,"2063","Time0","Ambient","Time0 Ambient"
"2738",3.59293364877471,"2738","Time0","Ambient","Time0 Ambient"
"1434",3.75799703842584,"1434","Time0","Ambient","Time0 Ambient"
"2523",2.73550123009121,"2523","Time0","Ambient","Time0 Ambient"
"2533",1.05773431050669,"2533","Time0","Ambient","Time0 Ambient"
"2021",2.88802497759022,"2021","Time0","Heat","Time0 Heat"
"1630",3.39498744399876,"1630","Time0","Heat","Time0 Heat"
"2394",2.98438736597523,"2394","Time0","Heat","Time0 Heat"
"2068",3.65848043285754,"2068","Time0","Heat","Time0 Heat"
"1074",3.88068937230809,"1074","Time0","Heat","Time0 Heat"
"1409",3.38171706414965,"1409","Time0","Heat","Time0 Heat"
"1826",2.733806473053,"1826","Time0","Heat","Time0 Heat"
"1554",3.01083016942217,"1554","Time0","Heat","Time0 Heat"
"1080",-0.455596837529992,"1080","Time0","Heat","Time0 Heat"
"1416",0.758418230222454,"1416","Time0","Heat","Time0 Heat"
"1533",3.51655049846967,"1533","Time0","Heat","Time0 Heat"
"1761",3.17500649701184,"1761","Time0","Heat","Time0 Heat"
"1041",2.84155399233722,"1041","Time0","Heat","Time0 Heat"
"2398",0.725200113206504,"2398","Time0","Heat","Time0 Heat"
"1452",3.85864371809048,"1452","Time0","Ambient","Time0 Ambient"
"2539",2.51631891553583,"2539","Time0","Ambient","Time0 Ambient"
"1343",2.68051133201593,"1343","Time0","Ambient","Time0 Ambient"
"2520",3.71617095179173,"2520","Time0","Ambient","Time0 Ambient"
"1191",2.65193806663419,"1191","Time0","Ambient","Time0 Ambient"
"1560",-0.782739268636012,"1560","Time0","Ambient","Time0 Ambient"
"1557",3.79781048151011,"1557","Time0","Ambient","Time0 Ambient"
"2168",3.43115446241861,"2168","Time0","Ambient","Time0 Ambient"
"1559",3.09137979493596,"1559","Time0","Ambient","Time0 Ambient"
"2024",0.635663138930025,"2024","Time0","Ambient","Time0 Ambient"
"1087",2.52239873036366,"1087","Time0","Ambient","Time0 Ambient"
"1573",3.81396594931566,"1573","Time0","Ambient","Time0 Ambient"
"1225",1.20331886437178,"1225","Time0","Ambient","Time0 Ambient"
"1719",3.22731005341371,"1719","Time0","Ambient","Time0 Ambient"
