"","Gene","AST-1065","AST-1105","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"1","evm.TU.chromosome_11.1878",8.45043417154166,5.23215747557053,7.59756656768303,9.25529303353218,7.63418408434116,6.87358846624753,7.82914910790366,6.41665769206974,8.85250409983583,8.36901164384549,6.58744283063598,8.59555569130423,7.28538988831401,8.31947317993139,8.15652090708655,7.97337211528328,8.7753872213425,8.49107055370189,8.32751373391044,7.5121835050141
"2","evm.TU.chromosome_9.2631",7.18682094967222,5.23215747557053,7.54022144475559,6.40857290487296,7.13404272898376,7.31377617233098,6.41498460297701,7.47490855841598,7.72255740436957,6.92738997772392,7.06624560614306,6.77763828638696,6.83122526161111,6.68845165444444,6.49688591932418,6.6505128863973,6.5615515532366,6.853443797725,6.09035997380098,6.19220522553105
"3","evm.TU.chromosome_9.2632",6.20816444184675,5.23215747557053,7.20534445401,5.76984666229555,6.9549383713088,6.89113112468107,6.37582032045618,6.48725665812035,6.77997080758864,6.3777689431845,6.1718948413986,6.12263414126885,6.31313788386827,6.55741938158839,6.3420708169176,6.07249480057383,6.45111904199521,6.72599289436199,5.88492268062072,6.02072375352532
"4","evm.TU.chromosome_8.384",9.1401924574614,5.23215747557053,7.76487445385975,8.27485789848951,7.38530993512107,8.30194530890293,8.65404351268632,8.09319077317671,10.3103951676669,8.18382294061572,7.95943161198923,8.00146004037411,7.18165544881928,7.88962626095144,7.74118495578316,8.1680788378924,8.01456366286275,8.31473625800056,8.08489820433052,6.45741299949077
"5","evm.TU.chromosome_8.2624",7.4485591486744,5.23215747557053,7.55037338427082,6.6979278401583,7.24054985210298,7.18358948116906,7.51642385245632,7.375664902087,6.77997080758864,7.44363778156645,7.23900818174278,7.72791821830211,7.3912391473921,7.91850346159077,7.51404721232701,7.42535761747874,7.34574258470602,7.25954197382141,6.71057582455148,7.15987133805151
"6","evm.TU.chromosome_8.2626",7.16649275596395,5.23215747557053,7.69634229653062,6.02111385467864,5.23215747557053,6.95881497874469,6.87889350716122,7.22499972611865,6.77997080758864,6.6486957507199,6.95306974649212,6.65154999923708,7.27107709899247,6.87744096664326,6.96664455890289,6.32194230358486,6.86446255766015,6.3903503009115,5.23215747557053,7.15987133805151
"7","evm.TU.chromosome_8.2627",7.24976075209814,5.23215747557053,6.39681081227548,5.63030489189778,5.23215747557053,7.39765492047789,6.53760889738768,6.17675181658811,6.31533910304471,7.00870790797639,7.07777286430387,6.48507895837176,6.43970989866215,7.41847537996386,6.26318601152457,6.95091815030099,6.88553701814977,6.3903503009115,7.28666359914287,5.23215747557053
"8","evm.TU.chromosome_8.2621",6.49710838165613,5.23215747557053,6.71786972038018,6.19267472097638,5.23215747557053,7.00718331623767,6.87889350716122,6.74762661369562,7.36572771443452,7.04740831230295,6.64993599131535,7.16533765473484,7.17002073852275,6.90045619441839,6.59914165132136,6.51739640635041,6.81560640132267,6.50216055085256,6.79976334312224,6.75701935853647
"9","evm.TU.chromosome_8.2622",7.22260751626846,5.23215747557053,7.15490905769465,6.84190519903211,5.23215747557053,6.59464532744415,7.15450331667893,6.17675181658811,7.07085987837609,7.43742090186981,7.45811012745846,6.49704564815781,6.74566295189258,7.25404901750441,7.0831484907098,6.68136310682055,6.97114333515148,7.13986205857804,6.57925106376794,7.5357244941874
"10","evm.TU.chromosome_8.2623",7.96419466037926,5.23215747557053,8.64567799633508,6.23042783380595,6.66434413086986,8.88585330393205,7.70425802530781,8.41818285142122,7.98620160116887,7.81947792881389,7.67754774356555,7.87927283575066,8.04888593316801,8.26589604825729,7.87619024358996,7.53618305939183,7.68118843610362,7.64829617011624,5.88492268062072,6.75701935853647
