gene_id,trimmed.AST-1065_R1_001.fastq.gz.bam.gtf,trimmed.AST-1105_R1_001.fastq.gz.bam.gtf,trimmed.AST-1147_R1_001.fastq.gz.bam.gtf,trimmed.AST-1412_R1_001.fastq.gz.bam.gtf,trimmed.AST-1560_R1_001.fastq.gz.bam.gtf,trimmed.AST-1567_R1_001.fastq.gz.bam.gtf,trimmed.AST-1617_R1_001.fastq.gz.bam.gtf,trimmed.AST-1722_R1_001.fastq.gz.bam.gtf,trimmed.AST-2000_R1_001.fastq.gz.bam.gtf,trimmed.AST-2007_R1_001.fastq.gz.bam.gtf,trimmed.AST-2302_R1_001.fastq.gz.bam.gtf,trimmed.AST-2360_R1_001.fastq.gz.bam.gtf,trimmed.AST-2398_R1_001.fastq.gz.bam.gtf,trimmed.AST-2404_R1_001.fastq.gz.bam.gtf,trimmed.AST-2412_R1_001.fastq.gz.bam.gtf,trimmed.AST-2512_R1_001.fastq.gz.bam.gtf,trimmed.AST-2523_R1_001.fastq.gz.bam.gtf,trimmed.AST-2563_R1_001.fastq.gz.bam.gtf,trimmed.AST-2729_R1_001.fastq.gz.bam.gtf,trimmed.AST-2755_R1_001.fastq.gz.bam.gtf
evm.TU.chromosome_2.1944,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
evm.TU.chromosome_14.6063,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0
evm.TU.chromosome_6.112,6,0,0,5,0,0,13,17,0,12,7,0,21,6,57,0,0,0,0,0
evm.TU.chromosome_5.2393,834,0,610,319,42,532,406,717,118,697,1006,428,648,706,967,139,1052,553,131,48
evm.TU.chromosome_5.2392,123,0,42,84,0,26,69,114,31,179,160,69,54,218,75,0,37,87,0,11
evm.TU.chromosome_10.199,721,0,2983,102,0,849,709,1096,62,596,1210,443,1442,735,454,178,1115,445,26,34
evm.TU.chromosome_10.198,756,0,2506,80,19,484,213,692,68,521,2053,277,292,492,461,124,350,301,17,55
evm.TU.chromosome_5.2391,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
evm.TU.chromosome_10.193,8,0,85,0,0,21,15,47,5,36,11,0,1,17,11,4,3,33,0,5
evm.TU.chromosome_10.192,13,0,135,0,3,21,22,72,9,37,23,6,8,13,6,5,2,38,0,0
evm.TU.chromosome_10.191,0,0,26,13,0,0,13,58,4,0,0,2,0,18,18,0,35,0,0,0
evm.TU.chromosome_10.190,189,0,756,71,0,260,227,416,60,180,134,167,404,183,59,30,214,94,12,5
evm.TU.chromosome_10.197,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
evm.TU.chromosome_10.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_10.195,49,0,82,4,0,0,24,16,5,46,31,48,38,46,30,11,53,36,18,2
evm.TU.chromosome_10.194,163,0,275,142,23,18,186,136,4,103,169,68,237,116,125,16,204,124,1,14
evm.TU.chromosome_14.3686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.2761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.2760,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_14.2763,0,0,0,0,0,0,0,22,0,2,0,6,2,0,20,0,0,0,0,0
evm.TU.chromosome_14.2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
evm.TU.chromosome_14.2765,0,0,0,0,0,0,0,2,0,8,0,0,0,6,3,0,0,0,0,0
evm.TU.chromosome_14.6068,3,0,14,0,0,1,2,9,4,9,3,1,9,3,7,4,2,4,0,0
evm.TU.chromosome_8.968,1,0,1,0,0,1,20,2,10,1,1,20,1,2,0,5,1,6,1,0
evm.TU.chromosome_8.969,107,0,381,0,3,23,34,178,0,111,135,33,75,96,154,27,84,11,0,27
evm.TU.chromosome_8.966,5,0,2,2,0,0,7,0,0,1,1,5,1,0,4,3,0,0,0,0
evm.TU.chromosome_8.967,0,0,1,0,0,0,3,0,0,1,0,5,0,0,0,0,0,0,0,0
evm.TU.chromosome_8.964,182,0,16,0,0,0,103,108,5,55,163,27,78,5,139,456,167,147,0,0
evm.TU.chromosome_8.965,2,0,1,0,0,0,21,2,6,1,1,25,5,2,0,5,1,5,2,0
evm.TU.chromosome_8.962,10,0,4,2,0,5,7,5,4,1,4,1,2,0,0,0,3,2,1,1
evm.TU.chromosome_8.963,26,0,32,0,0,8,19,9,1,2,2,5,4,2,4,0,5,3,2,4
evm.TU.chromosome_8.960,2,0,126,28,5,1,0,9,3,29,4,8,7,5,32,0,16,20,2,2
evm.TU.chromosome_8.961,6,0,1,2,2,0,4,2,3,4,4,1,6,4,2,0,6,3,1,2
evm.TU.chromosome_6.1090,22,0,70,50,0,5,112,43,5,32,12,10,14,25,25,2,18,10,0,0
Ala_2790,5,0,2,0,0,0,3,0,1,1,0,1,4,0,0,0,1,0,0,0
Ala_2793,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_9.2637,189,0,309,70,16,83,554,706,72,254,144,70,266,224,186,45,212,293,27,20
evm.TU.chromosome_6.1094,0,0,2,0,0,2,4,12,0,8,7,4,8,18,0,0,8,5,0,0
evm.TU.chromosome_6.1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_6.1096,18,0,72,0,0,29,29,68,6,5,16,36,33,23,48,18,39,24,0,0
evm.TU.chromosome_6.1097,231,0,162,26,0,60,222,98,24,222,227,162,133,441,122,34,192,211,0,12
evm.TU.chromosome_6.1098,167,0,462,221,13,76,164,154,14,167,222,173,382,222,223,54,147,149,16,6
evm.TU.chromosome_6.1099,3,0,6,11,1,2,0,0,0,10,7,0,5,15,11,4,8,13,12,12
evm.TU.chromosome_11.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evm.TU.chromosome_11.618,0,0,0,0,0,0,4,17,0,0,0,0,0,4,0,0,0,0,0,0
evm.TU.chromosome_8.382,257,0,155,23,0,35,177,128,0,95,193,54,35,103,100,8,86,129,8,4
evm.TU.chromosome_8.500,6,0,0,0,0,0,18,5,0,0,8,0,5,0,7,0,18,0,0,0
evm.TU.chromosome_2.747,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
evm.TU.chromosome_9.2638,336,0,419,51,0,232,272,297,46,319,512,165,253,429,187,72,374,267,25,21
evm.TU.chromosome_8.387,11,0,50,18,0,11,33,22,0,40,0,8,28,27,0,0,5,18,0,0
Ala_2247,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
Ala_2246,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0
evm.TU.chromosome_11.3107,0,0,44,9,0,14,151,12,209,9,4,20,8,68,23,0,0,0,12,0
evm.TU.chromosome_11.3106,499,0,1290,846,106,508,646,1232,1204,669,624,515,1129,906,471,149,600,944,235,75
evm.TU.chromosome_11.3101,123,0,118,68,0,57,73,38,8,90,56,50,70,50,72,13,99,68,31,0
evm.TU.chromosome_11.3100,9,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,32,0,0,0
