"","value"
"1","evm.TU.chromosome_12.3776"
"3","evm.TU.chromosome_13.1047"
"6","evm.TU.chromosome_10.1241"
"7","evm.TU.chromosome_12.3640"
"8","evm.TU.chromosome_12.1869"
"9","evm.TU.chromosome_13.2897"
"10","evm.TU.chromosome_4.1816"
"12","evm.TU.chromosome_6.1434"
"14","evm.TU.chromosome_7.28"
"15","evm.TU.chromosome_13.4157"
"16","evm.TU.chromosome_13.1515"
"18","evm.TU.chromosome_6.1006"
"19","evm.TU.chromosome_8.2064"
"21","evm.TU.chromosome_6.84"
"22","evm.TU.chromosome_4.2495"
"23","evm.TU.chromosome_14.6219"
"24","evm.TU.chromosome_10.41"
"25","evm.TU.chromosome_12.1865"
"26","evm.TU.chromosome_14.5366"
"32","evm.TU.chromosome_12.3088"
"42","evm.TU.chromosome_13.1842"
"54","evm.TU.chromosome_1.253"
"55","evm.TU.chromosome_12.3432"
"56","evm.TU.chromosome_10.1377"
"68","evm.TU.chromosome_10.1376"
"71","Ser_4434"
"85","evm.TU.chromosome_12.1878"
"86","evm.TU.chromosome_8.2226"
"87","evm.TU.chromosome_10.3111"
"88","evm.TU.chromosome_9.1668"
"89","evm.TU.chromosome_12.122"
"90","evm.TU.chromosome_5.1197"
"91","evm.TU.chromosome_9.700"
"92","evm.TU.chromosome_12.690"
"93","evm.TU.chromosome_6.1512"
"94","evm.TU.chromosome_12.2852"
"95","evm.TU.chromosome_11.2803"
"103","evm.TU.chromosome_14.6207"
"104","evm.TU.chromosome_10.3085"
"111","evm.TU.chromosome_1.997"
"120","evm.TU.chromosome_4.902"
"121","evm.TU.chromosome_3.1666"
"128","evm.TU.chromosome_2.1058"
"129","evm.TU.chromosome_2.769"
"136","evm.TU.chromosome_2.762"
"137","evm.TU.chromosome_14.6479"
"139","evm.TU.chromosome_12.2940"
"141","evm.TU.chromosome_14.6624"
"143","evm.TU.chromosome_3.1348"
"156","evm.TU.chromosome_12.1784"
"158","evm.TU.chromosome_13.3761"
