colony_id,Light_Value,Run,Treatment,micromol.cm2.s,micromol.cm2.h,Date
FLD-0001,0,2,Field-TP3,-0.0001193186238,-0.4295470458,2021-04-30
FLD-0002,0,2,Field-TP3,-9.03E-05,-0.3250086579,2021-04-30
FLD-0003,0,2,Field-TP3,-0.001124533678,-4.048321241,2021-04-30
FLD-0004,0,2,Field-TP3,3.74E-06,0.01346454107,2021-04-30
FLD-0005,0,2,Field-TP3,0.0003139729885,1.130302759,2021-04-30
FLD-0006,0,2,Field-TP3,-0.0001479027413,-0.5324498686,2021-04-30
FLD-0007,0,2,Field-TP3,-0.0002307817354,-0.8308142474,2021-04-30
FLD-0008,0,3,Field-TP4,0.0002452632501,0.8829477005,2021-06-02
FLD-0009,0,3,Field-TP4,-0.0006069957755,-2.185184792,2021-06-02
FLD-0010,0,3,Field-TP4,-0.0002296041889,-0.8265750801,2021-06-02
FLD-0011,0,3,Field-TP4,-0.0004646793595,-1.672845694,2021-06-02
FLD-0012,0,3,Field-TP4,0.0004776907443,1.719686679,2021-06-02
FLD-0013,0,3,Field-TP4,0.000620090447,2.232325609,2021-06-02
FLD-0014,0,3,Field-TP4,1899-12-29,1899-12-29,2021-06-02
FLD-0015,0,4,Field-TP5,-0.0003959349211,-1.425365716,2021-06-25
FLD-0016,0,4,Field-TP5,-0.0007093901704,-2.553804614,2021-06-25
FLD-0017,0,4,Field-TP5,-0.0002026215403,-0.7294375453,2021-06-25
FLD-0018,0,4,Field-TP5,-0.0006020060451,-2.167221763,2021-06-25
FLD-0019,0,5,Field-TP5,-0.0004084548752,-1.470437551,2021-06-25
FLD-0020,0,5,Field-TP5,-0.0003743714284,-1.347737142,2021-06-25
FLD-0021,0,5,Field-TP5,-0.0003894899283,-1.402163742,2021-06-25
FLD-0022,0,5,Field-TP5,-0.000214633592,-0.7726809312,2021-06-25
FLD-0023,0,6,Field-TP6,-0.0003894899283,-1.402163742,2021-07-23
FLD-0024,0,6,Field-TP6,-0.000543014384,-1.954851782,2021-07-23
FLD-0025,0,6,Field-TP6,-0.0001113811068,-0.4009719845,2021-07-23
FLD-0026,0,6,Field-TP6,-0.0007093901704,-2.553804614,2021-07-23
FLD-0027,0,7,Field-TP6,-0.0002877083061,-1.035749902,2021-07-23
FLD-0028,0,7,Field-TP6,-0.0002842972735,-1.023470185,2021-07-23
FLD-0029,0,7,Field-TP6,-0.0004099029876,-1.475650755,2021-07-23
