"","colony_id","Light_Value","Run","Treatment","micromol.cm2.s","micromol.cm2.h","Date"
"1","AST-1037","0",9,"Ambient",-9.98028351728727e-05,-0.359290206622342,2021-04-01
"2","AST-1037","320",9,"Ambient",4.82852896805894e-05,0.173827042850122,2021-04-01
"3","AST-1041","0",31,"Heat",-0.000314368792266285,-1.13172765215863,2021-08-19
"4","AST-1041","358",31,"Heat",0.000916692350771116,3.30009246277602,2021-08-19
"5","AST-1058","0",6,"Ambient",-2.61999341438409e-05,-0.0943197629178273,2021-03-04
"6","AST-1058","368",6,"Ambient",0.000392885614222028,1.4143882111993,2021-03-04
"7","AST-1065","0",32,"Heat",-0.000567287497429879,-2.04223499074756,2021-08-19
"8","AST-1065","358",32,"Heat",0.00513865440401836,18.4991558544661,2021-08-19
"9","AST-1074","0",28,"Heat",-0.000202621540348802,-0.729437545255686,2021-07-22
"10","AST-1074","334",28,"Heat",0.00185899057294811,6.6923660626132,2021-07-22
"11","AST-1075","0",13,"Heat",-4.11755601919958e-05,-0.148232016691185,2021-04-29
"12","AST-1075","337",13,"Heat",0.000137121436346615,0.493637170847813,2021-04-29
"13","AST-1077","0",15,"Ambient",-0.000445453570800681,-1.60363285488245,2021-04-29
"14","AST-1077","337",15,"Ambient",-2.08095683800167e-05,-0.0749144461680603,2021-04-29
"15","AST-1080","0",14,"Heat",-0.00174005933964942,-6.26421362273792,2021-04-29
"16","AST-1080","337",14,"Heat",-0.00252427016790101,-9.08737260444363,2021-04-29
"17","AST-1087","0",22,"Ambient",-0.000209582970729601,-0.754498694626564,2021-06-24
"18","AST-1087","361",22,"Ambient",0.000763401766001828,2.74824635760658,2021-06-24
"19","AST-1091","0",30,"Ambient",-0.000218296621270162,-0.785867836572583,2021-08-19
"20","AST-1091","358",30,"Ambient",0.0014572101350198,5.24595648607128,2021-08-19
"21","AST-1105","0",30,"Ambient",-0.000377479083437693,-1.35892470037569,2021-08-19
"22","AST-1105","358",30,"Ambient",0.000786996796099616,2.83318846595862,2021-08-19
"23","AST-1109","0",17,"Ambient",0.00024526325014558,0.882947700524088,2021-05-27
"24","AST-1109","355",17,"Ambient",0.00381348411274597,13.7285428058855,2021-05-27
"25","AST-1117","0",27,"Heat",-0.000602006045147827,-2.16722176253218,2021-07-22
"26","AST-1117","334",27,"Heat",0.00195135341936327,7.02487230970778,2021-07-22
"27","AST-1126","0",16,"Ambient",0.000582095157970615,2.09554256869421,2021-04-29
"28","AST-1126","337",16,"Ambient",0.00366887069584456,13.2079345050404,2021-04-29
"29","AST-1138","0",5,"Ambient",-0.000516708515739751,-1.8601506566631,2021-03-04
"30","AST-1138","368",5,"Ambient",0.000471494890236495,1.69738160485138,2021-03-04
"31","AST-1145","0",26,"Ambient",-0.00111369269390503,-4.0092936980581,2021-07-22
"32","AST-1145","334",26,"Ambient",0.00396324664176294,14.2676879103466,2021-07-22
"33","AST-1146","0",8,"Heat",0.000133993827867977,0.482377780324718,2021-03-04
"34","AST-1146","368",8,"Heat",0.000509355621580137,1.83368023768849,2021-03-04
"35","AST-1147","0",3,"Acclimatization",-0.000161699064553066,-0.582116632391038,2021-02-04
"36","AST-1147","350",3,"Acclimatization",0.00104862989017411,3.77506760462681,2021-02-04
"37","AST-1148","0",13,"Heat",-0.000119318623834149,-0.429547045802937,2021-04-29
"38","AST-1148","337",13,"Heat",0.000652597099758345,2.34934955913004,2021-04-29
"39","AST-1152","0",20,"Heat",0.000672437830450662,2.42077618962238,2021-05-27
"40","AST-1152","355",20,"Heat",-0.000598155812441304,-2.1533609247887,2021-05-27
"41","AST-1159","0",30,"Ambient",-0.00015785155937356,-0.568265613744814,2021-08-19
"42","AST-1159","358",30,"Ambient",0.000604841625308417,2.1774298511103,2021-08-19
"43","AST-1167","0",25,"Ambient",-0.000273653997847044,-0.985154392249358,2021-07-22
"44","AST-1167","334",25,"Ambient",0.000947526484373122,3.41109534374324,2021-07-22
"45","AST-1174","0",18,"Ambient",-0.00441205097441188,-15.8833835078828,2021-05-27
"46","AST-1174","355",18,"Ambient",-0.00187219233982343,-6.73989242336437,2021-05-27
"47","AST-1182","0",10,"Ambient",-0.000337058530005142,-1.21341070801851,2021-04-01
"48","AST-1182","320",10,"Ambient",-0.000218663712311599,-0.787189364321758,2021-04-01
"49","AST-1184","0",12,"Heat",-7.4230514079832e-05,-0.267229850687395,2021-04-01
"50","AST-1184","320",12,"Heat",-0.000211667037717979,-0.762001335784725,2021-04-01
"51","AST-1185","0",8,"Heat",0.000136765197952875,0.49235471263035,2021-03-04
"52","AST-1185","368",8,"Heat",0.000155686948118021,0.560473013224876,2021-03-04
"53","AST-1189","0",26,"Ambient",-0.00127589018818478,-4.59320467746521,2021-07-22
"54","AST-1189","334",26,"Ambient",0.00573358819184401,20.6409174906384,2021-07-22
"55","AST-1194","0",18,"Ambient",-0.000606995775459927,-2.18518479165574,2021-05-27
"56","AST-1194","355",18,"Ambient",0.000965814430393851,3.47693194941786,2021-05-27
"57","AST-1228","0",13,"Heat",-9.02801827512417e-05,-0.32500865790447,2021-04-29
"58","AST-1228","337",13,"Heat",0.000275914486642921,0.993292151914517,2021-04-29
"59","AST-1233","0",2,"Acclimatization",7.9735095300385e-05,0.287046343081386,2021-02-04
"60","AST-1233","350",2,"Acclimatization",0.000392984174592572,1.41474302853326,2021-02-04
"61","AST-1249","0",14,"Heat",-0.00112453367797887,-4.04832124072395,2021-04-29
"62","AST-1249","337",14,"Heat",-0.000905623948655911,-3.26024621516128,2021-04-29
"63","AST-1255","0",25,"Ambient",-0.00040845487519676,-1.47043755070834,2021-07-22
"64","AST-1255","334",25,"Ambient",0.000971950577384214,3.49902207858317,2021-07-22
"65","AST-1273","0",12,"Heat",1.40201250082733e-05,0.050472450029784,2021-04-01
"66","AST-1273","320",12,"Heat",-0.000227809807819917,-0.820115308151701,2021-04-01
"67","AST-1288","0",10,"Ambient",1.07456575752025e-05,0.0386843672707289,2021-04-01
"68","AST-1288","320",10,"Ambient",0.000385218297196515,1.38678586990745,2021-04-01
"69","AST-1290","0",25,"Ambient",-0.00037437142842182,-1.34773714231855,2021-07-22
"70","AST-1290","334",25,"Ambient",0.00129696773379164,4.6690838416499,2021-07-22
"71","AST-1325","0",8,"Heat",-3.46206248344939e-05,-0.124634249404178,2021-03-04
"72","AST-1325","368",8,"Heat",-7.19058073968967e-06,-0.0258860906628828,2021-03-04
"73","AST-1332","0",7,"Heat",9.11801429315601e-05,0.328248514553616,2021-03-04
"74","AST-1332","368",7,"Heat",0.000338644907332398,1.21912166639663,2021-03-04
"75","AST-1337","0",9,"Ambient",-0.000288814218411097,-1.03973118627995,2021-04-01
"76","AST-1337","320",9,"Ambient",-9.44947191513196e-05,-0.340180988944751,2021-04-01
"77","AST-1343","0",18,"Ambient",-0.000229604188920675,-0.82657508011443,2021-05-27
"78","AST-1343","355",18,"Ambient",0.000176805258364389,0.636498930111801,2021-05-27
"79","AST-1345","0",3,"Acclimatization",0.000379515367961676,1.36625532466203,2021-02-04
"80","AST-1345","350",3,"Acclimatization",0.00143493878445499,5.16577962403797,2021-02-04
"81","AST-1412","0",21,"Ambient",-0.000158620695872656,-0.57103450514156,2021-06-24
"82","AST-1412","361",21,"Ambient",0.00168005041901798,6.04818150846475,2021-06-24
