"Plot Title: 20987159"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987159, SEN S/N: 20987159)","Coupler Detached (LGR S/N: 20987159)","Coupler Attached (LGR S/N: 20987159)","End Of File (LGR S/N: 20987159)"
129,02/07/21 01:20:00 PM,8.220,,,
130,02/07/21 01:30:00 PM,8.045,,,
131,02/07/21 01:40:00 PM,8.295,,,
132,02/07/21 01:50:00 PM,7.995,,,
133,02/07/21 02:00:00 PM,8.344,,,
134,02/07/21 02:10:00 PM,8.095,,,
135,02/07/21 02:20:00 PM,8.245,,,
136,02/07/21 02:30:00 PM,8.195,,,
137,02/07/21 02:40:00 PM,8.095,,,
138,02/07/21 02:50:00 PM,8.270,,,
139,02/07/21 03:00:00 PM,8.020,,,
140,02/07/21 03:10:00 PM,8.295,,,
141,02/07/21 03:20:00 PM,8.070,,,
142,02/07/21 03:30:00 PM,8.319,,,
143,02/07/21 03:40:00 PM,8.145,,,
144,02/07/21 03:50:00 PM,8.245,,,
145,02/07/21 04:00:00 PM,8.195,,,
146,02/07/21 04:10:00 PM,8.120,,,
147,02/07/21 04:20:00 PM,8.220,,,
148,02/07/21 04:30:00 PM,8.045,,,
149,02/07/21 04:40:00 PM,8.270,,,
150,02/07/21 04:50:00 PM,7.995,,,
151,02/07/21 05:00:00 PM,8.295,,,
152,02/07/21 05:10:00 PM,8.045,,,
153,02/07/21 05:20:00 PM,8.319,,,
154,02/07/21 05:30:00 PM,8.095,,,
155,02/07/21 05:40:00 PM,8.295,,,
156,02/07/21 05:50:00 PM,8.095,,,
157,02/07/21 06:00:00 PM,8.245,,,
158,02/07/21 06:10:00 PM,8.145,,,
159,02/07/21 06:20:00 PM,8.170,,,
160,02/07/21 06:30:00 PM,8.170,,,
161,02/07/21 06:40:00 PM,8.145,,,
162,02/07/21 06:50:00 PM,8.170,,,
163,02/07/21 07:00:00 PM,8.145,,,
164,02/07/21 07:10:00 PM,8.170,,,
165,02/07/21 07:20:00 PM,8.120,,,
166,02/07/21 07:30:00 PM,8.195,,,
167,02/07/21 07:40:00 PM,8.070,,,
168,02/07/21 07:50:00 PM,8.220,,,
169,02/07/21 08:00:00 PM,8.045,,,
170,02/07/21 08:10:00 PM,8.245,,,
171,02/07/21 08:20:00 PM,7.995,,,
172,02/07/21 08:30:00 PM,8.270,,,
173,02/07/21 08:40:00 PM,7.995,,,
174,02/07/21 08:50:00 PM,8.295,,,
175,02/07/21 09:00:00 PM,7.995,,,
176,02/07/21 09:10:00 PM,8.295,,,
177,02/07/21 09:20:00 PM,7.995,,,
178,02/07/21 09:30:00 PM,8.295,,,
179,02/07/21 09:40:00 PM,8.045,,,
180,02/07/21 09:50:00 PM,8.295,,,
181,02/07/21 10:00:00 PM,8.070,,,
182,02/07/21 10:10:00 PM,8.295,,,
183,02/07/21 10:20:00 PM,8.095,,,
184,02/07/21 10:30:00 PM,8.270,,,
185,02/07/21 10:40:00 PM,8.120,,,
186,02/07/21 10:50:00 PM,8.245,,,
187,02/07/21 11:00:00 PM,8.120,,,
188,02/07/21 11:10:00 PM,8.195,,,
189,02/07/21 11:20:00 PM,8.145,,,
190,02/07/21 11:30:00 PM,8.145,,,
191,02/07/21 11:40:00 PM,8.220,,,
192,02/07/21 11:50:00 PM,8.045,,,
193,02/08/21 12:00:00 AM,8.270,,,
194,02/08/21 12:10:00 AM,8.020,,,
195,02/08/21 12:20:00 AM,8.295,,,
196,02/08/21 12:30:00 AM,8.045,,,
197,02/08/21 12:40:00 AM,8.319,,,
198,02/08/21 12:50:00 AM,8.145,,,
199,02/08/21 01:00:00 AM,8.220,,,
200,02/08/21 01:10:00 AM,8.220,,,
201,02/08/21 01:20:00 AM,8.095,,,
202,02/08/21 01:30:00 AM,8.295,,,
203,02/08/21 01:40:00 AM,8.045,,,
204,02/08/21 01:50:00 AM,8.344,,,
205,02/08/21 02:00:00 AM,8.145,,,
206,02/08/21 02:10:00 AM,8.145,,,
207,02/08/21 02:20:00 AM,8.270,,,
208,02/08/21 02:30:00 AM,8.045,,,
209,02/08/21 02:40:00 AM,8.295,,,
210,02/08/21 02:50:00 AM,8.045,,,
211,02/08/21 03:00:00 AM,8.319,,,
212,02/08/21 03:10:00 AM,8.120,,,
213,02/08/21 03:20:00 AM,8.270,,,
214,02/08/21 03:30:00 AM,8.220,,,
215,02/08/21 03:40:00 AM,8.045,,,
216,02/08/21 03:50:00 AM,8.270,,,
217,02/08/21 04:00:00 AM,8.020,,,
218,02/08/21 04:10:00 AM,8.319,,,
219,02/08/21 04:20:00 AM,8.070,,,
220,02/08/21 04:30:00 AM,8.319,,,
221,02/08/21 04:40:00 AM,8.145,,,
222,02/08/21 04:50:00 AM,8.195,,,
223,02/08/21 05:00:00 AM,8.195,,,
224,02/08/21 05:10:00 AM,8.095,,,
225,02/08/21 05:20:00 AM,8.245,,,
226,02/08/21 05:30:00 AM,8.020,,,
227,02/08/21 05:40:00 AM,8.295,,,
228,02/08/21 05:50:00 AM,8.543,,,
229,02/08/21 06:00:00 AM,8.990,,,
230,02/08/21 06:10:00 AM,8.693,,,
231,02/08/21 06:20:00 AM,8.965,,,
232,02/08/21 06:30:00 AM,8.668,,,
233,02/08/21 06:40:00 AM,8.990,,,
234,02/08/21 06:50:00 AM,8.668,,,
235,02/08/21 07:00:00 AM,8.990,,,
236,02/08/21 07:10:00 AM,8.693,,,
237,02/08/21 07:20:00 AM,8.990,,,
238,02/08/21 07:30:00 AM,8.693,,,
239,02/08/21 07:40:00 AM,8.965,,,
240,02/08/21 07:50:00 AM,8.693,,,
241,02/08/21 08:00:00 AM,8.965,,,
242,02/08/21 08:10:00 AM,8.693,,,
243,02/08/21 08:20:00 AM,8.941,,,
244,02/08/21 08:30:00 AM,8.693,,,
245,02/08/21 08:40:00 AM,8.990,,,
246,02/08/21 08:50:00 AM,8.693,,,
247,02/08/21 09:00:00 AM,8.990,,,
248,02/08/21 09:10:00 AM,8.693,,,
249,02/08/21 09:20:00 AM,8.965,,,
250,02/08/21 09:30:00 AM,8.693,,,
251,02/08/21 09:40:00 AM,8.990,,,
252,02/08/21 09:50:00 AM,8.693,,,
253,02/08/21 10:00:00 AM,8.990,,,
254,02/08/21 10:10:00 AM,8.693,,,
255,02/08/21 10:20:00 AM,8.990,,,
256,02/08/21 10:30:00 AM,8.693,,,
257,02/08/21 10:40:00 AM,8.990,,,
258,02/08/21 10:50:00 AM,8.693,,,
259,02/08/21 11:00:00 AM,8.990,,,
260,02/08/21 11:10:00 AM,8.693,,,
261,02/08/21 11:20:00 AM,8.990,,,
262,02/08/21 11:30:00 AM,8.717,,,
263,02/08/21 11:40:00 AM,9.015,,,
264,02/08/21 11:50:00 AM,8.742,,,
265,02/08/21 12:00:00 PM,9.015,,,
266,02/08/21 12:10:00 PM,8.767,,,
267,02/08/21 12:20:00 PM,8.990,,,
268,02/08/21 12:30:00 PM,8.792,,,
269,02/08/21 12:40:00 PM,8.965,,,
270,02/08/21 12:50:00 PM,8.817,,,
271,02/08/21 01:00:00 PM,8.916,,,
272,02/08/21 01:10:00 PM,8.841,,,
273,02/08/21 01:20:00 PM,8.891,,,
274,02/08/21 01:30:00 PM,8.866,,,
275,02/08/21 01:40:00 PM,8.866,,,
276,02/08/21 01:50:00 PM,8.866,,,
277,02/08/21 02:00:00 PM,8.841,,,
278,02/08/21 02:10:00 PM,8.891,,,
