"Plot Title: 2044042"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444042, SEN S/N: 20444042, LBL: Tank1)","Coupler Detached (LGR S/N: 20444042)","Coupler Attached (LGR S/N: 20444042)","End Of File (LGR S/N: 20444042)"
314,02/08/21 08:10:00 PM,9.139,,,
315,02/08/21 08:20:00 PM,9.188,,,
316,02/08/21 08:30:00 PM,9.163,,,
317,02/08/21 08:40:00 PM,9.139,,,
318,02/08/21 08:50:00 PM,9.238,,,
319,02/08/21 09:00:00 PM,9.139,,,
320,02/08/21 09:10:00 PM,9.238,,,
321,02/08/21 09:20:00 PM,9.139,,,
322,02/08/21 09:30:00 PM,9.238,,,
323,02/08/21 09:40:00 PM,9.139,,,
324,02/08/21 09:50:00 PM,9.262,,,
325,02/08/21 10:00:00 PM,9.114,,,
326,02/08/21 10:10:00 PM,9.262,,,
327,02/08/21 10:20:00 PM,9.089,,,
328,02/08/21 10:30:00 PM,9.262,,,
329,02/08/21 10:40:00 PM,9.089,,,
330,02/08/21 10:50:00 PM,9.262,,,
331,02/08/21 11:00:00 PM,9.089,,,
332,02/08/21 11:10:00 PM,9.262,,,
333,02/08/21 11:20:00 PM,9.064,,,
334,02/08/21 11:30:00 PM,9.287,,,
335,02/08/21 11:40:00 PM,9.064,,,
336,02/08/21 11:50:00 PM,9.262,,,
337,02/09/21 12:00:00 AM,9.040,,,
338,02/09/21 12:10:00 AM,9.262,,,
339,02/09/21 12:20:00 AM,9.040,,,
340,02/09/21 12:30:00 AM,9.262,,,
341,02/09/21 12:40:00 AM,9.040,,,
342,02/09/21 12:50:00 AM,9.262,,,
343,02/09/21 01:00:00 AM,9.064,,,
344,02/09/21 01:10:00 AM,9.262,,,
345,02/09/21 01:20:00 AM,9.089,,,
346,02/09/21 01:30:00 AM,9.287,,,
347,02/09/21 01:40:00 AM,9.114,,,
348,02/09/21 01:50:00 AM,9.262,,,
349,02/09/21 02:00:00 AM,9.114,,,
350,02/09/21 02:10:00 AM,9.287,,,
351,02/09/21 02:20:00 AM,9.163,,,
352,02/09/21 02:30:00 AM,9.213,,,
353,02/09/21 02:40:00 AM,9.213,,,
354,02/09/21 02:50:00 AM,9.089,,,
355,02/09/21 03:00:00 AM,9.262,,,
356,02/09/21 03:10:00 AM,9.089,,,
357,02/09/21 03:20:00 AM,9.287,,,
358,02/09/21 03:30:00 AM,9.139,,,
359,02/09/21 03:40:00 AM,9.262,,,
360,02/09/21 03:50:00 AM,9.213,,,
361,02/09/21 04:00:00 AM,9.089,,,
362,02/09/21 04:10:00 AM,9.262,,,
363,02/09/21 04:20:00 AM,9.089,,,
364,02/09/21 04:30:00 AM,9.312,,,
365,02/09/21 04:40:00 AM,9.163,,,
366,02/09/21 04:50:00 AM,9.238,,,
367,02/09/21 05:00:00 AM,9.163,,,
368,02/09/21 05:10:00 AM,9.188,,,
369,02/09/21 05:20:00 AM,9.213,,,
370,02/09/21 05:30:00 AM,9.089,,,
371,02/09/21 05:40:00 AM,9.262,,,
372,02/09/21 05:50:00 AM,9.064,,,
373,02/09/21 06:00:00 AM,9.287,,,
374,02/09/21 06:10:00 AM,9.114,,,
375,02/09/21 06:20:00 AM,9.262,,,
376,02/09/21 06:30:00 AM,9.089,,,
377,02/09/21 06:40:00 AM,9.262,,,
378,02/09/21 06:50:00 AM,9.089,,,
379,02/09/21 07:00:00 AM,9.262,,,
380,02/09/21 07:10:00 AM,9.114,,,
381,02/09/21 07:20:00 AM,9.287,,,
382,02/09/21 07:30:00 AM,9.163,,,
383,02/09/21 07:40:00 AM,9.238,,,
384,02/09/21 07:50:00 AM,9.188,,,
385,02/09/21 08:00:00 AM,9.139,,,
386,02/09/21 08:10:00 AM,9.213,,,
387,02/09/21 08:20:00 AM,9.089,,,
388,02/09/21 08:30:00 AM,9.213,,,
389,02/09/21 08:40:00 AM,9.089,,,
390,02/09/21 08:50:00 AM,9.213,,,
391,02/09/21 09:00:00 AM,9.089,,,
392,02/09/21 09:10:00 AM,9.188,,,
393,02/09/21 09:20:00 AM,9.089,,,
394,02/09/21 09:30:00 AM,9.238,,,
395,02/09/21 09:40:00 AM,9.040,,,
396,02/09/21 09:50:00 AM,9.262,,,
397,02/09/21 10:00:00 AM,9.040,,,
398,02/09/21 10:10:00 AM,9.238,,,
399,02/09/21 10:20:00 AM,9.040,,,
400,02/09/21 10:30:00 AM,9.238,,,
401,02/09/21 10:40:00 AM,9.064,,,
402,02/09/21 10:50:00 AM,9.213,,,
403,02/09/21 11:00:00 AM,9.089,,,
404,02/09/21 11:10:00 AM,9.188,,,
405,02/09/21 11:20:00 AM,9.139,,,
406,02/09/21 11:30:00 AM,9.188,,,
407,02/09/21 11:40:00 AM,9.139,,,
408,02/09/21 11:50:00 AM,9.188,,,
409,02/09/21 12:00:00 PM,9.163,,,
410,02/09/21 12:10:00 PM,9.188,,,
411,02/09/21 12:20:00 PM,9.139,,,
412,02/09/21 12:30:00 PM,9.188,,,
413,02/09/21 12:40:00 PM,9.188,,,
414,02/09/21 12:50:00 PM,9.163,,,
415,02/09/21 01:00:00 PM,9.213,,,
416,02/09/21 01:10:00 PM,9.188,,,
417,02/09/21 01:20:00 PM,9.163,,,
418,02/09/21 01:30:00 PM,9.188,,,
419,02/09/21 01:40:00 PM,9.188,,,
420,02/09/21 01:50:00 PM,9.163,,,
421,02/09/21 02:00:00 PM,9.188,,,
422,02/09/21 02:10:00 PM,9.188,,,
423,02/09/21 02:20:00 PM,9.163,,,
424,02/09/21 02:30:00 PM,9.188,,,
425,02/09/21 02:40:00 PM,9.139,,,
426,02/09/21 02:50:00 PM,9.188,,,
427,02/09/21 03:00:00 PM,9.139,,,
428,02/09/21 03:10:00 PM,9.188,,,
429,02/09/21 03:20:00 PM,9.114,,,
430,02/09/21 03:30:00 PM,9.238,,,
431,02/09/21 03:40:00 PM,9.064,,,
432,02/09/21 03:50:00 PM,9.213,,,
433,02/09/21 04:00:00 PM,9.089,,,
434,02/09/21 04:10:00 PM,9.238,,,
435,02/09/21 04:20:00 PM,9.064,,,
436,02/09/21 04:30:00 PM,9.238,,,
437,02/09/21 04:40:00 PM,9.089,,,
438,02/09/21 04:50:00 PM,9.238,,,
439,02/09/21 05:00:00 PM,9.040,,,
440,02/09/21 05:10:00 PM,9.238,,,
441,02/09/21 05:20:00 PM,9.040,,,
442,02/09/21 05:30:00 PM,9.238,,,
443,02/09/21 05:40:00 PM,9.040,,,
444,02/09/21 05:50:00 PM,9.238,,,
445,02/09/21 06:00:00 PM,9.040,,,
446,02/09/21 06:10:00 PM,9.238,,,
447,02/09/21 06:20:00 PM,9.040,,,
448,02/09/21 06:30:00 PM,9.238,,,
449,02/09/21 06:40:00 PM,9.064,,,
450,02/09/21 06:50:00 PM,9.238,,,
451,02/09/21 07:00:00 PM,9.064,,,
452,02/09/21 07:10:00 PM,9.238,,,
453,02/09/21 07:20:00 PM,9.064,,,
454,02/09/21 07:30:00 PM,9.238,,,
455,02/09/21 07:40:00 PM,9.064,,,
456,02/09/21 07:50:00 PM,9.238,,,
457,02/09/21 08:00:00 PM,9.089,,,
458,02/09/21 08:10:00 PM,9.163,,,
459,02/09/21 08:20:00 PM,9.163,,,
460,02/09/21 08:30:00 PM,9.163,,,
461,02/09/21 08:40:00 PM,9.188,,,
462,02/09/21 08:50:00 PM,9.114,,,
463,02/09/21 09:00:00 PM,9.262,,,
464,02/09/21 09:10:00 PM,9.089,,,
465,02/09/21 09:20:00 PM,9.287,,,
466,02/09/21 09:30:00 PM,9.089,,,
467,02/09/21 09:40:00 PM,9.262,,,
468,02/09/21 09:50:00 PM,9.040,,,
469,02/09/21 10:00:00 PM,9.238,,,
470,02/09/21 10:10:00 PM,9.040,,,
471,02/09/21 10:20:00 PM,9.188,,,
472,02/09/21 10:30:00 PM,9.163,,,
473,02/09/21 10:40:00 PM,9.139,,,
474,02/09/21 10:50:00 PM,9.238,,,
475,02/09/21 11:00:00 PM,9.114,,,
476,02/09/21 11:10:00 PM,9.262,,,
477,02/09/21 11:20:00 PM,9.089,,,
478,02/09/21 11:30:00 PM,9.262,,,
479,02/09/21 11:40:00 PM,9.040,,,
480,02/09/21 11:50:00 PM,9.238,,,
481,02/10/21 12:00:00 AM,9.040,,,
482,02/10/21 12:10:00 AM,9.262,,,
483,02/10/21 12:20:00 AM,9.040,,,
484,02/10/21 12:30:00 AM,9.238,,,
485,02/10/21 12:40:00 AM,9.064,,,
486,02/10/21 12:50:00 AM,9.213,,,
487,02/10/21 01:00:00 AM,9.089,,,
488,02/10/21 01:10:00 AM,9.188,,,
489,02/10/21 01:20:00 AM,9.139,,,
490,02/10/21 01:30:00 AM,9.163,,,
491,02/10/21 01:40:00 AM,9.213,,,
492,02/10/21 01:50:00 AM,9.163,,,
493,02/10/21 02:00:00 AM,9.238,,,
494,02/10/21 02:10:00 AM,9.139,,,
495,02/10/21 02:20:00 AM,9.238,,,
496,02/10/21 02:30:00 AM,9.139,,,
497,02/10/21 02:40:00 AM,9.238,,,
498,02/10/21 02:50:00 AM,9.114,,,
499,02/10/21 03:00:00 AM,9.287,,,
500,02/10/21 03:10:00 AM,9.139,,,
501,02/10/21 03:20:00 AM,9.287,,,
502,02/10/21 03:30:00 AM,9.188,,,
503,02/10/21 03:40:00 AM,9.163,,,
504,02/10/21 03:50:00 AM,9.213,,,
505,02/10/21 04:00:00 AM,9.089,,,
506,02/10/21 04:10:00 AM,9.238,,,
507,02/10/21 04:20:00 AM,9.040,,,
508,02/10/21 04:30:00 AM,9.287,,,
509,02/10/21 04:40:00 AM,9.089,,,
510,02/10/21 04:50:00 AM,9.287,,,
511,02/10/21 05:00:00 AM,9.163,,,
512,02/10/21 05:10:00 AM,9.213,,,
513,02/10/21 05:20:00 AM,9.213,,,
514,02/10/21 05:30:00 AM,9.089,,,
515,02/10/21 05:40:00 AM,9.238,,,
516,02/10/21 05:50:00 AM,9.040,,,
517,02/10/21 06:00:00 AM,9.287,,,
518,02/10/21 06:10:00 AM,9.064,,,
519,02/10/21 06:20:00 AM,9.287,,,
520,02/10/21 06:30:00 AM,9.114,,,
521,02/10/21 06:40:00 AM,9.287,,,
522,02/10/21 06:50:00 AM,9.213,,,
523,02/10/21 07:00:00 AM,9.089,,,
524,02/10/21 07:10:00 AM,9.238,,,
525,02/10/21 07:20:00 AM,9.040,,,
526,02/10/21 07:30:00 AM,9.238,,,
527,02/10/21 07:40:00 AM,9.040,,,
528,02/10/21 07:50:00 AM,9.262,,,
