DATAH,Record,Date,Time,INPUT2,CHK
DATA,0,2/27/21,15:30:00,127.37,24
DATA,1,2/27/21,15:31:00,128.61,27
DATA,2,2/27/21,15:32:00,129.45,35
DATA,3,2/27/21,15:33:00,130.15,20
DATA,4,2/27/21,15:34:00,131.5,24
DATA,5,2/27/21,15:35:00,132.22,29
DATA,6,2/27/21,15:36:00,133.45,31
DATA,7,2/27/21,15:37:00,134.24,34
DATA,8,2/27/21,15:38:00,135.3,37
DATA,9,2/27/21,15:39:00,136.28,50
DATA,10,2/27/21,15:40:00,137.09,28
DATA,11,2/27/21,15:41:00,138.31,29
DATA,12,2/27/21,15:42:00,138.85,42
DATA,13,2/27/21,15:43:00,139.94,39
DATA,14,2/27/21,15:44:00,141.14,29
DATA,15,2/27/21,15:45:00,141.67,42
DATA,16,2/27/21,15:46:00,142.67,48
DATA,17,2/27/21,15:47:00,143.83,43
DATA,18,2/27/21,15:48:00,144.63,47
DATA,19,2/27/21,15:49:00,145.57,56
DATA,20,2/27/21,15:50:00,146.57,34
DATA,21,2/27/21,15:51:00,147.39,40
DATA,22,2/27/21,15:52:00,148.18,43
DATA,23,2/27/21,15:53:00,149.3,43
DATA,24,2/27/21,15:54:00,149.99,54
DATA,25,2/27/21,15:55:00,150.86,47
DATA,26,2/27/21,15:56:00,151.81,48
DATA,27,2/27/21,15:57:00,152.5,41
DATA,28,2/27/21,15:58:00,153.77,55
DATA,29,2/27/21,15:59:00,154.67,60
DATA,30,2/27/21,16:00:00,155.21,33
DATA,31,2/27/21,16:01:00,156.24,33
DATA,32,2/27/21,16:02:00,157.26,41
DATA,33,2/27/21,16:03:00,157.99,56
DATA,34,2/27/21,16:04:00,154.56,33
DATA,35,2/27/21,16:05:00,159.6,38
DATA,36,2/27/21,16:06:00,160.65,39
DATA,37,2/27/21,16:07:00,161.36,43
DATA,38,2/27/21,16:08:00,162.18,40
DATA,39,2/27/21,16:09:00,163.18,46
DATA,40,2/27/21,16:10:00,164.16,32
DATA,41,2/27/21,16:11:00,168.94,38
DATA,42,2/27/21,16:12:00,169.85,44
DATA,43,2/27/21,16:13:00,170.68,42
DATA,44,2/27/21,16:14:00,165.4,40
DATA,45,2/27/21,16:15:00,161.93,40
DATA,46,2/27/21,16:16:00,170.74,44
DATA,47,2/27/21,16:17:00,171.66,51
DATA,48,2/27/21,16:18:00,172.46,46
DATA,49,2/27/21,16:19:00,173.14,47
DATA,50,2/27/21,16:20:00,174,30
DATA,51,2/27/21,16:21:00,174.99,44
DATA,52,2/27/21,16:22:00,175.58,44
DATA,53,2/27/21,16:23:00,176.5,42
DATA,54,2/27/21,16:24:00,177.71,51
DATA,55,2/27/21,16:25:00,178.38,51
DATA,56,2/27/21,16:26:00,179.11,48
DATA,57,2/27/21,16:27:00,180.16,50
DATA,58,2/27/21,16:28:00,180.72,48
DATA,59,2/27/21,16:29:00,181.73,55
DATA,60,2/27/21,16:30:00,182.51,38
DATA,61,2/27/21,16:31:00,183.27,47
DATA,62,2/27/21,16:32:00,184.3,38
DATA,63,2/27/21,16:33:00,185.03,44
DATA,64,2/27/21,16:34:00,185.63,55
DATA,65,2/27/21,16:35:00,186.83,54
DATA,66,2/27/21,16:36:00,187.35,57
DATA,67,2/27/21,16:37:00,188.41,60
DATA,68,2/27/21,16:38:00,189.05,65
DATA,69,2/27/21,16:39:00,189.76,60
DATA,70,2/27/21,16:40:00,190.51,32
DATA,71,2/27/21,16:41:00,191.41,37
DATA,72,2/27/21,16:42:00,192.28,39
DATA,73,2/27/21,16:43:00,192.87,49
DATA,74,2/27/21,16:44:00,193.67,53
DATA,75,2/27/21,16:45:00,194.6,52
DATA,76,2/27/21,16:46:00,195.55,53
DATA,77,2/27/21,16:47:00,196.13,52
DATA,78,2/27/21,16:48:00,197,54
DATA,79,2/27/21,16:49:00,197.92,61
DATA,80,2/27/21,16:50:00,198.45,47
DATA,81,2/27/21,16:51:00,199.37,54
DATA,82,2/27/21,16:52:00,200.03,35
DATA,83,2/27/21,16:53:00,200.85,41
DATA,84,2/27/21,16:54:00,201.61,41
DATA,85,2/27/21,16:55:00,202.41,44
DATA,86,2/27/21,16:56:00,203.07,43
DATA,87,2/27/21,16:57:00,204.06,48
DATA,88,2/27/21,16:58:00,204.71,55
DATA,89,2/27/21,16:59:00,205.26,61
DATA,90,2/27/21,17:00:00,206.36,35
DATA,91,2/27/21,17:01:00,206.85,44
DATA,92,2/27/21,17:02:00,207.67,49
DATA,93,2/27/21,17:03:00,208.7,40
DATA,94,2/27/21,17:04:00,208.97,54
DATA,95,2/27/21,17:05:00,209.86,58
DATA,96,2/27/21,17:06:00,210.77,55
DATA,97,2/27/21,17:07:00,211.32,43
DATA,98,2/27/21,17:08:00,212.15,50
DATA,99,2/27/21,17:09:00,212.86,63
DATA,100,2/27/21,17:10:00,213.51,25
DATA,101,2/27/21,17:11:00,214.42,30
DATA,102,2/27/21,17:12:00,215,30
DATA,103,2/27/21,17:13:00,215.63,44
DATA,104,2/27/21,17:14:00,216.52,30
DATA,105,2/27/21,17:15:00,217.11,31
DATA,106,2/27/21,17:16:00,217.82,44
DATA,107,2/27/21,17:17:00,218.42,37
DATA,108,2/27/21,17:18:00,219.19,47
DATA,109,2/27/21,17:19:00,219.89,58
DATA,110,2/27/21,17:20:00,220.37,30
DATA,111,2/27/21,17:21:00,221.43,24
DATA,112,2/27/21,17:22:00,221.75,34
DATA,113,2/27/21,17:23:00,221.82,37
DATA,114,2/27/21,17:24:00,221.75,35
DATA,115,2/27/21,17:25:00,221.78,43
DATA,116,2/27/21,17:26:00,221.76,46
DATA,117,2/27/21,17:27:00,221.77,51
DATA,118,2/27/21,17:28:00,221.62,41
DATA,119,2/27/21,17:29:00,221.8,46
DATA,120,2/27/21,17:30:00,221.72,34
DATA,121,2/27/21,17:31:00,221.77,35
DATA,122,2/27/21,17:32:00,221.77,40
DATA,123,2/27/21,17:33:00,221.77,45
DATA,124,2/27/21,17:34:00,221.82,37
DATA,125,2/27/21,17:35:00,221.81,40
DATA,126,2/27/21,17:36:00,221.8,44
DATA,127,2/27/21,17:37:00,221.85,54
DATA,128,2/27/21,17:38:00,221.91,47
DATA,129,2/27/21,17:39:00,221.74,53
DATA,130,2/27/21,17:40:00,221.83,40
DATA,131,2/27/21,17:41:00,221.71,33
DATA,132,2/27/21,17:42:00,221.88,46
DATA,133,2/27/21,17:43:00,221.85,47
DATA,134,2/27/21,17:44:00,221.89,56
DATA,135,2/27/21,17:45:00,221.77,49
