
Model:	LI-1500 Light Sensor Logger	
Config:	193	
Session Remark:	 	
Software Version:	1.1.1	
Timestamp:	20210227 15:29:06	
DATAH	Record	Date	Time	INPUT2	CHK	
DATA	0000000	2021-02-27	15:30:07.003	127.37	 24
DATA	0000001	2021-02-27	15:31:07.006	128.61	 27
DATA	0000002	2021-02-27	15:32:07.009	129.45	 35
DATA	0000003	2021-02-27	15:33:07.012	130.15	 20
DATA	0000004	2021-02-27	15:34:07.014	131.50	 24
DATA	0000005	2021-02-27	15:35:07.017	132.22	 29
DATA	0000006	2021-02-27	15:36:07.020	133.45	 31
DATA	0000007	2021-02-27	15:37:07.023	134.24	 34
DATA	0000008	2021-02-27	15:38:07.026	135.30	 37
DATA	0000009	2021-02-27	15:39:07.029	136.28	 50
DATA	0000010	2021-02-27	15:40:07.032	137.09	 28
DATA	0000011	2021-02-27	15:41:07.035	138.31	 29
DATA	0000012	2021-02-27	15:42:07.037	138.85	 42
DATA	0000013	2021-02-27	15:43:07.040	139.94	 39
DATA	0000014	2021-02-27	15:44:07.043	141.14	 29
DATA	0000015	2021-02-27	15:45:07.046	141.67	 42
DATA	0000016	2021-02-27	15:46:07.049	142.67	 48
DATA	0000017	2021-02-27	15:47:07.052	143.83	 43
DATA	0000018	2021-02-27	15:48:07.055	144.63	 47
DATA	0000019	2021-02-27	15:49:07.058	145.57	 56
DATA	0000020	2021-02-27	15:50:07.060	146.57	 34
DATA	0000021	2021-02-27	15:51:07.063	147.39	 40
DATA	0000022	2021-02-27	15:52:07.066	148.18	 43
DATA	0000023	2021-02-27	15:53:07.069	149.30	 43
DATA	0000024	2021-02-27	15:54:07.072	149.99	 54
DATA	0000025	2021-02-27	15:55:07.075	150.86	 47
DATA	0000026	2021-02-27	15:56:07.078	151.81	 48
DATA	0000027	2021-02-27	15:57:07.081	152.50	 41
DATA	0000028	2021-02-27	15:58:07.083	153.77	 55
DATA	0000029	2021-02-27	15:59:07.086	154.67	 60
DATA	0000030	2021-02-27	16:00:07.089	155.21	 33
DATA	0000031	2021-02-27	16:01:07.092	156.24	 33
DATA	0000032	2021-02-27	16:02:07.095	157.26	 41
DATA	0000033	2021-02-27	16:03:07.098	157.99	 56
DATA	0000034	2021-02-27	16:04:07.101	154.56	 33
DATA	0000035	2021-02-27	16:05:07.104	159.60	 38
DATA	0000036	2021-02-27	16:06:07.106	160.65	 39
DATA	0000037	2021-02-27	16:07:07.109	161.36	 43
DATA	0000038	2021-02-27	16:08:07.112	162.18	 40
DATA	0000039	2021-02-27	16:09:07.115	163.18	 46
DATA	0000040	2021-02-27	16:10:07.118	164.16	 32
DATA	0000041	2021-02-27	16:11:07.121	168.94	 38
DATA	0000042	2021-02-27	16:12:07.124	169.85	 44
DATA	0000043	2021-02-27	16:13:07.127	170.68	 42
DATA	0000044	2021-02-27	16:14:07.129	165.40	 40
DATA	0000045	2021-02-27	16:15:07.132	161.93	 40
DATA	0000046	2021-02-27	16:16:07.135	170.74	 44
DATA	0000047	2021-02-27	16:17:07.138	171.66	 51
DATA	0000048	2021-02-27	16:18:07.141	172.46	 46
DATA	0000049	2021-02-27	16:19:07.144	173.14	 47
DATA	0000050	2021-02-27	16:20:07.147	174.00	 30
DATA	0000051	2021-02-27	16:21:07.150	174.99	 44
DATA	0000052	2021-02-27	16:22:07.152	175.58	 44
DATA	0000053	2021-02-27	16:23:07.155	176.50	 42
DATA	0000054	2021-02-27	16:24:07.158	177.71	 51
DATA	0000055	2021-02-27	16:25:07.161	178.38	 51
DATA	0000056	2021-02-27	16:26:07.164	179.11	 48
DATA	0000057	2021-02-27	16:27:07.167	180.16	 50
DATA	0000058	2021-02-27	16:28:07.170	180.72	 48
DATA	0000059	2021-02-27	16:29:07.173	181.73	 55
DATA	0000060	2021-02-27	16:30:07.175	182.51	 38
DATA	0000061	2021-02-27	16:31:07.178	183.27	 47
DATA	0000062	2021-02-27	16:32:07.181	184.30	 38
DATA	0000063	2021-02-27	16:33:07.184	185.03	 44
DATA	0000064	2021-02-27	16:34:07.187	185.63	 55
DATA	0000065	2021-02-27	16:35:07.190	186.83	 54
DATA	0000066	2021-02-27	16:36:07.193	187.35	 57
DATA	0000067	2021-02-27	16:37:07.196	188.41	 60
DATA	0000068	2021-02-27	16:38:07.198	189.05	 65
DATA	0000069	2021-02-27	16:39:07.201	189.76	 60
DATA	0000070	2021-02-27	16:40:07.204	190.51	 32
DATA	0000071	2021-02-27	16:41:07.207	191.41	 37
DATA	0000072	2021-02-27	16:42:07.210	192.28	 39
DATA	0000073	2021-02-27	16:43:07.213	192.87	 49
DATA	0000074	2021-02-27	16:44:07.216	193.67	 53
DATA	0000075	2021-02-27	16:45:07.219	194.60	 52
DATA	0000076	2021-02-27	16:46:07.222	195.55	 53
DATA	0000077	2021-02-27	16:47:07.224	196.13	 52
DATA	0000078	2021-02-27	16:48:07.227	197.00	 54
DATA	0000079	2021-02-27	16:49:07.230	197.92	 61
DATA	0000080	2021-02-27	16:50:07.233	198.45	 47
DATA	0000081	2021-02-27	16:51:07.236	199.37	 54
DATA	0000082	2021-02-27	16:52:07.239	200.03	 35
DATA	0000083	2021-02-27	16:53:07.242	200.85	 41
DATA	0000084	2021-02-27	16:54:07.245	201.61	 41
DATA	0000085	2021-02-27	16:55:07.247	202.41	 44
DATA	0000086	2021-02-27	16:56:07.250	203.07	 43
DATA	0000087	2021-02-27	16:57:07.253	204.06	 48
DATA	0000088	2021-02-27	16:58:07.256	204.71	 55
DATA	0000089	2021-02-27	16:59:07.259	205.26	 61
DATA	0000090	2021-02-27	17:00:06.262	206.36	 35
DATA	0000091	2021-02-27	17:01:06.265	206.85	 44
DATA	0000092	2021-02-27	17:02:06.267	207.67	 49
DATA	0000093	2021-02-27	17:03:06.270	208.70	 40
DATA	0000094	2021-02-27	17:04:06.273	208.97	 54
DATA	0000095	2021-02-27	17:05:06.276	209.86	 58
DATA	0000096	2021-02-27	17:06:06.279	210.77	 55
DATA	0000097	2021-02-27	17:07:06.282	211.32	 43
DATA	0000098	2021-02-27	17:08:06.285	212.15	 50
DATA	0000099	2021-02-27	17:09:06.288	212.86	 63
DATA	0000100	2021-02-27	17:10:06.291	213.51	 25
DATA	0000101	2021-02-27	17:11:06.293	214.42	 30
DATA	0000102	2021-02-27	17:12:06.296	215.00	 30
DATA	0000103	2021-02-27	17:13:06.299	215.63	 44
DATA	0000104	2021-02-27	17:14:06.302	216.52	 30
DATA	0000105	2021-02-27	17:15:06.305	217.11	 31
DATA	0000106	2021-02-27	17:16:06.308	217.82	 44
DATA	0000107	2021-02-27	17:17:06.311	218.42	 37
DATA	0000108	2021-02-27	17:18:06.314	219.19	 47
DATA	0000109	2021-02-27	17:19:06.316	219.89	 58
DATA	0000110	2021-02-27	17:20:06.319	220.37	 30
DATA	0000111	2021-02-27	17:21:06.322	221.43	 24
DATA	0000112	2021-02-27	17:22:06.325	221.75	 34
DATA	0000113	2021-02-27	17:23:06.328	221.82	 37
DATA	0000114	2021-02-27	17:24:06.331	221.75	 35
DATA	0000115	2021-02-27	17:25:06.334	221.78	 43
DATA	0000116	2021-02-27	17:26:06.337	221.76	 46
DATA	0000117	2021-02-27	17:27:06.339	221.77	 51
DATA	0000118	2021-02-27	17:28:06.342	221.62	 41
