"Plot Title: 20987158"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987158, SEN S/N: 20987158)","Coupler Detached (LGR S/N: 20987158)","Coupler Attached (LGR S/N: 20987158)","Host Connected (LGR S/N: 20987158)","End Of File (LGR S/N: 20987158)"
1,02/06/21 04:00:00 PM,4.324,Logged,,,
2,02/06/21 04:10:00 PM,4.298,,,,
3,02/06/21 04:20:00 PM,4.246,,,,
4,02/06/21 04:30:00 PM,4.376,,,,
5,02/06/21 04:40:00 PM,4.766,,,,
6,02/06/21 04:50:00 PM,5.128,,,,
7,02/06/21 05:00:00 PM,5.411,,,,
8,02/06/21 05:10:00 PM,5.616,,,,
9,02/06/21 05:20:00 PM,5.308,,,,
10,02/06/21 05:30:00 PM,4.999,,,,
11,02/06/21 05:40:00 PM,4.792,,,,
12,02/06/21 05:50:00 PM,4.610,,,,
13,02/06/21 06:00:00 PM,4.454,,,,
14,02/06/21 06:10:00 PM,4.324,,,,
15,02/06/21 06:20:00 PM,4.272,,,,
16,02/06/21 06:30:00 PM,4.610,,,,
17,02/06/21 06:40:00 PM,4.973,,,,
18,02/06/21 06:50:00 PM,5.257,,,,
19,02/06/21 07:00:00 PM,5.514,,,,
20,02/06/21 07:10:00 PM,5.514,,,,
21,02/06/21 07:20:00 PM,5.154,,,,
22,02/06/21 07:30:00 PM,4.869,,,,
23,02/06/21 07:40:00 PM,4.662,,,,
24,02/06/21 07:50:00 PM,4.506,,,,
25,02/06/21 08:00:00 PM,4.350,,,,
26,02/06/21 08:10:00 PM,4.272,,,,
27,02/06/21 08:20:00 PM,4.584,,,,
28,02/06/21 08:30:00 PM,4.947,,,,
29,02/06/21 08:40:00 PM,5.257,,,,
30,02/06/21 08:50:00 PM,5.514,,,,
31,02/06/21 09:00:00 PM,5.488,,,,
32,02/06/21 09:10:00 PM,5.154,,,,
33,02/06/21 09:20:00 PM,4.895,,,,
34,02/06/21 09:30:00 PM,4.688,,,,
35,02/06/21 09:40:00 PM,4.532,,,,
36,02/06/21 09:50:00 PM,4.402,,,,
37,02/06/21 10:00:00 PM,4.298,,,,
38,02/06/21 10:10:00 PM,4.454,,,,
39,02/06/21 10:20:00 PM,4.844,,,,
40,02/06/21 10:30:00 PM,5.231,,,,
41,02/06/21 10:40:00 PM,5.539,,,,
42,02/06/21 10:50:00 PM,5.488,,,,
43,02/06/21 11:00:00 PM,5.205,,,,
44,02/06/21 11:10:00 PM,4.973,,,,
45,02/06/21 11:20:00 PM,4.818,,,,
46,02/06/21 11:30:00 PM,4.688,,,,
47,02/06/21 11:40:00 PM,4.610,,,,
48,02/06/21 11:50:00 PM,4.558,,,,
49,02/07/21 12:00:00 AM,4.532,,,,
50,02/07/21 12:10:00 AM,4.506,,,,
51,02/07/21 12:20:00 AM,4.532,,,,
52,02/07/21 12:30:00 AM,4.532,,,,
53,02/07/21 12:40:00 AM,4.532,,,,
54,02/07/21 12:50:00 AM,4.506,,,,
55,02/07/21 01:00:00 AM,4.506,,,,
56,02/07/21 01:10:00 AM,4.506,,,,
