#YY	MM	DD	hh	mm	WDI	R WSP	D GST	WVHT	DPD	APD	MWD	PRES	ATMP	WTMP	DEWP	VIS	TIDE
2021	1	1	5	48	304	2.5	3.9	99	99	99	999	1029	2.1	6.6	999	99	99
2021	1	1	5	54	999	99	99	99	99	99	999	1029.2	2.1	6.6	999	99	99
2021	1	1	6	0	999	99	99	99	99	99	999	1029.2	2.1	6.6	999	99	99
2021	1	1	6	6	326	3	4.7	99	99	99	999	1029.4	2.1	6.6	999	99	99
2021	1	1	6	12	308	3.1	4.3	99	99	99	999	1029.4	2	6.6	999	99	99
2021	1	1	6	18	312	2.6	3.9	99	99	99	999	1029.7	2	6.6	999	99	99
2021	1	1	6	24	318	3	4.1	99	99	99	999	1029.8	2	6.6	999	99	99
2021	1	1	6	30	315	3.2	4.5	99	99	99	999	1029.8	2	6.7	999	99	99
2021	1	1	6	36	328	1.2	4	99	99	99	999	1029.9	2	6.7	999	99	99
2021	1	1	6	42	326	2.4	3.8	99	99	99	999	1029.9	1.9	6.7	999	99	99
2021	1	1	6	48	314	3.6	4.3	99	99	99	999	1029.9	1.8	6.7	999	99	99
2021	1	1	6	54	346	2.7	4.8	99	99	99	999	1030.2	1.8	6.7	999	99	99
2021	1	1	7	0	319	2.9	3.9	99	99	99	999	1030.2	1.8	6.7	999	99	99
2021	1	1	7	6	327	1.9	3.7	99	99	99	999	1030.4	1.8	6.6	999	99	99
2021	1	1	7	12	342	1.9	3.4	99	99	99	999	1030.5	1.8	6.7	999	99	99
2021	1	1	7	24	334	1.8	4.3	99	99	99	999	1030.4	1.7	6.7	999	99	99
2021	1	1	7	30	350	2.1	3.1	99	99	99	999	1030.5	1.6	6.6	999	99	99
2021	1	1	7	36	319	3.2	4.2	99	99	99	999	1030.3	1.7	6.6	999	99	99
2021	1	1	7	42	353	2.8	3.7	99	99	99	999	1030.6	1.8	6.6	999	99	99
2021	1	1	7	48	330	3.3	5.2	99	99	99	999	1030.4	1.8	6.6	999	99	99
2021	1	1	7	54	337	3.1	5.5	99	99	99	999	1030.4	1.8	6.6	999	99	99
2021	1	1	8	0	333	3.8	4.6	99	99	99	999	1030.5	1.7	6.6	999	99	99
2021	1	1	8	6	345	3.4	5.2	99	99	99	999	1030.7	1.7	6.6	999	99	99
2021	1	1	8	12	322	3.4	4.8	99	99	99	999	1030.5	1.6	6.6	999	99	99
2021	1	1	8	18	341	2.3	4.4	99	99	99	999	1030.7	1.6	6.6	999	99	99
2021	1	1	8	24	333	3.1	5.2	99	99	99	999	1030.6	999	6.5	999	99	99
2021	1	1	8	30	333	3.2	4.6	99	99	99	999	1030.6	999	6.5	999	99	99
2021	1	1	8	36	346	2.5	4.7	99	99	99	999	1030.7	1.5	6.5	999	99	99
2021	1	1	8	42	349	2.3	3.6	99	99	99	999	1030.8	1.5	6.5	999	99	99
2021	1	1	8	48	332	3.1	4	99	99	99	999	1030.6	1.5	6.5	999	99	99
2021	1	1	8	54	360	1.7	4.4	99	99	99	999	1030.8	1.5	6.4	999	99	99
2021	1	1	9	0	348	2.4	3.6	99	99	99	999	1031	1.6	6.4	999	99	99
2021	1	1	9	6	3	1.1	2.6	99	99	99	999	1031	1.7	6.4	999	99	99
2021	1	1	9	12	358	1.4	2.4	99	99	99	999	1031	1.6	6.4	999	99	99
2021	1	1	9	18	0	1.6	2.5	99	99	99	999	1031.1	1.6	6.4	999	99	99
2021	1	1	9	24	10	3.3	4.5	99	99	99	999	1031.2	1.7	6.4	999	99	99
2021	1	1	9	30	357	3.5	4.9	99	99	99	999	1031.1	1.7	6.4	999	99	99
2021	1	1	9	36	6	4.2	5.1	99	99	99	999	1031.2	1.7	6.4	999	99	99
2021	1	1	9	42	354	2.6	5	99	99	99	999	1031.2	1.6	6.3	999	99	99
2021	1	1	9	48	9	3.7	4.5	99	99	99	999	1031.3	1.7	6.3	999	99	99
2021	1	1	9	54	10	2.8	4.6	99	99	99	999	1031.4	1.6	6.3	999	99	99
2021	1	1	10	0	8	3.5	4.6	99	99	99	999	1031.4	1.6	6.3	999	99	99
2021	1	1	10	6	0	1.8	4.3	99	99	99	999	1031.5	1.6	6.3	999	99	99
