,Day,WTMP
319,21-Aug,20.9602328
320,22-Aug,20.98219941
321,23-Aug,20.75645521
322,24-Aug,20.70737223
323,25-Aug,20.85084657
324,26-Aug,21.30807066
325,27-Aug,20.83966052
326,28-Aug,20.76982701
327,29-Aug,20.56219677
329,30-Aug,20.30785079
330,31-Aug,20.58960424
337,1-Sep,20.7267341
348,2-Sep,20.61081821
359,3-Sep,20.53457156
361,4-Sep,20.44056022
362,5-Sep,20.77113233
363,6-Sep,20.47325082
364,7-Sep,20.27354841
365,8-Sep,20.37502516
366,9-Sep,20.30362565
338,10-Sep,20.06943594
339,11-Sep,19.84672852
340,12-Sep,19.82263943
341,13-Sep,19.73275712
342,14-Sep,19.91601526
343,15-Sep,19.78142557
344,16-Sep,19.50595704
345,17-Sep,19.38939724
346,18-Sep,19.35816382
347,19-Sep,19.16334917
349,20-Sep,19.04861015
350,21-Sep,19.04098904
351,22-Sep,19.10757952
352,23-Sep,18.99019601
353,24-Sep,18.81555605
354,25-Sep,18.68311545
355,26-Sep,18.76538093
356,27-Sep,18.80004411
357,28-Sep,18.68620794
358,29-Sep,18.63143988
360,30-Sep,18.38970455
32,1-Oct,18.07751728
43,2-Oct,17.99658297
54,3-Oct,17.88646587
57,4-Oct,17.77489664
58,5-Oct,17.71483016
59,6-Oct,17.58143411
60,7-Oct,17.64284219
61,8-Oct,17.48202835
62,9-Oct,17.31729322
33,10-Oct,17.14371951
34,11-Oct,16.94154939
35,12-Oct,16.78185249
36,13-Oct,16.5319741
37,14-Oct,16.49710845
38,15-Oct,16.45726939
39,16-Oct,16.23188265
40,17-Oct,15.87601853
41,18-Oct,15.68927095
42,19-Oct,15.54276101
44,20-Oct,15.54355344
45,21-Oct,15.50603543
46,22-Oct,15.34882753
47,23-Oct,15.0677175
48,24-Oct,14.88492286
49,25-Oct,14.65116173
50,26-Oct,14.40482556
51,27-Oct,14.27965909
52,28-Oct,14.30269147
53,29-Oct,13.99937601
55,30-Oct,13.62470833
56,31-Oct,13.57935968
63,1-Nov,13.67728345
74,2-Nov,13.46019579
85,3-Nov,13.04514956
87,4-Nov,12.87219879
88,5-Nov,12.91130924
89,6-Nov,13.05724584
90,7-Nov,12.86270709
91,8-Nov,12.46218091
92,9-Nov,12.29648743
64,10-Nov,12.42988955
