#,Date-Time (EST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,12/21/2020 18:00:00,20.16,195.28,,,,
2,12/21/2020 18:10:00,20.16,188.48,,,,
3,12/21/2020 18:20:00,20.12,191.04,,,,
4,12/21/2020 18:30:00,20.20,197.84,,,,
5,12/21/2020 18:40:00,20.33,185.12,,,,
6,12/21/2020 18:50:00,19.90,191.92,,,,
7,12/21/2020 19:00:00,11.02,169.76,,,,
8,12/21/2020 19:10:00,7.76,34.28,,,,
9,12/21/2020 19:20:00,7.55,35.50,,,,
10,12/21/2020 19:30:00,7.50,84.00,,,,
11,12/21/2020 19:40:00,7.38,35.08,,,,
12,12/21/2020 19:50:00,7.38,0.00,,,,
13,12/21/2020 20:00:00,7.33,0.00,,,,
14,12/21/2020 20:10:00,7.25,0.00,,,,
15,12/21/2020 20:20:00,7.20,0.00,,,,
16,12/21/2020 20:30:00,7.20,0.00,,,,
17,12/21/2020 20:40:00,7.16,0.00,,,,
18,12/21/2020 20:50:00,7.16,0.00,,,,
19,12/21/2020 21:00:00,7.12,0.00,,,,
20,12/21/2020 21:10:00,7.12,0.00,,,,
21,12/21/2020 21:20:00,7.03,0.00,,,,
22,12/21/2020 21:30:00,7.12,0.00,,,,
23,12/21/2020 21:40:00,7.08,0.00,,,,
24,12/21/2020 21:50:00,7.08,0.00,,,,
25,12/21/2020 22:00:00,7.08,0.00,,,,
26,12/21/2020 22:10:00,7.08,0.00,,,,
27,12/21/2020 22:20:00,7.12,0.00,,,,
28,12/21/2020 22:30:00,7.03,0.00,,,,
29,12/21/2020 22:40:00,7.08,0.00,,,,
30,12/21/2020 22:50:00,7.12,0.00,,,,
31,12/21/2020 23:00:00,7.08,0.00,,,,
32,12/21/2020 23:10:00,7.12,0.00,,,,
33,12/21/2020 23:20:00,7.16,0.00,,,,
34,12/21/2020 23:30:00,7.16,0.00,,,,
35,12/21/2020 23:40:00,7.12,0.00,,,,
36,12/21/2020 23:50:00,7.16,0.00,,,,
37,12/22/2020 00:00:00,7.16,0.00,,,,
38,12/22/2020 00:10:00,7.16,0.00,,,,
39,12/22/2020 00:20:00,7.20,0.00,,,,
40,12/22/2020 00:30:00,7.20,0.00,,,,
41,12/22/2020 00:40:00,7.25,0.00,,,,
42,12/22/2020 00:50:00,7.20,0.00,,,,
43,12/22/2020 01:00:00,7.29,0.00,,,,
