"","MEblue","MEsienna3","MElightcyan","MEroyalblue","MElightyellow","MEpaleturquoise","MEgrey60","MEdarkolivegreen","MEskyblue","MEdarkturquoise","MElightgreen","MEbrown","MEdarkorange","MEdarkred","MEred","MEgreen","MEdarkgrey","MEsaddlebrown","MEviolet","MEsteelblue","MEdarkgreen","MEdarkmagenta","MEwhite","MEpink","MEpurple","MEorange","MEcyan","MEtan","MEblack","MEsalmon"
"AST-1065",-0.198355178741796,0.095284165027236,0.170053390775513,0.00628445530367539,0.0957241546671858,-0.00933305774965846,-0.00766238025119906,0.0519212574026616,0.12644748190991,0.134695189703577,0.25255723395714,0.180115978224738,0.308355872021279,0.101268934228372,0.184026913179901,0.0751094850937473,0.167250769524523,0.0942928741756473,0.0693226144133418,0.0851979167230945,-0.117983331216375,-0.0647090150184693,0.0124733897744007,0.12683162028396,0.0291430054016672,-0.226384062896685,-0.0661813540207143,0.104653986318536,0.0576463217197777,0.068447616580238
"AST-1147",-0.12925357321215,0.0266709141407055,-0.348274927322757,-0.336150147998579,0.148720849258223,0.0255678207692571,-0.0301501156520038,0.104828974493404,0.11711551006877,0.129619163860805,-0.0310423080902674,0.175068208646486,0.0873579402513193,0.108517213571809,0.176048471423034,0.116914960990092,-0.0243455426688054,0.144697441188186,-0.299677752609576,-0.088963913350641,-0.0492393331596181,-0.0239442617000696,0.0515662487107221,0.0617575351750662,0.0922256789200774,0.361625114290342,0.00044819245519323,0.0993906834660905,0.087286000527003,0.216443348825367
"AST-1412",0.180015750420329,0.0581991842072768,0.294112023447974,0.29396069229238,-0.27668542684307,-0.0422527750310885,0.018716634835075,-0.0926971561058367,-0.133215445921769,-0.0110407121964105,0.41089678224608,-0.126018901732979,-0.269219635629088,-0.13025296548561,-0.396269646790886,-0.132711544370338,0.015258453188899,-0.123748385798892,0.286314933256373,0.221550061651266,0.141908235552156,0.13481746188629,0.0211726728677241,0.0219227055051379,0.0198313363487204,0.0225421744917369,-0.0310482881713037,0.0348793060572789,0.127416748019871,-0.405538594098498
"AST-1560",0.512301841767903,0.470917449627612,0.340089932870183,0.395573619224701,0.169224582622352,0.400223345900517,0.921502413864144,0.3731337441743,0.478811618708594,-0.379367538752628,-0.282264927188345,-0.33380872957246,-0.262379137168156,-0.590847903935241,-0.272540229822792,-0.934635394111814,-0.704661261274936,-0.585005985255924,-0.493535494887739,-0.441075423785292,-0.381759392703255,-0.812146044373592,0.182385195988718,-0.475115945947219,-0.638301674852873,-0.192871234532626,-0.236727972387635,-0.411587694312086,-0.502341224086955,-0.402507970018832
"AST-1567",-0.00670874950961641,-0.0754777925599368,-0.461934361504654,-0.461592924098613,0.0675502393159043,-0.0283639604772989,-0.0963390609495917,0.147234896652541,0.0811156536423884,0.0646829289713094,-0.263051763263968,0.144083854927001,-0.301687534548077,0.056140623078073,0.111948124526801,0.100471212358246,-0.115818689784706,0.122927915217303,-0.441122497146881,-0.339084210588627,0.0153785133201703,-0.0104635797469994,0.0355098089084397,-0.00457534927120326,0.102267209838727,0.341446519617297,0.00715669621092827,0.040500870782878,0.0428762727191064,0.213839039315766
"AST-1617",-0.0843002048272219,-0.151380092380059,-0.0512358605551232,-0.0952138704159955,0.0784104540446143,0.0362174731140467,-0.0166960888724702,0.0533203964615217,0.0604456445088336,0.115157370538972,0.0973419964648195,0.172894743676711,0.127322314707389,0.114867068325976,0.0977610703782868,0.0962917124726698,0.0413327079761019,0.0945319848354167,-0.00935577216825455,-0.0163108132336869,0.00201489964962085,0.0367305052477371,0.0364602480850636,0.0804994881066425,0.0798204121831264,0.0388838889218914,0.156893465271079,0.123934243359078,0.101052998889297,0.134280720053657
"AST-1722",-0.00380799869888719,-0.0505948500232592,-0.304656753555505,-0.310446976897829,0.0644218926515729,0.0542989672328475,-0.00607476171706322,0.098702819697227,0.0301197892738292,0.0998398856864071,0.00317692481601538,0.170187810234384,0.0645189425707919,0.075441596964833,0.048672644382841,0.0837169648616596,-0.0609542020136822,0.0928896354808757,-0.254116380368353,-0.0413911554540999,0.0250526573260833,0.0449717249652784,0.0744882400091212,0.0594372148678136,0.127152798732636,0.44295975634781,0.0328591028571112,0.129677455184596,0.0994670746997874,0.177340607863307
"AST-2000",0.611886788089792,-0.360927549061163,-0.205860848440007,0.244476198860961,-0.17317641255279,0.217559575012417,-0.161698937448818,0.157593605228273,-0.436891644325043,-0.463657859368402,-0.322370760443888,-0.376479652245282,-0.289335722365973,-0.062292608210742,-0.511639761326142,-0.0544789480881545,-0.497194000753311,-0.697192700709204,0.246768048876414,0.379536000470775,0.694205149948337,0.425166061325994,0.173701574995587,-0.459359964131679,0.176255254663313,0.292588248681907,0.89362049927271,0.35393113465083,0.274815434491107,0.163504618122352
"AST-2007",-0.130100046192953,-0.102679829105449,0.0750526070707403,-0.0257913879744082,0.0858978836104171,0.00630662627301823,0.0218332228938375,0.0473202655867695,0.0886137214755596,0.118456353735611,0.168675440437368,0.170283463116987,0.21200727026391,0.114059232505569,0.13406601050485,0.0910957865087483,0.110970673339178,0.0962225145570492,0.0787455242096818,0.106255351513672,-0.040439805414671,-0.0071533168227242,0.0413602655399923,0.100903830329523,0.0618453553382831,-0.13660030054531,-0.0191591640238323,0.115461705223226,0.0797249876204334,0.089734877773753
"AST-2302",-0.114482757219029,0.353606776590226,0.222559293937324,0.0910577273543503,0.024537214762495,-0.00665901871292219,0.0169093660496144,0.0429224525073556,0.0818135902619551,0.089363924544514,0.248986619330094,0.14426840597901,0.206241230662197,0.0480944937005485,0.0463994052338042,0.0375284978080849,0.123008642387101,0.0465496256859748,0.0734348187163372,0.175926024118628,-0.058179735330058,-0.00149616597810197,0.0306729024693494,0.12703507096087,0.0417651956385977,-0.0874066594436329,-0.0383745878740463,0.0990554181209017,0.0659885618988712,0.0305359944360825
