Serial Number:20937870 --

"Date Time, GMT -1000","Temp, (*C)","Intensity, ( lux)","Button Down","Button Up","Host Connect","EOF"
2020-12-22 10:40:00,8.23,305, , , , 
2020-12-22 10:50:00,8.28,291, , , , 
2020-12-22 11:00:00,8.32,270, , , , 
2020-12-22 11:10:00,8.32,254, , , , 
2020-12-22 11:20:00,8.36,234, , , , 
2020-12-22 11:30:00,8.36,217, , , , 
2020-12-22 11:40:00,8.23,196, , , , 
2020-12-22 11:50:00,8.15,176, , , , 
2020-12-22 12:00:00,8.06,154, , , , 
2020-12-22 12:10:00,8.11,134, , , , 
2020-12-22 12:20:00,8.11,113, , , , 
2020-12-22 12:30:00,8.15,92, , , , 
2020-12-22 12:40:00,8.19,79, , , , 
2020-12-22 12:50:00,8.23,71, , , , 
2020-12-22 13:00:00,8.15,60, , , , 
2020-12-22 13:10:00,8.11,60, , , , 
2020-12-22 13:20:00,8.06,59, , , , 
2020-12-22 13:30:00,7.93,61, , , , 
2020-12-22 13:40:00,7.85,60, , , , 
2020-12-22 13:50:00,7.81,59, , , , 
2020-12-22 14:00:00,7.72,62, , , , 
2020-12-22 14:10:00,7.72,61, , , , 
2020-12-22 14:20:00,7.68,62, , , , 
2020-12-22 14:30:00,7.63,0, , , , 
2020-12-22 14:40:00,7.59,0, , , , 
2020-12-22 14:50:00,7.59,0, , , , 
2020-12-22 15:00:00,7.59,0, , , , 
2020-12-22 15:10:00,7.59,0, , , , 
2020-12-22 15:20:00,7.50,0, , , , 
2020-12-22 15:30:00,7.50,0, , , , 
2020-12-22 15:40:00,7.46,0, , , , 
2020-12-22 15:50:00,7.50,0, , , , 
2020-12-22 16:00:00,7.46,0, , , , 
2020-12-22 16:10:00,7.42,0, , , , 
2020-12-22 16:20:00,7.42,0, , , , 
2020-12-22 16:30:00,7.38,0, , , , 
2020-12-22 16:40:00,7.38,0, , , , 
2020-12-22 16:50:00,7.33,0, , , , 
2020-12-22 17:00:00,7.33,0, , , , 
2020-12-22 17:10:00,7.33,0, , , , 
2020-12-22 17:20:00,7.29,0, , , , 
2020-12-22 17:30:00,7.25,0, , , , 
2020-12-22 17:40:00,7.25,0, , , , 
2020-12-22 17:50:00,7.20,0, , , , 
2020-12-22 18:00:00,7.16,0, , , , 
2020-12-22 18:10:00,7.16,0, , , , 
2020-12-22 18:20:00,7.16,0, , , , 
2020-12-22 18:30:00,7.12,0, , , , 
2020-12-22 18:40:00,7.08,0, , , , 
2020-12-22 18:50:00,7.16,0, , , , 
2020-12-22 19:00:00,7.16,0, , , , 
2020-12-22 19:10:00,7.16,0, , , , 
2020-12-22 19:20:00,7.16,0, , , , 
2020-12-22 19:30:00,7.20,0, , , , 
2020-12-22 19:40:00,7.25,0, , , , 
2020-12-22 19:50:00,7.20,0, , , , 
2020-12-22 20:00:00,7.25,0, , , , 
2020-12-22 20:10:00,7.20,0, , , , 
2020-12-22 20:20:00,7.20,0, , , , 
2020-12-22 20:30:00,7.25,0, , , , 
2020-12-22 20:40:00,7.25,0, , , , 
2020-12-22 20:50:00,7.20,0, , , , 
2020-12-22 21:00:00,7.25,0, , , , 
2020-12-22 21:10:00,7.20,0, , , , 
2020-12-22 21:20:00,7.25,0, , , , 
2020-12-22 21:30:00,7.29,0, , , , 
2020-12-22 21:40:00,7.33,0, , , , 
2020-12-22 21:50:00,7.29,0, , , , 
2020-12-22 22:00:00,7.33,0, , , , 
2020-12-22 22:10:00,7.33,0, , , , 
2020-12-22 22:20:00,7.38,0, , , , 
2020-12-22 22:30:00,7.46,0, , , , 
2020-12-22 22:40:00,7.50,0, , , , 
2020-12-22 22:50:00,7.63,0, , , , 
2020-12-22 23:00:00,7.76,0, , , , 
2020-12-22 23:10:00,7.85,0, , , , 
2020-12-22 23:20:00,7.93,0, , , , 
2020-12-22 23:30:00,8.06,0, , , , 
2020-12-22 23:40:00,7.98,0, , , , 
2020-12-22 23:50:00,7.98,0, , , , 
2020-12-23 00:00:00,7.98,0, , , , 
2020-12-23 00:10:00,7.89,0, , , , 
2020-12-23 00:20:00,7.81,0, , , , 
2020-12-23 00:30:00,7.72,0, , , , 
2020-12-23 00:40:00,7.63,0, , , , 
2020-12-23 00:50:00,7.63,0, , , , 
2020-12-23 01:00:00,7.55,0, , , , 
2020-12-23 01:10:00,7.55,9, , , , 
2020-12-23 01:20:00,7.59,18, , , , 
2020-12-23 01:30:00,7.55,31, , , , 
2020-12-23 01:40:00,7.59,49, , , , 
2020-12-23 01:50:00,7.59,69, , , , 
2020-12-23 02:00:00,7.59,93, , , , 
2020-12-23 02:10:00,7.50,112, , , , 
2020-12-23 02:20:00,7.50,190, , , , 
2020-12-23 02:30:00,7.46,205, , , , 
2020-12-23 02:40:00,7.46,220, , , , 
2020-12-23 02:50:00,7.46,238, , , , 
2020-12-23 03:00:00,7.42,257, , , , 
2020-12-23 03:10:00,7.50,273, , , , 
2020-12-23 03:20:00,7.46,290, , , , 
2020-12-23 03:30:00,7.46,303, , , , 
2020-12-23 03:40:00,7.50,315, , , , 
2020-12-23 03:50:00,7.46,328, , , , 
2020-12-23 04:00:00,7.46,336, , , , 
2020-12-23 04:10:00,7.46,355, , , , 
2020-12-23 04:20:00,7.46,366, , , , 
2020-12-23 04:30:00,7.46,379, , , , 
2020-12-23 04:40:00,7.46,392, , , , 
2020-12-23 04:50:00,7.42,403, , , , 
2020-12-23 05:00:00,7.46,410, , , , 
2020-12-23 05:10:00,7.42,414, , , , 
2020-12-23 05:20:00,7.46,407, , , , 
2020-12-23 05:30:00,7.50,413, , , , 
2020-12-23 05:40:00,7.42,407, , , , 
2020-12-23 05:50:00,7.50,413, , , , 
2020-12-23 06:00:00,7.46,413, , , , 
2020-12-23 06:10:00,7.50,410, , , , 
2020-12-23 06:20:00,7.50,412, , , , 
2020-12-23 06:30:00,7.55,407, , , , 
2020-12-23 06:40:00,7.55,406, , , , 
2020-12-23 06:50:00,7.59,406, , , , 
2020-12-23 07:00:00,7.59,411, , , , 
2020-12-23 07:10:00,7.59,405, , , , 
2020-12-23 07:20:00,7.59,409, , , , 
2020-12-23 07:30:00,7.63,407, , , , 
2020-12-23 07:40:00,7.68,411, , , , 
2020-12-23 07:50:00,7.72,405, , , , 
2020-12-23 08:00:00,7.76,406, , , , 
2020-12-23 08:10:00,7.72,404, , , , 
2020-12-23 08:20:00,7.76,406, , , , 
2020-12-23 08:30:00,7.76,402, , , , 
2020-12-23 08:40:00,7.76,407, , , , 
2020-12-23 08:50:00,7.76,403, , , , 
2020-12-23 09:00:00,7.81,403, , , , 
2020-12-23 09:10:00,7.85,391, , , , 
2020-12-23 09:20:00,7.81,380, , , , 
2020-12-23 09:30:00,7.85,368, , , , 
2020-12-23 09:40:00,7.81,357, , , , 
2020-12-23 09:50:00,7.85,343, , , , 
2020-12-23 10:00:00,7.89,333, , , , 
2020-12-23 10:10:00,7.85,322, , , , 
2020-12-23 10:20:00,7.93,224, , , , 
2020-12-23 10:30:00,7.89,212, , , , 
2020-12-23 10:40:00,7.89,203, , , , 
2020-12-23 10:50:00,7.93,191, , , , 
2020-12-23 11:00:00,7.89,178, , , , 
2020-12-23 11:10:00,7.89,172, , , , 
2020-12-23 11:20:00,8.02,163, , , , 
2020-12-23 11:30:00,8.02,150, , , , 
2020-12-23 11:40:00,8.06,133, , , , 
2020-12-23 11:50:00,8.11,103, , , , 
2020-12-23 12:00:00,8.06,104, , , , 
2020-12-23 12:10:00,8.06,89, , , , 
2020-12-23 12:20:00,8.06,79, , , , 
2020-12-23 12:30:00,8.06,72, , , , 
2020-12-23 12:40:00,8.02,66, , , , 
2020-12-23 12:50:00,7.98,6, , , , 
2020-12-23 13:00:00,7.93,0, , , , 
2020-12-23 13:10:00,7.85,0, , , , 
2020-12-23 13:20:00,7.81,0, , , , 
2020-12-23 13:30:00,7.72,0, , , , 
2020-12-23 13:40:00,7.72,0, , , , 
2020-12-23 13:50:00,7.63,0, , , , 
2020-12-23 14:00:00,7.59,0, , , , 
2020-12-23 14:10:00,7.59,0, , , , 
2020-12-23 14:20:00,7.55,0, , , , 
2020-12-23 14:30:00,7.59,0, , , , 
2020-12-23 14:40:00,7.59,0, , , , 
2020-12-23 14:50:00,7.59,0, , , , 
2020-12-23 15:00:00,7.59,0, , , , 
2020-12-23 15:10:00,7.63,0, , , , 
2020-12-23 15:20:00,7.55,0, , , , 
2020-12-23 15:30:00,7.46,0, , , , 
2020-12-23 15:40:00,7.42,0, , , , 
2020-12-23 15:50:00,7.29,0, , , , 
2020-12-23 16:00:00,7.25,0, , , , 
2020-12-23 16:10:00,7.20,0, , , , 
2020-12-23 16:20:00,7.16,0, , , , 
2020-12-23 16:30:00,7.16,0, , , , 
2020-12-23 16:40:00,7.12,0, , , , 
2020-12-23 16:50:00,7.12,0, , , , 
2020-12-23 17:00:00,7.08,0, , , , 
2020-12-23 17:10:00,7.12,0, , , , 
2020-12-23 17:20:00,7.16,0, , , , 
2020-12-23 17:30:00,7.12,0, , , , 
2020-12-23 17:40:00,7.16,0, , , , 
2020-12-23 17:50:00,7.08,0, , , , 
2020-12-23 18:00:00,7.08,0, , , , 
2020-12-23 18:10:00,7.08,0, , , , 
2020-12-23 18:20:00,7.12,0, , , , 
2020-12-23 18:30:00,7.12,0, , , , 
2020-12-23 18:40:00,7.08,0, , , , 
2020-12-23 18:50:00,7.08,0, , , , 
2020-12-23 19:00:00,7.08,0, , , , 
2020-12-23 19:10:00,7.03,0, , , , 
2020-12-23 19:20:00,7.08,0, , , , 
2020-12-23 19:30:00,7.08,0, , , , 
2020-12-23 19:40:00,7.08,0, , , , 
2020-12-23 19:50:00,7.08,0, , , , 
2020-12-23 20:00:00,7.08,0, , , , 
2020-12-23 20:10:00,7.16,0, , , , 
2020-12-23 20:20:00,7.12,0, , , , 
2020-12-23 20:30:00,7.20,0, , , , 
2020-12-23 20:40:00,7.25,0, , , , 
2020-12-23 20:50:00,7.20,0, , , , 
2020-12-23 21:00:00,7.20,0, , , , 
2020-12-23 21:10:00,7.25,0, , , , 
2020-12-23 21:20:00,7.33,0, , , , 
2020-12-23 21:30:00,7.29,0, , , , 
2020-12-23 21:40:00,7.33,0, , , , 
2020-12-23 21:50:00,7.46,0, , , , 
2020-12-23 22:00:00,7.63,0, , , , 
2020-12-23 22:10:00,7.72,0, , , , 
2020-12-23 22:20:00,7.81,0, , , , 
2020-12-23 22:30:00,7.89,0, , , , 
2020-12-23 22:40:00,7.98,0, , , , 
2020-12-23 22:50:00,7.89,0, , , , 
2020-12-23 23:00:00,7.98,0, , , , 
2020-12-23 23:10:00,8.02,0, , , , 
2020-12-23 23:20:00,8.11,0, , , , 
2020-12-23 23:30:00,8.11,0, , , , 
2020-12-23 23:40:00,8.06,0, , , , 
2020-12-23 23:50:00,8.06,0, , , , 
2020-12-24 00:00:00,8.11,0, , , , 
2020-12-24 00:10:00,8.11,0, , , , 
2020-12-24 00:20:00,8.11,0, , , , 
2020-12-24 00:30:00,8.11,0, , , , 
2020-12-24 00:40:00,8.06,0, , , , 
2020-12-24 00:50:00,8.11,0, , , , 
2020-12-24 01:00:00,8.06,0, , , , 
2020-12-24 01:10:00,8.02,5, , , , 
2020-12-24 01:20:00,7.98,10, , , , 
2020-12-24 01:30:00,7.93,15, , , , 
2020-12-24 01:40:00,8.02,20, , , , 
2020-12-24 01:50:00,8.02,30, , , , 
2020-12-24 02:00:00,8.11,43, , , , 
2020-12-24 02:10:00,8.19,53, , , , 
2020-12-24 02:20:00,8.36,122, , , , 
2020-12-24 02:30:00,8.32,133, , , , 
2020-12-24 02:40:00,8.32,141, , , , 
2020-12-24 02:50:00,8.28,150, , , , 
2020-12-24 03:00:00,8.23,161, , , , 
2020-12-24 03:10:00,8.19,170, , , , 
2020-12-24 03:20:00,8.19,181, , , , 
2020-12-24 03:30:00,8.15,190, , , , 
2020-12-24 03:40:00,8.15,201, , , , 
2020-12-24 03:50:00,8.19,212, , , , 
2020-12-24 04:00:00,8.19,221, , , , 
2020-12-24 04:10:00,8.19,230, , , , 
2020-12-24 04:20:00,8.23,239, , , , 
2020-12-24 04:30:00,8.23,249, , , , 
