Id,Date,Delta T [min],Device,Channel,Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],Error
9258476,19/12/20 12:28:26,0.000,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.204,µmol/L,10.123,°C,1029.000,hPa,Humid,35,0
9258479,19/12/20 12:28:27,0.015,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.950,µmol/L,10.131,°C,1029.000,hPa,Humid,35,0
9258491,19/12/20 12:28:28,0.032,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.089,µmol/L,10.131,°C,1029.000,hPa,Humid,35,0
9258495,19/12/20 12:28:29,0.048,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,278.148,µmol/L,10.119,°C,1029.000,hPa,Humid,35,0
9258502,19/12/20 12:28:30,0.065,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.985,µmol/L,10.124,°C,1029.000,hPa,Humid,35,0
9258511,19/12/20 12:28:31,0.082,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.889,µmol/L,10.137,°C,1029.000,hPa,Humid,35,0
9258520,19/12/20 12:28:32,0.099,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.831,µmol/L,10.149,°C,1029.000,hPa,Humid,35,0
9258525,19/12/20 12:28:33,0.115,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.776,µmol/L,10.140,°C,1029.000,hPa,Humid,35,0
9258534,19/12/20 12:28:34,0.132,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.790,µmol/L,10.143,°C,1029.000,hPa,Humid,35,0
9258541,19/12/20 12:28:35,0.149,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.812,µmol/L,10.135,°C,1029.000,hPa,Humid,35,0
9258554,19/12/20 12:28:36,0.165,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.770,µmol/L,10.138,°C,1029.000,hPa,Humid,35,0
9258557,19/12/20 12:28:37,0.181,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.900,µmol/L,10.128,°C,1029.000,hPa,Humid,35,0
9258567,19/12/20 12:28:38,0.198,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.923,µmol/L,10.128,°C,1029.000,hPa,Humid,35,0
9258574,19/12/20 12:28:39,0.215,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.854,µmol/L,10.133,°C,1029.000,hPa,Humid,35,0
9258586,19/12/20 12:28:40,0.232,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.613,µmol/L,10.150,°C,1029.000,hPa,Humid,35,0
9258591,19/12/20 12:28:41,0.248,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.730,µmol/L,10.145,°C,1029.000,hPa,Humid,35,0
9258601,19/12/20 12:28:42,0.265,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.875,µmol/L,10.139,°C,1029.000,hPa,Humid,35,0
9258611,19/12/20 12:28:43,0.282,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.746,µmol/L,10.143,°C,1029.000,hPa,Humid,35,0
9258619,19/12/20 12:28:44,0.299,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.767,µmol/L,10.135,°C,1029.000,hPa,Humid,35,0
9258622,19/12/20 12:28:45,0.315,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.666,µmol/L,10.141,°C,1029.000,hPa,Humid,35,0
9258635,19/12/20 12:28:46,0.332,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.600,µmol/L,10.138,°C,1029.000,hPa,Humid,35,0
9258642,19/12/20 12:28:47,0.349,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.826,µmol/L,10.131,°C,1029.000,hPa,Humid,35,0
9258649,19/12/20 12:28:48,0.365,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.916,µmol/L,10.126,°C,1029.000,hPa,Humid,35,0
9258658,19/12/20 12:28:49,0.382,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.539,µmol/L,10.150,°C,1029.000,hPa,Humid,35,0
9258667,19/12/20 12:28:50,0.399,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.766,µmol/L,10.143,°C,1029.000,hPa,Humid,35,0
9258672,19/12/20 12:28:51,0.416,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.845,µmol/L,10.134,°C,1029.000,hPa,Humid,35,0
9258683,19/12/20 12:28:52,0.432,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.688,µmol/L,10.136,°C,1029.000,hPa,Humid,35,0
9258690,19/12/20 12:28:53,0.449,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.585,µmol/L,10.148,°C,1029.000,hPa,Humid,35,0
9258700,19/12/20 12:28:54,0.466,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.662,µmol/L,10.136,°C,1029.000,hPa,Humid,35,0
9258703,19/12/20 12:28:55,0.482,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.591,µmol/L,10.150,°C,1029.000,hPa,Humid,35,0
9258713,19/12/20 12:28:56,0.499,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.769,µmol/L,10.138,°C,1029.000,hPa,Humid,35,0
9258722,19/12/20 12:28:57,0.515,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.778,µmol/L,10.134,°C,1029.000,hPa,Humid,35,0
9258731,19/12/20 12:28:58,0.532,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.774,µmol/L,10.134,°C,1029.000,hPa,Humid,35,0
9258736,19/12/20 12:28:59,0.548,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.672,µmol/L,10.146,°C,1029.000,hPa,Humid,35,0
9258746,19/12/20 12:29:00,0.565,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.562,µmol/L,10.148,°C,1029.000,hPa,Humid,35,0
9258756,19/12/20 12:29:01,0.582,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.609,µmol/L,10.145,°C,1029.000,hPa,Humid,35,0
9258763,19/12/20 12:29:02,0.599,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.790,µmol/L,10.141,°C,1029.000,hPa,Humid,35,0
9258766,19/12/20 12:29:03,0.615,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.781,µmol/L,10.139,°C,1029.000,hPa,Humid,35,0
9258777,19/12/20 12:29:04,0.632,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.635,µmol/L,10.150,°C,1029.000,hPa,Humid,35,0
9258785,19/12/20 12:29:05,0.649,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.472,µmol/L,10.144,°C,1029.000,hPa,Humid,35,0
9258795,19/12/20 12:29:06,0.665,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.637,µmol/L,10.137,°C,1029.000,hPa,Humid,35,0
9258798,19/12/20 12:29:07,0.681,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.640,µmol/L,10.139,°C,1029.000,hPa,Humid,35,0
9258806,19/12/20 12:29:08,0.698,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.621,µmol/L,10.138,°C,1029.000,hPa,Humid,35,0
9258817,19/12/20 12:29:09,0.715,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.743,µmol/L,10.138,°C,1029.000,hPa,Humid,35,0
9258826,19/12/20 12:29:10,0.732,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.377,µmol/L,10.147,°C,1029.000,hPa,Humid,35,0
9258834,19/12/20 12:29:11,0.749,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.787,µmol/L,10.144,°C,1029.000,hPa,Humid,35,0
9258838,19/12/20 12:29:12,0.765,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.700,µmol/L,10.145,°C,1029.000,hPa,Humid,35,0
9258850,19/12/20 12:29:13,0.782,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.534,µmol/L,10.146,°C,1029.000,hPa,Humid,35,0
9258859,19/12/20 12:29:14,0.799,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.691,µmol/L,10.141,°C,1029.000,hPa,Humid,35,0
9258866,19/12/20 12:29:15,0.815,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.694,µmol/L,10.141,°C,1029.000,hPa,Humid,35,0
9258873,19/12/20 12:29:16,0.831,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.606,µmol/L,10.148,°C,1029.000,hPa,Humid,35,0
9258877,19/12/20 12:29:17,0.848,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.573,µmol/L,10.152,°C,1029.000,hPa,Humid,35,0
9258890,19/12/20 12:29:18,0.865,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.526,µmol/L,10.146,°C,1029.000,hPa,Humid,35,0
9258898,19/12/20 12:29:19,0.882,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.533,µmol/L,10.151,°C,1029.000,hPa,Humid,35,0
9258906,19/12/20 12:29:20,0.899,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.530,µmol/L,10.159,°C,1029.000,hPa,Humid,35,0
9258909,19/12/20 12:29:21,0.915,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.620,µmol/L,10.146,°C,1029.000,hPa,Humid,35,0
9258921,19/12/20 12:29:22,0.932,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.563,µmol/L,10.153,°C,1029.000,hPa,Humid,35,0
9258931,19/12/20 12:29:23,0.949,SABD0000000001 (OXY-10 ST),8,OXY-CH8 (PSt7-10),19/12/20 11:21:48,default,277.816,µmol/L,10.135,°C,1029.000,hPa,Humid,35,0
