PlugID,Site,DateCollected,ExperimentalTank,Treatment,Timepoint,Metric,DateSampled
AST-1479,FW,,1,Ambient,TP0,Histology,20210225
AST-2004,FW,,2,Ambient,TP0,Histology,20210225
AST-2305,ENDV,,5,Ambient,TP0,Histology,20210225
AST-1237,FW,,8,Ambient,TP0,Histology,20210225
AST-2024,ENDV,,10,Ambient,TP0,Histology,20210225
AST-1069,ENDV,,12,Ambient,TP0,Histology,20210225
AST-2868,FW,,16,Ambient,TP0,Histology,20210225
AST-2751,ENDV,,18,Ambient,TP0,Histology,20210225
AST-1085,ENDV,,1,Ambient,TP2,Histology,20210402
AST-2979,FW,,2,Ambient,TP2,Histology,20210402
AST-2202,FW,,3,Heat,TP2,Histology,20210402
AST-1042,ENDV,,4,Heat,TP2,Histology,20210402
AST-1448,ENDV,,5,Ambient,TP2,Histology,20210402
AST-1461,ENDV,,6,Heat,TP2,Histology,20210402
AST-2384,ENDV,,7,Heat,TP2,Histology,20210402
AST-1533,ENDV,,9,Heat,TP2,Histology,20210402
AST-1225,ENDV,,10,Ambient,TP2,Histology,20210402
AST-1053,ENDV,,11,Heat,TP2,Histology,20210402
AST-2399,ENDV,,12,Ambient,TP2,Histology,20210402
AST-1197,FW,,15,Heat,TP2,Histology,20210402
AST-2757,FW,,16,Ambient,TP2,Histology,20210402
AST-1576,FW,,17,Heat,TP2,Histology,20210402
AST-1311,FW,,18,Ambient,TP2,Histology,20210402
AST-1621,FW,,1,Ambient,TP4,Histology,
AST-1238,FW,,2,Ambient,TP4,Histology,
AST-1483,FW,,3,Heat,TP4,Histology,
AST-1135,ENDV,,4,Heat,TP4,Histology,
AST-2730,FW,,5,Ambient,TP4,Histology,
AST-1440,FW,,6,Heat,TP4,Histology,
AST-2976,FW,,7,Heat,TP4,Histology,
AST-1205,FW,,8,Ambient,TP4,Histology,
AST-1554,FW,,9,Heat,TP4,Histology,
AST-1557,ENDV,,10,Ambient,TP4,Histology,
AST-1430,ENDV,,11,Heat,TP4,Histology,
AST-1071,FW,,12,Ambient,TP4,Histology,
AST-1110,FW,,15,Heat,TP4,Histology,
AST-1122,ENDV,,16,Ambient,TP4,Histology,
AST-1470,FW,,17,Heat,TP4,Histology,
AST-2075,FW,,18,Ambient,TP4,Histology,
AST-1636,FW,,2,Ambient,TP6,Histology,20210723
AST-1187,FW,,4,Heat,TP6,Histology,20210723
AST-1170,FW,,5,Ambient,TP6,Histology,20210723
AST-2566,FW,,6,Heat,TP6,Histology,20210723
AST-1191,FW,,10,Ambient,TP6,Histology,20210723
AST-1541,FW,,11,Heat,TP6,Histology,20210723
AST-1466,FW,,16,Ambient,TP6,Histology,20210723
AST-2279,ENDV,,1,Ambient,TP7,Histology,20210825
AST-1043,FW,,4,Heat,TP7,Histology,20210825
AST-1141,FW,,6,Heat,TP7,Histology,20210825
AST-2990,ENDV,,8,Ambient,TP7,Histology,20210825
AST-1204,FW,,11,Heat,TP7,Histology,20210825
AST-1596,ENDV,,11,Heat,TP8,Histology,
AST-2743,FW,,11,Heat,TP8,Histology,
AST-1242,ENDV,,12,Ambient,TP7,Histology,
AST-1214,FW,,17,Heat,TP8,Histology,
AST-2372,ENDV,,17,Heat,TP7,Histology,
AST-1247,FW,,18,Ambient,TP7,Histology,
AST-1450,ENDV,,1,Ambient,TP8,Molec,
AST-1163,ENDV,,5,Ambient,TP8,Molec,
AST-2738,ENDV,,8,Ambient,TP8,Molec,
AST-1409,ENDV,,9,Heat,TP8,Molec,
AST-2737,FW,,12,Ambient,TP8,Molec,
AST-1492,FW,,15,Heat,TP8,Molec,
AST-1611,,,18,,TP8,Molec,
AST-2197,FW,,1,Ambient,TP0,"P/R, molec",20210204
AST-1147,FW,,2,Ambient,TP0,"P/R, molec",20210204
AST-1618,FW,,3,Heat,TP0,"P/R, molec",20210204
AST-1423,FW,,4,Heat,TP0,"P/R, molec",20210204
AST-2198,FW,,5,Ambient,TP0,"P/R, molec",20210204
AST-1585,FW,,6,Heat,TP0,"P/R, molec",20210204
AST-1567,FW,,7,Heat,TP0,"P/R, molec",20210204
AST-1593,FW,,8,Ambient,TP0,"P/R, molec",20210204
AST-2533,FW,,8,Ambient,TP0,"P/R, molec",20210204
AST-2398,FW,,9,Heat,TP0,"P/R, molec",20210204
AST-1233,FW,,10,Ambient,TP0,"P/R, molec",20210204
AST-2873,FW,,11,Heat,TP0,"P/R, molec",20210204
AST-1345,FW,,12,Ambient,TP0,"P/R, molec",20210204
AST-2859,FW,,15,Heat,TP0,"P/R, molec",20210204
AST-2003,ENDV,,17,Heat,TP0,"P/R, molec",20210204
