Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank17,2/10/21,20210210,20210205,8.84,31.64,-56,NA,NA,Heat,
Tank18,2/10/21,20210210,20210205,4.65,30.94,-56.6,NA,NA,Ambient,
Tank1,2/12/21,20210212,20210205,7.04,31.09,-56.3,NA,NA,Ambient,
Tank2,2/12/21,20210212,20210205,6.91,31.21,-56.5,NA,NA,Ambient,
Tank3,2/12/21,20210212,20210205,9.13,31.43,-57.2,NA,NA,Heat,
Tank4,2/12/21,20210212,20210205,9.24,31.33,-56.8,NA,NA,Ambient,
Tank5,2/12/21,20210212,20210205,6.86,31.11,-57.1,NA,NA,Heat,
Tank6,2/12/21,20210212,20210205,9.04,31.54,-57.2,NA,NA,Heat,
Tank7,2/12/21,20210212,20210205,8.73,31.23,-57,NA,NA,Heat,
Tank8,2/12/21,20210212,20210205,8.02,31.23,-56.8,NA,NA,Ambient,
Tank9,2/12/21,20210212,20210205,8.83,31.34,-57,NA,NA,Heat,
Tank10,2/12/21,20210212,20210205,7.52,31.17,-56.9,NA,NA,Ambient,
Tank11,2/12/21,20210212,20210205,8.9,31.4,-57.3,NA,NA,Heat,
Tank12,2/12/21,20210212,20210205,9.09,31.42,-56.3,NA,NA,Ambient,
Tank15,2/12/21,20210212,20210205,8.56,31.2,-58,NA,NA,Heat,
Tank16,2/12/21,20210212,20210205,7.52,31.17,-56.9,NA,NA,Ambient,
Tank17,2/12/21,20210212,20210205,8.88,31.29,-57,NA,NA,Heat,
Tank18,2/12/21,20210212,20210205,7.48,31.11,-56.6,NA,NA,Ambient,
Tank1,2/13/21,20210213,20210205,5.73,30.85,-57.5,93.8,NA,Ambient,
Tank2,2/13/21,20210213,20210205,5.41,31.27,-57,81,NA,Ambient,
Tank3,2/13/21,20210213,20210205,9.16,31.39,-57.4,93,NA,Heat,
Tank4,2/13/21,20210213,20210205,9.01,31.15,-54.7,98.2,NA,Ambient,
Tank5,2/13/21,20210213,20210205,5.28,-57.4,31.9,86.4,NA,Heat,
Tank6,2/13/21,20210213,20210205,9.33,31.72,-56.6,98.2,NA,Heat,
Tank7,2/13/21,20210213,20210205,8.75,31.73,-56.6,104.8,NA,Heat,
Tank8,2/13/21,20210213,20210205,5.36,31.38,-57.5,101.4,NA,Ambient,
Tank9,2/13/21,20210213,20210205,9.02,31.4,-56.7,106.2,NA,Heat,
Tank10,2/13/21,20210213,20210205,5.12,30.71,-57,108.6,NA,Ambient,
Tank11,2/13/21,20210213,20210205,8.72,31.51,-56.6,98.8,NA,Heat,
Tank12,2/13/21,20210213,20210205,5.04,30.71,-57.1,101.4,NA,Ambient,
Tank15,2/13/21,20210213,20210205,8.46,31.7,-57.3,97.6,NA,Heat,
Tank16,2/13/21,20210213,20210205,5.34,31.35,-57.1,103.6,NA,Ambient,
Tank17,2/13/21,20210213,20210205,8.63,31.4,-57.1,97.4,NA,Heat,
Tank18,2/13/21,20210213,20210205,5.36,31.05,-57.2,84.4,NA,Ambient,
Tank1,2/15/21,20210215,20210205,4.7,30.35,-59,NA,NA,Ambient,
Tank2,2/15/21,20210215,20210205,5.38,30.82,-56.8,NA,NA,Ambient,
Tank3,2/15/21,20210215,20210205,8.92,31.22,-57.4,NA,NA,Heat,
Tank4,2/15/21,20210215,20210205,9.07,31.08,-56.7,NA,NA,Ambient,
Tank5,2/15/21,20210215,20210205,5.62,30.78,-57.6,NA,NA,Heat,
Tank6,2/15/21,20210215,20210205,9.18,31.12,-58,NA,NA,Heat,
Tank7,2/15/21,20210215,20210205,8.85,30.97,-57.2,NA,NA,Heat,
Tank8,2/15/21,20210215,20210205,4.25,30.13,-58.6,NA,NA,Ambient,
Tank9,2/15/21,20210215,20210205,8.74,31.43,-56.9,NA,NA,Heat,
Tank10,2/15/21,20210215,20210205,5.43,30.69,-59.1,NA,NA,Ambient,
Tank11,2/15/21,20210215,20210205,8.75,31.34,-57.1,NA,NA,Heat,
Tank12,2/15/21,20210215,20210205,4.89,30.55,-57.1,NA,NA,Ambient,
Tank15,2/15/21,20210215,20210205,8.5,30.99,-57.6,NA,NA,Heat,
Tank16,2/15/21,20210215,20210205,5.4,30.56,-58,NA,NA,Ambient,
Tank17,2/15/21,20210215,20210205,8.6,31.07,-57.6,NA,NA,Heat,
Tank18,2/15/21,20210215,20210205,5.15,30.31,-57.8,NA,NA,Ambient,
