Tank,Timepoint,Date,Calib.Date,Temperature,pH.MV,Salinity,Light,Flow_mL_sec,Treatment,Notes 
Tank7,1/19/21,20210119,20210122,NA,NA,NA,90.8,11.33,Acclimation,
Tank8,1/19/21,20210119,20210122,NA,NA,NA,105,9.07,Acclimation,
Tank9,1/19/21,20210119,20210122,NA,NA,NA,81.8,15.87,Acclimation,
Tank10,1/19/21,20210119,20210122,NA,NA,NA,99.6,14.8,Acclimation,
Tank11,1/19/21,20210119,20210122,NA,NA,NA,100,10.93,Acclimation,
Tank12,1/19/21,20210119,20210122,NA,NA,NA,89,9.47,Acclimation,
Tank15,1/19/21,20210119,20210122,NA,NA,NA,66.2,17.33,Acclimation,
Tank16,1/19/21,20210119,20210122,NA,NA,NA,74.2,11.47,Acclimation,
Tank17,1/19/21,20210119,20210122,NA,NA,NA,83.2,11.6,Acclimation,
Tank18,1/19/21,20210119,20210122,NA,NA,NA,75,11.47,Acclimation,
Tank1,1/21/21,20210121,20210122,NA,NA,NA,NA,NA,Acclimation,
Tank2,1/21/21,20210121,20210122,8.65,-51.4,30.94,NA,NA,Acclimation,
Tank3,1/21/21,20210121,20210122,8.35,-52.5,30.88,NA,NA,Acclimation,
Tank4,1/21/21,20210121,20210122,8.67,-48.7,30.85,NA,NA,Acclimation,
Tank5,1/21/21,20210121,20210122,8.62,-48.8,30.93,NA,NA,Acclimation,
Tank6,1/21/21,20210121,20210122,8.53,-50.5,30.92,NA,NA,Acclimation,
Tank7,1/21/21,20210121,20210122,8.16,-50,30.87,NA,NA,Acclimation,
Tank8,1/21/21,20210121,20210122,8,-52,30.92,NA,NA,Acclimation,
Tank9,1/21/21,20210121,20210122,8.57,-48.8,30.86,NA,NA,Acclimation,
Tank10,1/21/21,20210121,20210122,8.1,-50.4,30.92,NA,NA,Acclimation,
Tank11,1/21/21,20210121,20210122,8.28,-50.9,30.83,NA,NA,Acclimation,
Tank12,1/21/21,20210121,20210122,8.28,-50.6,30.88,NA,NA,Acclimation,
Tank15,1/21/21,20210121,20210122,7.79,-49,30.87,NA,NA,Acclimation,
Tank16,1/21/21,20210121,20210122,7.99,-49.1,30.87,NA,NA,Acclimation,
Tank17,1/21/21,20210121,20210122,8.02,-49.4,30.93,NA,NA,Acclimation,
Tank18,1/21/21,20210121,20210122,7.95,-50.4,30.9,NA,NA,Acclimation,
Tank1,1/22/21,20210122,20210122,8.27,-53,32.55,90,NA,Acclimation,
Tank2,1/22/21,20210122,20210122,8.4,-51.54,32.9,119,NA,Acclimation,
Tank3,1/22/21,20210122,20210122,8.38,-47.7,32.68,140,NA,Acclimation,
Tank4,1/22/21,20210122,20210122,8.28,-49.4,32.66,104,NA,Acclimation,
Tank5,1/22/21,20210122,20210122,8.65,-48.8,32.87,107,NA,Acclimation,
Tank6,1/22/21,20210122,20210122,8.74,-52.6,33,109,NA,Acclimation,
Tank7,1/22/21,20210122,20210122,8.11,-50,32.69,92,NA,Acclimation,
Tank8,1/22/21,20210122,20210122,8.04,-48.6,32.53,122,NA,Acclimation,
Tank9,1/22/21,20210122,20210122,8.33,-48.6,32.68,109,NA,Acclimation,
Tank10,1/22/21,20210122,20210122,8.1,-50.8,32.62,125,NA,Acclimation,
Tank11,1/22/21,20210122,20210122,8.35,-47.5,32.67,115,NA,Acclimation,
Tank12,1/22/21,20210122,20210122,8.12,-50.9,32.62,95,NA,Acclimation,
Tank15,1/22/21,20210122,20210122,8.04,-49.6,32.29,108,NA,Acclimation,
Tank16,1/22/21,20210122,20210122,8,-49.9,32.32,105,NA,Acclimation,
Tank17,1/22/21,20210122,20210122,8.22,-50,32.42,113,NA,Acclimation,
Tank18,1/22/21,20210122,20210122,7.92,-50.6,32.44,98,NA,Acclimation,
Tank1,1/23/21,20210123,20210122,8.49,-48.4,32.68,NA,NA,Acclimation,
Tank2,1/23/21,20210123,20210122,8.4,-49,32.61,NA,NA,Acclimation,
Tank3,1/23/21,20210123,20210122,8.36,-48.8,32.29,NA,NA,Acclimation,
Tank4,1/23/21,20210123,20210122,8.57,-50.1,32.61,NA,NA,Acclimation,
Tank5,1/23/21,20210123,20210122,8.56,-50,32.7,NA,NA,Acclimation,
Tank6,1/23/21,20210123,20210122,8.54,-52,32.7,NA,NA,Acclimation,
Tank7,1/23/21,20210123,20210122,8.24,-52.7,32.43,NA,NA,Acclimation,
Tank8,1/23/21,20210123,20210122,8.1,-49.4,32.23,NA,NA,Acclimation,
Tank9,1/23/21,20210123,20210122,8.27,-50.1,32.55,NA,NA,Acclimation,
Tank10,1/23/21,20210123,20210122,8.28,-52.4,32.31,NA,NA,Acclimation,
Tank11,1/23/21,20210123,20210122,8.44,-49.6,32.62,NA,NA,Acclimation,
Tank12,1/23/21,20210123,20210122,8.48,-48.9,32.71,NA,NA,Acclimation,
Tank15,1/23/21,20210123,20210122,8.01,-50.5,32.1,NA,NA,Acclimation,
Tank16,1/23/21,20210123,20210122,7.9,-50.9,32.11,NA,NA,Acclimation,
