"Plot Title: 20719656"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719656, SEN S/N: 20719656)","Coupler Detached (LGR S/N: 20719656)","Coupler Attached (LGR S/N: 20719656)","Host Connected (LGR S/N: 20719656)","Stopped (LGR S/N: 20719656)","End Of File (LGR S/N: 20719656)"
35,12/21/20 06:40:00 PM,7.066,,,,,
36,12/21/20 06:50:00 PM,7.066,,,,,
37,12/21/20 07:00:00 PM,7.091,,,,,
38,12/21/20 07:10:00 PM,7.091,,,,,
39,12/21/20 07:20:00 PM,7.116,,,,,
40,12/21/20 07:30:00 PM,7.142,,,,,
41,12/21/20 07:40:00 PM,7.167,,,,,
42,12/21/20 07:50:00 PM,7.192,,,,,
43,12/21/20 08:00:00 PM,7.192,,,,,
44,12/21/20 08:10:00 PM,7.192,,,,,
45,12/21/20 08:20:00 PM,7.242,,,,,
46,12/21/20 08:30:00 PM,7.293,,,,,
47,12/21/20 08:40:00 PM,7.343,,,,,
48,12/21/20 08:50:00 PM,7.393,,,,,
49,12/21/20 09:00:00 PM,7.469,,,,,
50,12/21/20 09:10:00 PM,7.519,,,,,
51,12/21/20 09:20:00 PM,7.569,,,,,
52,12/21/20 09:30:00 PM,7.619,,,,,
53,12/21/20 09:40:00 PM,7.670,,,,,
54,12/21/20 09:50:00 PM,7.720,,,,,
55,12/21/20 10:00:00 PM,7.770,,,,,
56,12/21/20 10:10:00 PM,7.820,,,,,
57,12/21/20 10:20:00 PM,7.870,,,,,
58,12/21/20 10:30:00 PM,7.920,,,,,
59,12/21/20 10:40:00 PM,7.970,,,,,
60,12/21/20 10:50:00 PM,7.995,,,,,
61,12/21/20 11:00:00 PM,8.020,,,,,
62,12/21/20 11:10:00 PM,7.995,,,,,
63,12/21/20 11:20:00 PM,7.970,,,,,
64,12/21/20 11:30:00 PM,7.945,,,,,
65,12/21/20 11:40:00 PM,7.945,,,,,
66,12/21/20 11:50:00 PM,7.920,,,,,
67,12/22/20 12:00:00 AM,7.920,,,,,
68,12/22/20 12:10:00 AM,7.945,,,,,
69,12/22/20 12:20:00 AM,7.970,,,,,
70,12/22/20 12:30:00 AM,7.970,,,,,
71,12/22/20 12:40:00 AM,7.945,,,,,
72,12/22/20 12:50:00 AM,7.895,,,,,
73,12/22/20 01:00:00 AM,7.870,,,,,
74,12/22/20 01:10:00 AM,7.845,,,,,
75,12/22/20 01:20:00 AM,7.795,,,,,
76,12/22/20 01:30:00 AM,7.795,,,,,
77,12/22/20 01:40:00 AM,7.745,,,,,
78,12/22/20 01:50:00 AM,7.720,,,,,
79,12/22/20 02:00:00 AM,7.670,,,,,
