"Plot Title: 20987160"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987160, SEN S/N: 20987160)","Coupler Detached (LGR S/N: 20987160)","Coupler Attached (LGR S/N: 20987160)","Stopped (LGR S/N: 20987160)","End Of File (LGR S/N: 20987160)"
1,01/16/21 10:00:00 AM,18.937,Logged,,,
2,01/16/21 10:10:00 AM,10.932,,,,
3,01/16/21 10:20:00 AM,9.485,,,,
4,01/16/21 10:30:00 AM,9.361,,,,
5,01/16/21 10:40:00 AM,9.336,,,,
6,01/16/21 10:50:00 AM,9.336,,,,
7,01/16/21 11:00:00 AM,9.336,,,,
8,01/16/21 11:10:00 AM,9.336,,,,
9,01/16/21 11:20:00 AM,9.336,,,,
10,01/16/21 11:30:00 AM,9.361,,,,
11,01/16/21 11:40:00 AM,9.386,,,,
12,01/16/21 11:50:00 AM,9.386,,,,
13,01/16/21 12:00:00 PM,9.386,,,,
14,01/16/21 12:10:00 PM,9.386,,,,
15,01/16/21 12:20:00 PM,9.386,,,,
16,01/16/21 12:30:00 PM,9.386,,,,
17,01/16/21 12:40:00 PM,9.386,,,,
18,01/16/21 12:50:00 PM,9.386,,,,
19,01/16/21 01:00:00 PM,9.361,,,,
20,01/16/21 01:10:00 PM,9.361,,,,
21,01/16/21 01:20:00 PM,9.361,,,,
22,01/16/21 01:30:00 PM,9.336,,,,
23,01/16/21 01:40:00 PM,9.336,,,,
24,01/16/21 01:50:00 PM,9.336,,,,
25,01/16/21 02:00:00 PM,9.336,,,,
26,01/16/21 02:10:00 PM,9.336,,,,
27,01/16/21 02:20:00 PM,9.336,,,,
28,01/16/21 02:30:00 PM,9.312,,,,
29,01/16/21 02:40:00 PM,9.312,,,,
30,01/16/21 02:50:00 PM,9.312,,,,
31,01/16/21 03:00:00 PM,9.312,,,,
32,01/16/21 03:10:00 PM,9.312,,,,
33,01/16/21 03:20:00 PM,9.312,,,,
34,01/16/21 03:30:00 PM,9.312,,,,
35,01/16/21 03:40:00 PM,9.312,,,,
36,01/16/21 03:50:00 PM,9.312,,,,
37,01/16/21 04:00:00 PM,9.312,,,,
38,01/16/21 04:10:00 PM,9.336,,,,
39,01/16/21 04:20:00 PM,9.361,,,,
40,01/16/21 04:30:00 PM,9.386,,,,
41,01/16/21 04:40:00 PM,9.410,,,,
42,01/16/21 04:50:00 PM,9.435,,,,
43,01/16/21 05:00:00 PM,9.460,,,,
44,01/16/21 05:10:00 PM,9.509,,,,
45,01/16/21 05:20:00 PM,9.534,,,,
46,01/16/21 05:30:00 PM,9.583,,,,
47,01/16/21 05:40:00 PM,9.583,,,,
48,01/16/21 05:50:00 PM,9.583,,,,
49,01/16/21 06:00:00 PM,9.558,,,,
50,01/16/21 06:10:00 PM,9.534,,,,
51,01/16/21 06:20:00 PM,9.509,,,,
52,01/16/21 06:30:00 PM,9.485,,,,
53,01/16/21 06:40:00 PM,9.460,,,,
54,01/16/21 06:50:00 PM,9.435,,,,
55,01/16/21 07:00:00 PM,9.410,,,,
56,01/16/21 07:10:00 PM,9.386,,,,
57,01/16/21 07:20:00 PM,9.361,,,,
58,01/16/21 07:30:00 PM,9.361,,,,
59,01/16/21 07:40:00 PM,9.336,,,,
60,01/16/21 07:50:00 PM,9.336,,,,
61,01/16/21 08:00:00 PM,9.312,,,,
62,01/16/21 08:10:00 PM,9.312,,,,
63,01/16/21 08:20:00 PM,9.312,,,,
64,01/16/21 08:30:00 PM,9.287,,,,
65,01/16/21 08:40:00 PM,9.287,,,,
66,01/16/21 08:50:00 PM,9.287,,,,
67,01/16/21 09:00:00 PM,9.287,,,,
68,01/16/21 09:10:00 PM,9.262,,,,
69,01/16/21 09:20:00 PM,9.262,,,,
70,01/16/21 09:30:00 PM,9.238,,,,
71,01/16/21 09:40:00 PM,9.213,,,,
72,01/16/21 09:50:00 PM,9.188,,,,
73,01/16/21 10:00:00 PM,9.188,,,,
74,01/16/21 10:10:00 PM,9.163,,,,
75,01/16/21 10:20:00 PM,9.139,,,,
76,01/16/21 10:30:00 PM,9.139,,,,
77,01/16/21 10:40:00 PM,9.114,,,,
78,01/16/21 10:50:00 PM,9.089,,,,
79,01/16/21 11:00:00 PM,9.064,,,,
80,01/16/21 11:10:00 PM,9.040,,,,
81,01/16/21 11:20:00 PM,9.040,,,,
82,01/16/21 11:30:00 PM,9.015,,,,
83,01/16/21 11:40:00 PM,8.990,,,,
84,01/16/21 11:50:00 PM,8.941,,,,
85,01/17/21 12:00:00 AM,8.941,,,,
86,01/17/21 12:10:00 AM,8.916,,,,
87,01/17/21 12:20:00 AM,8.891,,,,
88,01/17/21 12:30:00 AM,8.866,,,,
89,01/17/21 12:40:00 AM,8.841,,,,
90,01/17/21 12:50:00 AM,8.817,,,,
