"Plot Title: 20987156"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987156, SEN S/N: 20987156)","Coupler Detached (LGR S/N: 20987156)","Coupler Attached (LGR S/N: 20987156)","Stopped (LGR S/N: 20987156)","End Of File (LGR S/N: 20987156)"
1,01/16/21 10:00:00 AM,18.771,Logged,,,
2,01/16/21 10:10:00 AM,8.965,,,,
3,01/16/21 10:20:00 AM,8.319,,,,
4,01/16/21 10:30:00 AM,8.245,,,,
5,01/16/21 10:40:00 AM,8.195,,,,
6,01/16/21 10:50:00 AM,8.170,,,,
7,01/16/21 11:00:00 AM,8.170,,,,
8,01/16/21 11:10:00 AM,8.170,,,,
9,01/16/21 11:20:00 AM,8.195,,,,
10,01/16/21 11:30:00 AM,8.195,,,,
11,01/16/21 11:40:00 AM,8.195,,,,
12,01/16/21 11:50:00 AM,8.195,,,,
13,01/16/21 12:00:00 PM,8.195,,,,
14,01/16/21 12:10:00 PM,8.170,,,,
15,01/16/21 12:20:00 PM,8.145,,,,
16,01/16/21 12:30:00 PM,8.120,,,,
17,01/16/21 12:40:00 PM,8.120,,,,
18,01/16/21 12:50:00 PM,8.095,,,,
19,01/16/21 01:00:00 PM,8.095,,,,
20,01/16/21 01:10:00 PM,8.070,,,,
21,01/16/21 01:20:00 PM,8.070,,,,
22,01/16/21 01:30:00 PM,8.070,,,,
23,01/16/21 01:40:00 PM,8.070,,,,
24,01/16/21 01:50:00 PM,8.070,,,,
25,01/16/21 02:00:00 PM,8.070,,,,
26,01/16/21 02:10:00 PM,8.070,,,,
27,01/16/21 02:20:00 PM,8.095,,,,
28,01/16/21 02:30:00 PM,8.095,,,,
29,01/16/21 02:40:00 PM,8.095,,,,
30,01/16/21 02:50:00 PM,8.095,,,,
31,01/16/21 03:00:00 PM,8.095,,,,
32,01/16/21 03:10:00 PM,8.120,,,,
33,01/16/21 03:20:00 PM,8.120,,,,
34,01/16/21 03:30:00 PM,8.145,,,,
35,01/16/21 03:40:00 PM,8.145,,,,
36,01/16/21 03:50:00 PM,8.170,,,,
37,01/16/21 04:00:00 PM,8.220,,,,
38,01/16/21 04:10:00 PM,8.270,,,,
39,01/16/21 04:20:00 PM,8.344,,,,
40,01/16/21 04:30:00 PM,8.369,,,,
41,01/16/21 04:40:00 PM,8.419,,,,
42,01/16/21 04:50:00 PM,8.469,,,,
43,01/16/21 05:00:00 PM,8.519,,,,
44,01/16/21 05:10:00 PM,8.593,,,,
45,01/16/21 05:20:00 PM,8.668,,,,
46,01/16/21 05:30:00 PM,8.717,,,,
47,01/16/21 05:40:00 PM,8.693,,,,
48,01/16/21 05:50:00 PM,8.618,,,,
49,01/16/21 06:00:00 PM,8.543,,,,
50,01/16/21 06:10:00 PM,8.469,,,,
51,01/16/21 06:20:00 PM,8.394,,,,
52,01/16/21 06:30:00 PM,8.319,,,,
53,01/16/21 06:40:00 PM,8.270,,,,
54,01/16/21 06:50:00 PM,8.245,,,,
55,01/16/21 07:00:00 PM,8.220,,,,
56,01/16/21 07:10:00 PM,8.220,,,,
57,01/16/21 07:20:00 PM,8.220,,,,
58,01/16/21 07:30:00 PM,8.220,,,,
59,01/16/21 07:40:00 PM,8.220,,,,
60,01/16/21 07:50:00 PM,8.220,,,,
61,01/16/21 08:00:00 PM,8.220,,,,
62,01/16/21 08:10:00 PM,8.220,,,,
63,01/16/21 08:20:00 PM,8.220,,,,
64,01/16/21 08:30:00 PM,8.220,,,,
65,01/16/21 08:40:00 PM,8.195,,,,
66,01/16/21 08:50:00 PM,8.195,,,,
67,01/16/21 09:00:00 PM,8.195,,,,
68,01/16/21 09:10:00 PM,8.145,,,,
69,01/16/21 09:20:00 PM,8.120,,,,
70,01/16/21 09:30:00 PM,8.070,,,,
71,01/16/21 09:40:00 PM,8.045,,,,
72,01/16/21 09:50:00 PM,7.995,,,,
73,01/16/21 10:00:00 PM,7.970,,,,
74,01/16/21 10:10:00 PM,7.970,,,,
75,01/16/21 10:20:00 PM,7.945,,,,
76,01/16/21 10:30:00 PM,7.920,,,,
77,01/16/21 10:40:00 PM,7.895,,,,
78,01/16/21 10:50:00 PM,7.870,,,,
79,01/16/21 11:00:00 PM,7.845,,,,
80,01/16/21 11:10:00 PM,7.870,,,,
81,01/16/21 11:20:00 PM,7.970,,,,
82,01/16/21 11:30:00 PM,7.870,,,,
83,01/16/21 11:40:00 PM,7.870,,,,
