#miRNA	read_count	precursor	total	seq	seq(norm)
chromosome_10_365643	1.00	chromosome_10_365643	1.00	1.00	7.72
chromosome_10_365701	0.00	chromosome_10_365701	0.00	0	0
chromosome_10_366823	0.00	chromosome_10_366823	0.00	0	0
chromosome_10_366897	0.00	chromosome_10_366897	0.00	0	0
chromosome_10_367039	4.00	chromosome_10_367039	4.00	4.00	30.89
chromosome_10_367612	0.00	chromosome_10_367612	0.00	0	0
chromosome_10_367894	28.00	chromosome_10_367894	28.00	28.00	216.26
chromosome_10_368110	2.00	chromosome_10_368110	2.00	2.00	15.45
chromosome_10_368443	8.00	chromosome_10_368443	8.00	8.00	61.79
chromosome_10_370371	21.00	chromosome_10_370371	21.00	21.00	162.20
chromosome_10_370480	0.00	chromosome_10_370480	0.00	0	0
chromosome_10_370856	1.00	chromosome_10_370856	1.00	1.00	7.72
chromosome_10_371859	231.00	chromosome_10_371859	231.00	231.00	1784.16
chromosome_10_371901	0.00	chromosome_10_371901	0.00	0	0
chromosome_10_372459	1.00	chromosome_10_372459	1.00	1.00	7.72
chromosome_10_372462	4.00	chromosome_10_372462	4.00	4.00	30.89
chromosome_10_372497	1.00	chromosome_10_372497	1.00	1.00	7.72
chromosome_10_372626	3.00	chromosome_10_372626	3.00	3.00	23.17
chromosome_10_372934	13.00	chromosome_10_372934	13.00	13.00	100.41
chromosome_10_373634	2.00	chromosome_10_373634	2.00	2.00	15.45
chromosome_10_374053	674.00	chromosome_10_374053	674.00	674.00	5205.72
chromosome_10_374068	3572.00	chromosome_10_374068	3572.00	3572.00	27588.76
chromosome_10_374070	58.00	chromosome_10_374070	58.00	58.00	447.97
chromosome_10_375874	0.00	chromosome_10_375874	0.00	0	0
chromosome_10_376397	13.00	chromosome_10_376397	13.00	13.00	100.41
chromosome_10_376487	0.00	chromosome_10_376487	0.00	0	0
chromosome_10_377004	11.00	chromosome_10_377004	11.00	11.00	84.96
chromosome_10_377464	0.00	chromosome_10_377464	0.00	0	0
chromosome_10_377632	0.00	chromosome_10_377632	0.00	0	0
chromosome_10_377733	0.00	chromosome_10_377733	0.00	0	0
chromosome_10_378089	0.00	chromosome_10_378089	0.00	0	0
