#miRNA	read_count	precursor	total	seq	seq(norm)
chromosome_10_365643	3.00	chromosome_10_365643	3.00	3.00	9.87
chromosome_10_365701	0.00	chromosome_10_365701	0.00	0	0
chromosome_10_366823	0.00	chromosome_10_366823	0.00	0	0
chromosome_10_366897	0.00	chromosome_10_366897	0.00	0	0
chromosome_10_367039	0.00	chromosome_10_367039	0.00	0	0
chromosome_10_367612	0.00	chromosome_10_367612	0.00	0	0
chromosome_10_367894	64.00	chromosome_10_367894	64.00	64.00	210.63
chromosome_10_368110	0.00	chromosome_10_368110	0.00	0	0
chromosome_10_368443	31.00	chromosome_10_368443	31.00	31.00	102.02
chromosome_10_370371	16.00	chromosome_10_370371	16.00	16.00	52.66
chromosome_10_370480	0.00	chromosome_10_370480	0.00	0	0
chromosome_10_370856	0.00	chromosome_10_370856	0.00	0	0
chromosome_10_371859	13.00	chromosome_10_371859	13.00	13.00	42.78
chromosome_10_371901	20.00	chromosome_10_371901	20.00	20.00	65.82
chromosome_10_372459	5.00	chromosome_10_372459	5.00	5.00	16.46
chromosome_10_372462	4.00	chromosome_10_372462	4.00	4.00	13.16
chromosome_10_372497	5.00	chromosome_10_372497	5.00	5.00	16.46
chromosome_10_372626	0.00	chromosome_10_372626	0.00	0	0
chromosome_10_372934	48.00	chromosome_10_372934	48.00	48.00	157.97
chromosome_10_373634	0.00	chromosome_10_373634	0.00	0	0
chromosome_10_374053	1197.00	chromosome_10_374053	1197.00	1197.00	3939.35
chromosome_10_374068	10425.00	chromosome_10_374068	10425.00	10425.00	34308.90
chromosome_10_374070	62.00	chromosome_10_374070	62.00	62.00	204.04
chromosome_10_375874	0.00	chromosome_10_375874	0.00	0	0
chromosome_10_376397	3.00	chromosome_10_376397	3.00	3.00	9.87
chromosome_10_376487	3.00	chromosome_10_376487	3.00	3.00	9.87
chromosome_10_377004	28.00	chromosome_10_377004	28.00	28.00	92.15
chromosome_10_377464	1.00	chromosome_10_377464	1.00	1.00	3.29
chromosome_10_377632	0.00	chromosome_10_377632	0.00	0	0
chromosome_10_377733	0.00	chromosome_10_377733	0.00	0	0
chromosome_10_378089	0.00	chromosome_10_378089	0.00	0	0
chromosome_10_378757	0.00	chromosome_10_378757	0.00	0	0
chromosome_10_379130	4.00	chromosome_10_379130	4.00	4.00	13.16
chromosome_10_379725	4.00	chromosome_10_379725	4.00	4.00	13.16
chromosome_10_380188	43.00	chromosome_10_380188	43.00	43.00	141.51
chromosome_10_380390	6.00	chromosome_10_380390	6.00	6.00	19.75
