#miRNA	read_count	precursor	total	seq	seq(norm)
chromosome_10_365643	1.00	chromosome_10_365643	1.00	1.00	8.47
chromosome_10_365701	0.00	chromosome_10_365701	0.00	0	0
chromosome_10_366823	1.00	chromosome_10_366823	1.00	1.00	8.47
chromosome_10_366897	1.00	chromosome_10_366897	1.00	1.00	8.47
chromosome_10_367039	2.00	chromosome_10_367039	2.00	2.00	16.94
chromosome_10_367612	0.00	chromosome_10_367612	0.00	0	0
chromosome_10_367894	37.00	chromosome_10_367894	37.00	37.00	313.34
chromosome_10_368110	0.00	chromosome_10_368110	0.00	0	0
chromosome_10_368443	21.00	chromosome_10_368443	21.00	21.00	177.84
chromosome_10_370371	40.00	chromosome_10_370371	40.00	40.00	338.75
chromosome_10_370480	0.00	chromosome_10_370480	0.00	0	0
chromosome_10_370856	1.00	chromosome_10_370856	1.00	1.00	8.47
chromosome_10_371859	4.00	chromosome_10_371859	4.00	4.00	33.87
chromosome_10_371901	0.00	chromosome_10_371901	0.00	0	0
chromosome_10_372459	5.00	chromosome_10_372459	5.00	5.00	42.34
chromosome_10_372462	5.00	chromosome_10_372462	5.00	5.00	42.34
chromosome_10_372497	5.00	chromosome_10_372497	5.00	5.00	42.34
chromosome_10_372626	1.00	chromosome_10_372626	1.00	1.00	8.47
chromosome_10_372934	11.00	chromosome_10_372934	11.00	11.00	93.16
chromosome_10_373634	0.00	chromosome_10_373634	0.00	0	0
chromosome_10_374053	434.00	chromosome_10_374053	434.00	434.00	3675.41
chromosome_10_374068	2989.00	chromosome_10_374068	2989.00	2989.00	25312.92
chromosome_10_374070	87.00	chromosome_10_374070	87.00	87.00	736.78
chromosome_10_375874	0.00	chromosome_10_375874	0.00	0	0
chromosome_10_376397	2.00	chromosome_10_376397	2.00	2.00	16.94
chromosome_10_376487	4.00	chromosome_10_376487	4.00	4.00	33.87
chromosome_10_377004	14.00	chromosome_10_377004	14.00	14.00	118.56
chromosome_10_377464	0.00	chromosome_10_377464	0.00	0	0
chromosome_10_377632	2.00	chromosome_10_377632	2.00	2.00	16.94
chromosome_10_377733	0.00	chromosome_10_377733	0.00	0	0
chromosome_10_378089	0.00	chromosome_10_378089	0.00	0	0
chromosome_10_378757	0.00	chromosome_10_378757	0.00	0	0
chromosome_10_379130	5.00	chromosome_10_379130	5.00	5.00	42.34
chromosome_10_379725	5.00	chromosome_10_379725	5.00	5.00	42.34
chromosome_10_380188	0.00	chromosome_10_380188	0.00	0	0
chromosome_10_380390	3.00	chromosome_10_380390	3.00	3.00	25.41
chromosome_10_380526	5.00	chromosome_10_380526	5.00	5.00	42.34
chromosome_10_381466	1.00	chromosome_10_381466	1.00	1.00	8.47
chromosome_10_382189	0.00	chromosome_10_382189	0.00	0	0
chromosome_10_382364	136.00	chromosome_10_382364	136.00	136.00	1151.74
chromosome_10_382464	2.00	chromosome_10_382464	2.00	2.00	16.94
chromosome_10_382924	0.00	chromosome_10_382924	0.00	0	0
chromosome_10_383295	7.00	chromosome_10_383295	7.00	7.00	59.28
chromosome_10_383771	0.00	chromosome_10_383771	0.00	0	0
chromosome_10_384396	0.00	chromosome_10_384396	0.00	0	0
chromosome_10_384807	5.00	chromosome_10_384807	5.00	5.00	42.34
chromosome_10_386393	0.00	chromosome_10_386393	0.00	0	0
chromosome_10_386625	21.00	chromosome_10_386625	21.00	21.00	177.84
chromosome_10_386939	240.00	chromosome_10_386939	240.00	240.00	2032.49
chromosome_10_387079	3.00	chromosome_10_387079	3.00	3.00	25.41
chromosome_10_387335	2.00	chromosome_10_387335	2.00	2.00	16.94
chromosome_10_387449	0.00	chromosome_10_387449	0.00	0	0
chromosome_10_388650	0.00	chromosome_10_388650	0.00	0	0
chromosome_10_388660	1.00	chromosome_10_388660	1.00	1.00	8.47
chromosome_10_389402	27.00	chromosome_10_389402	27.00	27.00	228.65
chromosome_10_389646	489.00	chromosome_10_389646	489.00	489.00	4141.19
chromosome_10_389652	7068.00	chromosome_10_389652	7068.00	7068.00	59856.71
chromosome_10_389679	0.00	chromosome_10_389679	0.00	0	0
chromosome_10_389860	489.00	chromosome_10_389860	489.00	489.00	4141.19
chromosome_10_389864	7068.00	chromosome_10_389864	7068.00	7068.00	59856.71
chromosome_10_389884	489.00	chromosome_10_389884	489.00	489.00	4141.19
chromosome_10_389890	7068.00	chromosome_10_389890	7068.00	7068.00	59856.71
chromosome_10_390163	0.00	chromosome_10_390163	0.00	0	0
chromosome_10_390165	7.00	chromosome_10_390165	7.00	7.00	59.28
chromosome_10_390433	0.00	chromosome_10_390433	0.00	0	0
chromosome_10_390434	0.00	chromosome_10_390434	0.00	0	0
chromosome_10_390519	5.00	chromosome_10_390519	5.00	5.00	42.34
chromosome_10_390725	10.00	chromosome_10_390725	10.00	10.00	84.69
chromosome_10_390728	1.00	chromosome_10_390728	1.00	1.00	8.47
chromosome_10_391205	0.00	chromosome_10_391205	0.00	0	0
chromosome_10_391371	8.00	chromosome_10_391371	8.00	8.00	67.75
chromosome_10_391545	1.00	chromosome_10_391545	1.00	1.00	8.47
chromosome_10_392162	3.00	chromosome_10_392162	3.00	3.00	25.41
chromosome_10_392315	4.00	chromosome_10_392315	4.00	4.00	33.87
chromosome_10_392818	0.00	chromosome_10_392818	0.00	0	0
chromosome_10_393091	35.00	chromosome_10_393091	35.00	35.00	296.40
chromosome_10_393301	0.00	chromosome_10_393301	0.00	0	0
chromosome_10_393303	0.00	chromosome_10_393303	0.00	0	0
chromosome_10_394021	2.00	chromosome_10_394021	2.00	2.00	16.94
chromosome_10_394071	39.00	chromosome_10_394071	39.00	39.00	330.28
chromosome_10_394365	37.00	chromosome_10_394365	37.00	37.00	313.34
chromosome_10_394648	11.00	chromosome_10_394648	11.00	11.00	93.16
chromosome_10_395442	0.00	chromosome_10_395442	0.00	0	0
chromosome_10_395495	42.00	chromosome_10_395495	42.00	42.00	355.69
chromosome_10_395813	0.00	chromosome_10_395813	0.00	0	0
chromosome_10_396173	0.00	chromosome_10_396173	0.00	0	0
chromosome_10_396210	0.00	chromosome_10_396210	0.00	0	0
chromosome_10_396624	22.00	chromosome_10_396624	22.00	22.00	186.31
chromosome_10_397430	0.00	chromosome_10_397430	0.00	0	0
chromosome_10_397926	0.00	chromosome_10_397926	0.00	0	0
chromosome_10_397941	0.00	chromosome_10_397941	0.00	0	0
chromosome_10_398562	0.00	chromosome_10_398562	0.00	0	0
chromosome_10_399065	198.00	chromosome_10_399065	198.00	198.00	1676.80
chromosome_10_399354	0.00	chromosome_10_399354	0.00	0	0
chromosome_10_399378	0.00	chromosome_10_399378	0.00	0	0
chromosome_10_400081	0.00	chromosome_10_400081	0.00	0	0
chromosome_10_400118	4065.00	chromosome_10_400118	4065.00	4065.00	34425.23
chromosome_10_400397	0.00	chromosome_10_400397	0.00	0	0
chromosome_10_400398	0.00	chromosome_10_400398	0.00	0	0
chromosome_10_400515	3.00	chromosome_10_400515	3.00	3.00	25.41
chromosome_10_400553	2.00	chromosome_10_400553	2.00	2.00	16.94
chromosome_10_400851	0.00	chromosome_10_400851	0.00	0	0
chromosome_10_401878	0.00	chromosome_10_401878	0.00	0	0
chromosome_10_401880	21.00	chromosome_10_401880	21.00	21.00	177.84
chromosome_10_401882	1.00	chromosome_10_401882	1.00	1.00	8.47
chromosome_10_402109	0.00	chromosome_10_402109	0.00	0	0
chromosome_10_402571	6.00	chromosome_10_402571	6.00	6.00	50.81
chromosome_10_403052	2.00	chromosome_10_403052	2.00	2.00	16.94
chromosome_10_403517	1.00	chromosome_10_403517	1.00	1.00	8.47
chromosome_10_403576	2.00	chromosome_10_403576	2.00	2.00	16.94
chromosome_10_403973	0.00	chromosome_10_403973	0.00	0	0
chromosome_10_404510	9.00	chromosome_10_404510	9.00	9.00	76.22
chromosome_10_404707	0.00	chromosome_10_404707	0.00	0	0
chromosome_10_404976	2.00	chromosome_10_404976	2.00	2.00	16.94
chromosome_10_404976	2.00	chromosome_10_404976	2.00	2.00	16.94
chromosome_10_404976	1.00	chromosome_10_404976	1.00	1.00	8.47
chromosome_10_404976	1.00	chromosome_10_404976	1.00	1.00	8.47
chromosome_10_404976	2.00	chromosome_10_404976	2.00	2.00	16.94
chromosome_10_404976	2.00	chromosome_10_404976	2.00	2.00	16.94
chromosome_10_405300	7.00	chromosome_10_405300	7.00	7.00	59.28
chromosome_10_406031	0.00	chromosome_10_406031	0.00	0	0
chromosome_10_407255	10.00	chromosome_10_407255	10.00	10.00	84.69
chromosome_10_408014	0.00	chromosome_10_408014	0.00	0	0
chromosome_10_409039	0.00	chromosome_10_409039	0.00	0	0
chromosome_10_409645	10.00	chromosome_10_409645	10.00	10.00	84.69
chromosome_10_409652	0.00	chromosome_10_409652	0.00	0	0
chromosome_10_409800	6.00	chromosome_10_409800	6.00	6.00	50.81
chromosome_10_409984	4.00	chromosome_10_409984	4.00	4.00	33.87
chromosome_10_410000	4.00	chromosome_10_410000	4.00	4.00	33.87
chromosome_10_410803	31.00	chromosome_10_410803	31.00	31.00	262.53
chromosome_10_411408	0.00	chromosome_10_411408	0.00	0	0
chromosome_10_411442	0.00	chromosome_10_411442	0.00	0	0
chromosome_10_411634	0.00	chromosome_10_411634	0.00	0	0
chromosome_10_411980	1.00	chromosome_10_411980	1.00	1.00	8.47
chromosome_10_412280	19.00	chromosome_10_412280	19.00	19.00	160.91
chromosome_10_413500	2.00	chromosome_10_413500	2.00	2.00	16.94
chromosome_10_413512	10.00	chromosome_10_413512	10.00	10.00	84.69
chromosome_10_414096	1.00	chromosome_10_414096	1.00	1.00	8.47
chromosome_10_414097	0.00	chromosome_10_414097	0.00	0	0
chromosome_10_415373	0.00	chromosome_10_415373	0.00	0	0
chromosome_10_415592	21.00	chromosome_10_415592	21.00	21.00	177.84
chromosome_10_415634	0.00	chromosome_10_415634	0.00	0	0
chromosome_10_415862	15.00	chromosome_10_415862	15.00	15.00	127.03
chromosome_10_416223	0.00	chromosome_10_416223	0.00	0	0
chromosome_10_416425	2.00	chromosome_10_416425	2.00	2.00	16.94
chromosome_10_416561	0.00	chromosome_10_416561	0.00	0	0
chromosome_10_416886	7.00	chromosome_10_416886	7.00	7.00	59.28
chromosome_10_416958	219.00	chromosome_10_416958	219.00	219.00	1854.64
chromosome_11_418596	3.00	chromosome_11_418596	3.00	3.00	25.41
chromosome_11_418637	0.00	chromosome_11_418637	0.00	0	0
chromosome_11_418795	0.00	chromosome_11_418795	0.00	0	0
chromosome_11_419262	3.00	chromosome_11_419262	3.00	3.00	25.41
chromosome_11_419347	4.00	chromosome_11_419347	4.00	4.00	33.87
chromosome_11_419381	12.00	chromosome_11_419381	12.00	12.00	101.62
chromosome_11_419903	40.00	chromosome_11_419903	40.00	40.00	338.75
chromosome_11_420228	208.00	chromosome_11_420228	208.00	208.00	1761.49
chromosome_11_420330	0.00	chromosome_11_420330	0.00	0	0
chromosome_11_420343	8.00	chromosome_11_420343	8.00	8.00	67.75
chromosome_11_420620	1.00	chromosome_11_420620	1.00	1.00	8.47
chromosome_11_420621	72.00	chromosome_11_420621	72.00	72.00	609.75
chromosome_11_420710	1.00	chromosome_11_420710	1.00	1.00	8.47
chromosome_11_420822	27.00	chromosome_11_420822	27.00	27.00	228.65
chromosome_11_420826	27.00	chromosome_11_420826	27.00	27.00	228.65
chromosome_11_420991	1.00	chromosome_11_420991	1.00	1.00	8.47
chromosome_11_421018	0.00	chromosome_11_421018	0.00	0	0
chromosome_11_421022	0.00	chromosome_11_421022	0.00	0	0
chromosome_11_421079	0.00	chromosome_11_421079	0.00	0	0
chromosome_11_421175	0.00	chromosome_11_421175	0.00	0	0
chromosome_11_421569	3.00	chromosome_11_421569	3.00	3.00	25.41
chromosome_11_421573	12.00	chromosome_11_421573	12.00	12.00	101.62
chromosome_11_421583	3.00	chromosome_11_421583	3.00	3.00	25.41
chromosome_11_421587	3.00	chromosome_11_421587	3.00	3.00	25.41
chromosome_11_421644	0.00	chromosome_11_421644	0.00	0	0
chromosome_11_422171	1.00	chromosome_11_422171	1.00	1.00	8.47
chromosome_11_422547	0.00	chromosome_11_422547	0.00	0	0
chromosome_11_422794	6.00	chromosome_11_422794	6.00	6.00	50.81
chromosome_11_423090	0.00	chromosome_11_423090	0.00	0	0
chromosome_11_423273	15.00	chromosome_11_423273	15.00	15.00	127.03
chromosome_11_423614	2.00	chromosome_11_423614	2.00	2.00	16.94
chromosome_11_423796	0.00	chromosome_11_423796	0.00	0	0
chromosome_11_424027	0.00	chromosome_11_424027	0.00	0	0
chromosome_11_424330	2.00	chromosome_11_424330	2.00	2.00	16.94
chromosome_11_426266	0.00	chromosome_11_426266	0.00	0	0
chromosome_11_426272	6.00	chromosome_11_426272	6.00	6.00	50.81
chromosome_11_426332	0.00	chromosome_11_426332	0.00	0	0
chromosome_11_427929	12.00	chromosome_11_427929	12.00	12.00	101.62
chromosome_11_428399	11.00	chromosome_11_428399	11.00	11.00	93.16
chromosome_11_428635	3.00	chromosome_11_428635	3.00	3.00	25.41
chromosome_11_428926	1.00	chromosome_11_428926	1.00	1.00	8.47
