#miRNA	read_count	precursor	total	seq	seq(norm)
chromosome_10_365643	34.00	chromosome_10_365643	34.00	34.00	28.02
chromosome_10_365701	0.00	chromosome_10_365701	0.00	0	0
chromosome_10_366823	0.00	chromosome_10_366823	0.00	0	0
chromosome_10_366897	0.00	chromosome_10_366897	0.00	0	0
chromosome_10_367039	29.00	chromosome_10_367039	29.00	29.00	23.90
chromosome_10_367612	0.00	chromosome_10_367612	0.00	0	0
chromosome_10_367894	241.00	chromosome_10_367894	241.00	241.00	198.61
chromosome_10_368110	0.00	chromosome_10_368110	0.00	0	0
chromosome_10_368443	68.00	chromosome_10_368443	68.00	68.00	56.04
chromosome_10_370371	1101.00	chromosome_10_370371	1101.00	1101.00	907.36
chromosome_10_370480	0.00	chromosome_10_370480	0.00	0	0
chromosome_10_370856	9.00	chromosome_10_370856	9.00	9.00	7.42
chromosome_10_371859	20.00	chromosome_10_371859	20.00	20.00	16.48
chromosome_10_371901	153.00	chromosome_10_371901	153.00	153.00	126.09
chromosome_10_372459	15.00	chromosome_10_372459	15.00	15.00	12.36
chromosome_10_372462	44.00	chromosome_10_372462	44.00	44.00	36.26
chromosome_10_372497	15.00	chromosome_10_372497	15.00	15.00	12.36
chromosome_10_372626	26.00	chromosome_10_372626	26.00	26.00	21.43
chromosome_10_372934	159.00	chromosome_10_372934	159.00	159.00	131.04
chromosome_10_373634	0.00	chromosome_10_373634	0.00	0	0
chromosome_10_374053	5168.00	chromosome_10_374053	5168.00	5168.00	4259.06
chromosome_10_374068	12488.00	chromosome_10_374068	12488.00	12488.00	10291.64
chromosome_10_374070	347.00	chromosome_10_374070	347.00	347.00	285.97
chromosome_10_375874	32.00	chromosome_10_375874	32.00	32.00	26.37
chromosome_10_376397	188.00	chromosome_10_376397	188.00	188.00	154.94
chromosome_10_376487	72.00	chromosome_10_376487	72.00	72.00	59.34
chromosome_10_377004	198.00	chromosome_10_377004	198.00	198.00	163.18
chromosome_10_377464	21.00	chromosome_10_377464	21.00	21.00	17.31
chromosome_10_377632	0.00	chromosome_10_377632	0.00	0	0
chromosome_10_377733	0.00	chromosome_10_377733	0.00	0	0
chromosome_10_378089	9.00	chromosome_10_378089	9.00	9.00	7.42
chromosome_10_378757	6.00	chromosome_10_378757	6.00	6.00	4.94
chromosome_10_379130	44.00	chromosome_10_379130	44.00	44.00	36.26
chromosome_10_379725	44.00	chromosome_10_379725	44.00	44.00	36.26
chromosome_10_380188	61.00	chromosome_10_380188	61.00	61.00	50.27
chromosome_10_380390	9.00	chromosome_10_380390	9.00	9.00	7.42
chromosome_10_380526	38.00	chromosome_10_380526	38.00	38.00	31.32
chromosome_10_381466	25.00	chromosome_10_381466	25.00	25.00	20.60
chromosome_10_382189	0.00	chromosome_10_382189	0.00	0	0
chromosome_10_382364	1161.00	chromosome_10_382364	1161.00	1161.00	956.81
chromosome_10_382464	7.00	chromosome_10_382464	7.00	7.00	5.77
chromosome_10_382924	4.00	chromosome_10_382924	4.00	4.00	3.30
chromosome_10_383295	52.00	chromosome_10_383295	52.00	52.00	42.85
chromosome_10_383771	24.00	chromosome_10_383771	24.00	24.00	19.78
chromosome_10_384396	0.00	chromosome_10_384396	0.00	0	0
chromosome_10_384807	44.00	chromosome_10_384807	44.00	44.00	36.26
chromosome_10_386393	116.00	chromosome_10_386393	116.00	116.00	95.60
chromosome_10_386625	954.00	chromosome_10_386625	954.00	954.00	786.21
