mVTris,TTris
-82.8,15.06
-82,16.05
-81.1,17.07
-79.9,18.14
-79.1,19.06
-78,20.04
-76.8,21.14
-75.9,22.07
-74.7,23.06
-73.6,24.04
-72.5,25.07
