mVTris,TTris
-83.9,2.53
-84,3.33
-83.8,3.94
-83.5,4.38
-83.1,4.81
-82.7,5.37
-82.4,5.68
-82,6
-81.6,6.48
-80.9,7.13
-80.3,7.66
-79.5,8.28
-79,8.8
-78.5,9.22
-77.7,9.84
-77.3,10.25
-76.5,10.85
-75.8,11.46
-74.9,12.36
-74.5,12.64
