mVTris,TTris
-81.7,12.79
-81.2,13.25
-80.4,13.97
-79.7,14.56
-79.1,15.1
-78.4,15.6
-77.8,16.15
-76.9,16.82
-76.3,17.34
-75.9,17.81
-75.2,18.28
