mVTris,TTris
-81.7,4.3
-81.6,4.9
-80.9,5.8
-80.5,6.55
-79.8,7.3
-79.5,7.9
-77.9,8.9
-77.5,9.29
-77,9.6
-76.1,10.18
-74.7,11.27
-74.1,12
-73.1,12.69
-72.2,13.32
-71.7,13.98
-71,14.48
