mVTris,TTris
-83.4,3.51
-83.1,4.15
-82.7,4.6
-82.5,4.99
-82.3,5.31
-82.1,5.62
-81.8,5.88
-81.6,6.2
-81.4,6.49
-80.9,6.91
-80.5,7.22
-79.9,7.65
-79.7,8.04
-79.3,8.32
-79.1,8.54
-78.6,8.85
-77.9,9.3
-77.6,9.76
-77.1,10.16
-76.7,10.5
-76,11.18
