Time,Value,Temp,Date,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
10:11:38,295.561,7.644,2/4/21,6,default,811383162,OXY-CH6,0.201,min,µmol/L,Humid,22.793,deg,38211,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394735.31,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:39,295.435,7.654,2/4/21,6,default,811383162,OXY-CH6,0.218,min,µmol/L,Humid,22.794,deg,38211,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394748.41,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:40,295.636,7.649,2/4/21,6,default,811383162,OXY-CH6,0.234,min,µmol/L,Humid,22.788,deg,38208,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394743.37,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:41,295.445,7.651,2/4/21,6,default,811383162,OXY-CH6,0.251,min,µmol/L,Humid,22.795,deg,38206,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394723.44,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:42,295.415,7.646,2/4/21,6,default,811383162,OXY-CH6,0.268,min,µmol/L,Humid,22.798,deg,38200,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394731.13,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:43,295.37,7.641,2/4/21,6,default,811383162,OXY-CH6,0.285,min,µmol/L,Humid,22.802,deg,38204,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394738.56,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:44,295.524,7.635,2/4/21,6,default,811383162,OXY-CH6,0.301,min,µmol/L,Humid,22.798,deg,38199,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394723.43,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:45,295.439,7.639,2/4/21,6,default,811383162,OXY-CH6,0.318,min,µmol/L,Humid,22.8,deg,38201,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394719.72,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:46,295.43,7.64,2/4/21,6,default,811383162,OXY-CH6,0.335,min,µmol/L,Humid,22.8,deg,38202,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394711.05,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
10:11:47,295.325,7.643,2/4/21,6,default,811383162,OXY-CH6,0.352,min,µmol/L,Humid,22.803,deg,38199,µV,°C,1010,hPa,35.3,pmil,0,55.39,deg,20,°C,100,%a.s.,21.72,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,26.25,0,44,394711.65,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:19,0000-00,0,no battery,V
