Run,Light_Level,Light_Value,Date,Start.time,Stop.time
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,light,350,20210204,12:21,12:49
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run1,dark,0,20210204,12:53,13:14
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,light,350,20210204,13:56,14:19
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run2,dark,0,20210204,14:21,14:40
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,light,350,20210204,15:11,15:31
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run3,dark,0,20210204,15:33,15:53
Run4,light,350,20210204,16:12,16:32
Run4,light,350,20210204,16:12,16:32
Run4,dark,0,20210204,16:34,16:54
Run4,dark,0,20210204,16:34,16:54
