"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster_30_chromosome_1:2984897-2984988",105.381723231997,0.435320268439467,0.575048809157815,0.757014468175342,0.449041194526366,0.789693135201541
"Cluster_137_chromosome_1:16932585-16932677",102.800921634174,0.683213379863502,0.648853718982954,1.05295440231799,0.292361890738641,0.690929454250056
"Cluster_247_chromosome_2:2155518-2155610",156.060982273071,-1.11665473476905,0.496026777852669,-2.25119849295863,0.0243729683159906,0.426327933045809
"Cluster_449_chromosome_2:20014602-20014694",60.8471188739145,0.271823715033618,0.707083412055582,0.38442948936306,0.700660147244771,0.88762118012267
"Cluster_492_chromosome_3:3503348-3503440",5042.3690484182,-0.00616119229591014,0.539182804522399,-0.0114269079878533,0.99088284495012,0.99088284495012
"Cluster_508_chromosome_3:4941258-4941354",1459.51138995306,-0.498001694918431,0.478558578848574,-1.04062849759509,0.298047999872573,0.690929454250056
"Cluster_860_chromosome_4:10324776-10324865",50.0435054693086,-0.33297915439461,0.585843834663765,-0.568375281419012,0.569780171169208,0.845133721504881
"Cluster_995_chromosome_4:21646377-21646462",571.87237621575,0.435513990121285,0.542312163948306,0.803068821009884,0.421934957694233,0.789693135201541
"Cluster_996_chromosome_4:21646970-21647061",146.82760580023,-0.411579456817618,0.632217388699752,-0.651009390399862,0.515040425170321,0.800964179337163
"Cluster_998_chromosome_4:21649547-21649634",124.477843470602,-0.737982083065253,0.583460247833603,-1.26483695471181,0.205929781118342,0.680018457990846
"Cluster_1155_chromosome_5:8149568-8149660",92.2893104898239,-0.713162108243423,0.500080774837252,-1.42609383149256,0.153841259109118,0.610886771475566
"Cluster_1192_chromosome_5:12612059-12612149",30.2060099661269,-0.596128080363722,0.671899820119037,-0.887227623097308,0.374956363318576,0.774352011955519
"Cluster_1411_chromosome_6:4849414-4849507",573.071337968258,0.177767464352304,0.713733935450521,0.249066851837575,0.80330906999559,0.88762118012267
"Cluster_1452_chromosome_6:9195228-9195318",550.58755585527,-0.216441573762915,0.703243388905542,-0.307776194099405,0.758252637222739,0.88762118012267
"Cluster_1453_chromosome_6:9302199-9302289",183.711563238798,-0.185332797511433,0.558837887940179,-0.331639642749619,0.740161381510711,0.88762118012267
"Cluster_1473_chromosome_6:10443372-10443462",25.4318805091381,-1.33438024301059,0.605478520322155,-2.20384406419671,0.0275353124702465,0.426327933045809
"Cluster_1483_chromosome_6:11028835-11028927",41.0952327451703,0.502062396215138,0.750335162650337,0.669117510689159,0.503420520698767,0.800964179337163
"Cluster_1567_chromosome_6:15161760-15161851",5.71088981896396,-3.36811360615639,2.13629486220882,-1.57661457027235,0.114884238120888,0.610886771475566
"Cluster_1663_chromosome_6:21902734-21902826",28.7571410744489,-0.74406219163517,0.643888846022794,-1.15557552554471,0.247854823661604,0.680018457990846
"Cluster_1765_chromosome_7:1696720-1696810",29.0751849728624,-0.0153443097500366,0.536610413499863,-0.0285948788245804,0.977187696521848,0.99088284495012
"Cluster_1772_chromosome_7:2303817-2303911",55.2674909252641,-1.27113007217552,0.648989646651568,-1.95862919960874,0.050156227417154,0.426327933045809
"Cluster_2003_chromosome_7:21599176-21599270",24993.5885558369,1.19146346728933,0.582959597041344,2.04381825659322,0.0409715049068747,0.426327933045809
"Cluster_2073_chromosome_7:28589761-28589956",449.078894437771,0.551541175706473,0.648107213243301,0.851002989067834,0.39476769236948,0.774352011955519
"Cluster_2097_chromosome_8:223816-223904",255.437230974295,-0.618268087876221,0.536370948571055,-1.15268750017753,0.2490386738435,0.680018457990846
"Cluster_2151_chromosome_8:4117884-4117974",59.8793522491332,0.216103062620478,0.616575378463853,0.350489283498282,0.725971531283515,0.88762118012267
"Cluster_2972_chromosome_10:5278782-5278872",53.9289209040342,0.374949275657791,0.741260107920762,0.505826863811038,0.612978198116059,0.845133721504881
"Cluster_3037_chromosome_10:11981301-11981397",3753.66207843411,-0.793839298243845,0.442549956187167,-1.79378460475569,0.0728475551431598,0.464403164037644
"Cluster_3044_chromosome_10:12450144-12450240",265.216528285268,-0.412711570457164,0.528165603331898,-0.781405619475408,0.434563967067581,0.789693135201541
"Cluster_3293_chromosome_10:27379383-27379471",178.864135154078,-0.647032801885218,0.550801932212044,-1.17471047947618,0.240110565354223,0.680018457990846
"Cluster_3331_chromosome_10:30762009-30762103",2403.20294747405,1.12022898643044,0.610123363940609,1.83606964203962,0.0663473574638953,0.464403164037644
"Cluster_3337_chromosome_10:30943312-30943406",1137.79036810385,-1.6425617499387,2.5426140998748,-0.646012995058741,0.518270939571105,0.800964179337163
"Cluster_3338_chromosome_10:30952312-30952406",1148.82585544192,-1.36870092777095,2.55318704923969,-0.536075462304469,0.591906397867435,0.845133721504881
"Cluster_3406_chromosome_11:4453816-4453908",85.3855266537256,0.255014997204429,1.10821557560604,0.230113168247949,0.818003832662068,0.88762118012267
"Cluster_3423_chromosome_11:5587646-5587736",26.1899231375381,-0.299186037529893,1.15464736651053,-0.259114640718461,0.795546788818337,0.88762118012267
"Cluster_3730_chromosome_11:30949714-30949806",333.671345525026,0.404131431005748,0.554691245612258,0.728570054426719,0.466264701785399,0.792649993035178
"Cluster_3889_chromosome_12:9275018-9275111",224.136532390689,-0.14475148079264,0.552938591407986,-0.261785816801192,0.793486574397344,0.88762118012267
"Cluster_4044_chromosome_12:23068953-23069045",213.55838132026,1.96645179088848,0.992031040291599,1.98224824730329,0.0474514631558826,0.426327933045809
"Cluster_4425_chromosome_13:7028626-7028718",113.709847673239,0.306083332833654,0.60538420321794,0.505601783473466,0.61313622932707,0.845133721504881
