"","Date.Time","Tank1_Temp","Tank1_Light","Tank2_Temp","Tank2_Light","Tank3_Temp","Tank3_Light","Tank4_Temp","Tank4_Light","Tank5_Temp","Tank5_Light","Tank6_Temp","Tank6_Light","Tank7_Temp","Tank7_Light","Tank8_Temp","Tank8_Light","Tank9_Temp","Tank9_Light","Tank10_Temp","Tank10_Light","Tank11_Temp","Tank11_Light","Tank12_Temp","Tank12_Light","Tank15_Temp","Tank15_Light","Tank16_Temp","Tank16_Light","Tank17_Temp","Tank17_Light","Tank18_Temp","Tank18_Light"
"1",2021-02-27 15:40:00,6.22,4575,5.36,5783,5.36,6254,5.45,5888,5.45,5716,5.57,5814,5.27,5394,5.4,6093,5.7,5115,5.45,6500,5.45,5903,5.45,6902,5.4,5201,5.57,6420,9.22,4084,5.4,5445
"2",2021-02-27 15:50:00,6.05,4847,5.23,6067,5.27,6554,5.32,6172,5.32,5978,5.32,6024,5.1,5642,5.23,6395,5.45,5368,5.23,6807,5.27,6172,5.23,7232,5.19,5460,5.45,6689,8.96,4081,5.23,5911
"3",2021-02-27 16:00:00,5.79,5135,5.36,6333,5.45,6820,5.49,6446,5.49,6221,5.23,6344,5.36,5898,5.49,6656,5.32,5714,5.4,7076,5.49,6418,5.4,7555,5.4,5681,5.23,7066,9.05,4097,5.4,6175
"4",2021-02-27 16:10:00,5.62,5427,5.62,6574,5.62,6979,5.57,6684,5.66,6456,5.45,6605,5.53,6152,5.62,6917,5.23,5975,5.57,7357,5.62,6671,5.57,7846,5.53,5891,5.4,7368,9.22,4095,5.57,6403
"5",2021-02-27 16:20:00,5.45,5734,5.7,6802,5.79,7365,5.75,6920,5.83,6712,5.57,6884,5.7,6395,5.79,7178,5.45,6244,5.79,7639,5.75,6930,5.75,8159,5.7,6113,5.53,7675,8.92,4084,5.75,6628
"6",2021-02-27 16:30:00,5.32,6021,5.92,7043,6,7619,5.96,7168,6,6945,5.75,7140,5.92,6651,5.92,7462,5.62,6505,5.96,7921,5.92,7178,5.92,8435,5.92,6323,5.75,7974,9.05,4115,5.87,6825
"7",2021-02-27 16:40:00,5.49,6280,6.09,7276,6.13,7706,6.13,7406,6.13,7158,5.87,7386,6.05,6815,6.17,7698,5.75,6740,6.09,8210,6.09,7416,6.09,8727,6.05,6508,5.87,8287,9.26,4118,6,7068
"8",2021-02-27 16:50:00,5.66,6510,6.17,7393,6.26,8008,6.3,7521,6.35,7258,6.05,7649,6.17,6956,6.3,7839,5.87,6968,6.3,8325,6.26,7539,6.22,8873,6.17,6618,6,8550,9.05,4136,6.17,7137
"9",2021-02-27 17:00:00,5.79,6751,6.39,7380,6.39,8033,6.43,7534,6.52,7265,6.17,7762,6.35,6948,6.39,7846,6.05,7183,6.39,8310,6.43,7534,6.39,8886,6.35,6615,6.26,8704,8.83,4118,6.35,7155
"10",2021-02-27 17:10:00,6,6986,6.52,7393,6.56,8000,6.52,7534,6.56,7270,6.35,7775,6.52,6948,6.6,7846,6.22,7332,6.56,8310,6.56,7552,6.52,8886,6.52,6628,6.39,8717,9.18,4115,6.52,7204
