"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"chromosome_10_400118",3519.858467514,-1.56127646527132,0.474193097868264,-3.29249091201462,0.000993041071809474,0.0101290189324566,3316,17732,3407,85,2822,7548,4057,4065,7518,9009,1022,5759,12906,2462,474,4419,3315,1103,3834
"chromosome_7_273041",889.884987838339,1.65263201808999,0.457010577264502,3.61617892518384,0.000298983754460019,0.00415859222112571,184,18907,768,18,2350,2646,5303,1517,624,2125,209,5727,2376,229,60,1120,700,171,942
"chromosome_13_596712",467.825616834903,-1.7386232596933,0.623664505601447,-2.78775406340724,0.00530748191030124,0.0312324897029265,372,1784,630,5,147,840,1633,503,1693,1947,106,978,1572,172,66,395,159,252,518
"chromosome_11_464397",350.33791730018,1.75008839885693,0.596072688490795,2.93603185089389,0.00332440186580079,0.0252861175861522,29,11125,549,6,1373,494,2013,535,335,1387,202,1041,470,110,16,247,75,74,318
"chromosome_4_131850",417.039506512241,-2.16084546716962,0.417263137737819,-5.17861577441175,2.23538330387034e-07,5.12475355153533e-06,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131836",417.039506512241,-2.16084546716962,0.417263137737819,-5.17861577441175,2.23538330387034e-07,5.12475355153533e-06,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131810",417.039506512241,-2.16084546716962,0.417263137737819,-5.17861577441175,2.23538330387034e-07,5.12475355153533e-06,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131796",417.039506512241,-2.16084546716962,0.417263137737819,-5.17861577441175,2.23538330387034e-07,5.12475355153533e-06,502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131847",415.587253890969,-2.15634934162467,0.417112778970801,-5.16970337601577,2.34465848763054e-07,5.12475355153533e-06,497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_4_131807",415.587253890969,-2.15634934162467,0.417112778970801,-5.16970337601577,2.34465848763054e-07,5.12475355153533e-06,497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_13_585502",114.508619201162,2.67536089244427,0.622557880151396,4.29736893185524,1.72837395721407e-05,0.000330551519317192,35,2147,127,8,475,51,756,117,30,158,38,1053,64,61,22,75,40,17,43
"chromosome_6_180004",169.915163677578,-1.81127826691518,0.522004630260535,-3.46985095900618,0.000520747239810365,0.00612879443776814,144,587,185,14,102,378,251,122,409,481,41,216,410,94,27,281,186,68,85
"chromosome_6_209591",104.110015337158,-1.89434517245174,0.601061381155076,-3.15166675458558,0.00162341435350337,0.0146107291815303,131,520,51,4,75,138,70,173,274,789,22,161,269,52,14,155,98,31,37
"chromosome_14_688567",54.0903330369332,3.87513191671187,0.69030017472262,5.61369105587869,1.98055695984095e-08,3.03025214855665e-06,3,1999,42,0,383,144,670,60,29,29,14,347,10,7,2,35,17,4,6
"chromosome_9_343049",96.2702513110328,-1.56263770121477,0.550243051046057,-2.83990447174946,0.00451270454691807,0.0287684914866027,77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_9_343055",96.2702513110328,-1.56263770121477,0.550243051046057,-2.83990447174946,0.00451270454691807,0.0287684914866027,77,480,112,2,97,111,198,84,240,348,23,110,135,27,9,372,93,41,143
"chromosome_14_800166",24.9475786112692,1.89404831305109,0.651293097742481,2.90813509250484,0.00363591233264933,0.0252861175861522,1,409,20,2,79,58,210,34,20,18,8,203,32,6,3,19,7,9,17
"chromosome_3_79553",78.0645613287316,-2.11098223194928,0.653429331422557,-3.23062055900297,0.00123521799552235,0.0118117720821825,48,188,98,2,30,71,49,520,94,105,46,93,106,28,17,40,44,51,27
"chromosome_5_147390",38.603229009293,2.23630054361165,0.765384982422552,2.92179830408148,0.00348016831467533,0.0252861175861522,10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_5_147456",38.603229009293,2.23630054361165,0.765384982422552,2.92179830408148,0.00348016831467533,0.0252861175861522,10,664,15,3,381,40,267,30,6,24,2,148,103,8,2,16,5,10,68
"chromosome_14_689375",24.9202580419737,2.43746135470143,0.647246260188674,3.76589484501757,0.000165953632025661,0.00253909056999261,6,769,31,1,131,26,104,24,10,76,3,211,63,8,0,31,7,7,12
"chromosome_5_173097",19.1806436568739,2.83923291776902,0.805908143084392,3.52302299230113,0.000426654345520576,0.00543984290538735,2,497,13,0,153,36,271,6,11,6,0,38,33,1,4,3,20,3,15
"chromosome_9_319260",26.9922044972838,-1.82317307796956,0.650908647788418,-2.80096613275016,0.00509498657804328,0.0311813178576249,43,135,39,2,15,23,56,32,41,44,9,18,42,18,9,22,17,2,43
"chromosome_4_135867",19.1940407248923,-1.84740698471814,0.617504125955756,-2.99173221208648,0.00277399477353872,0.0235789555750791,9,55,25,2,14,28,53,23,49,42,5,27,29,8,2,17,14,20,23
"chromosome_5_155769",105.522405847113,-2.05348314805162,0.616744463859123,-3.32955262411675,0.000869856248072688,0.00950628613965152,108,158,151,10,109,145,96,116,189,694,21,104,94,69,7,168,73,72,75
"chromosome_4_135958",50.8324028614125,-2.36931701304442,0.597616144009526,-3.96461346768211,7.35149720591813e-05,0.00124975452500608,26,122,69,2,27,69,15,26,104,368,15,63,104,14,15,74,58,20,100
