"","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"chromosome_14_809177",2709,69458,9681,431,9155,8536,13273,7166,8897,20308,1146,17967,14852,1542,566,6741,5462,2847,4367
"chromosome_3_65584",1653,79498,3248,110,8005,13210,18945,6622,9036,16644,1378,22167,8864,1678,419,9463,6264,492,11097
"chromosome_10_389652",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467,12664
"chromosome_10_389890",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467,12664
"chromosome_10_389864",1328,87765,3721,179,3660,9713,25363,7068,4134,16114,1545,18493,5268,1200,608,6008,5527,1467,12664
"chromosome_10_400118",3316,17732,3407,85,2822,7548,4057,4065,7518,9009,1022,5759,12906,2462,474,4419,3315,1103,3834
"chromosome_10_374068",1318,12488,1416,63,3572,3029,13376,2989,2680,10955,320,10425,6879,760,183,2665,2139,647,16254
"chromosome_3_83113",681,19262,879,16,1973,2624,7205,2431,1385,4741,344,6358,2046,575,208,2629,1885,390,3487
"chromosome_9_342023",3030,20477,1805,92,3294,4190,9136,3627,2130,9399,325,3732,1179,1144,153,5413,3892,1415,6908
"chromosome_4_96985",865,6251,1305,141,783,2147,8069,1330,527,2618,37,3540,3369,259,49,1107,610,2186,798
"chromosome_4_131839",746,7563,503,33,965,1225,1320,801,1111,3384,107,2009,530,212,117,1149,301,114,647
"chromosome_4_131799",746,7563,503,33,965,1225,1320,801,1111,3384,107,2009,530,212,117,1149,301,114,647
"chromosome_7_273041",184,18907,768,18,2350,2646,5303,1517,624,2125,209,5727,2376,229,60,1120,700,171,942
"chromosome_7_253343",154,13941,195,102,1930,960,1936,193,466,1407,621,3094,1168,476,155,820,275,558,2178
"chromosome_5_167919",508,8475,708,33,1356,1701,3505,483,1626,4823,295,3108,1277,328,51,499,824,221,662
"chromosome_5_167917",508,8475,708,33,1356,1701,3505,483,1626,4823,295,3108,1277,328,51,499,824,221,662
"chromosome_4_131803",519,8821,307,48,551,421,2391,410,611,1551,45,1432,395,42,30,272,90,60,423
"chromosome_4_131843",519,8821,307,48,551,421,2391,410,611,1551,45,1432,395,42,30,272,90,60,423
"chromosome_13_585866",212,5673,784,20,908,895,1280,569,1499,2791,225,2178,1820,149,102,360,432,156,323
"chromosome_13_596712",372,1784,630,5,147,840,1633,503,1693,1947,106,978,1572,172,66,395,159,252,518
"chromosome_10_389860",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_10_389884",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_10_389646",57,12861,141,5,771,555,2746,489,170,936,52,2113,498,78,39,328,337,86,1838
"chromosome_6_183194",192,4298,379,6,958,1700,3869,1107,626,3159,15,2556,632,139,93,1149,361,87,1579
"chromosome_11_464397",29,11125,549,6,1373,494,2013,535,335,1387,202,1041,470,110,16,247,75,74,318
"chromosome_6_186333",347,6167,355,1,331,1764,424,334,763,2158,77,556,1256,405,93,736,754,73,325
"chromosome_5_167921",186,6125,246,12,893,879,1610,624,806,1364,193,2249,999,109,49,360,242,81,1097
"chromosome_13_538931",110,10,492,14,7989,4,4948,415,214,211,159,9,688,1,9,353,56,3,701
"chromosome_14_704466",105,5019,317,25,687,417,963,408,337,875,107,1584,1394,156,28,326,221,110,656
"chromosome_4_111766",282,4274,400,45,396,1411,1669,358,840,945,73,1516,337,44,43,474,147,147,553
"chromosome_10_374053",18,5168,216,2,674,286,1635,434,292,1023,87,1197,311,54,14,108,80,51,615
"chromosome_5_167915",125,5262,388,21,365,326,639,9,263,1117,142,677,553,123,23,162,215,35,252
"chromosome_4_131850",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131836",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131810",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131796",502,1340,435,47,199,534,821,756,939,2377,58,649,483,85,50,566,223,199,1068
"chromosome_4_131847",497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_4_131807",497,1341,432,47,199,531,821,754,936,2371,58,647,484,83,50,563,223,199,1067
"chromosome_8_273635",95,5294,320,6,461,290,829,432,584,530,86,850,524,62,42,281,113,19,541
"chromosome_14_812535",80,4478,271,24,611,356,833,371,275,785,91,1447,1330,140,28,293,189,92,551
"chromosome_12_484202",136,3536,482,11,65,16,1022,25,8,376,4,22,234,139,4,30,11,4,39
"chromosome_13_585502",35,2147,127,8,475,51,756,117,30,158,38,1053,64,61,22,75,40,17,43
"chromosome_12_483625",95,3948,364,8,732,666,39,89,174,1452,57,1301,434,119,8,470,182,32,77
"chromosome_12_483627",95,3948,364,8,732,666,39,89,174,1452,57,1301,434,119,8,470,182,32,77
"chromosome_5_168528",1,5450,3,3,546,11,468,35,1,172,17,80,56,29,1,34,12,16,299
"chromosome_6_204900",228,2807,15,2,101,76,230,194,26,632,11,141,94,13,6,129,22,9,39
"chromosome_7_269745",67,1431,139,0,111,150,322,203,210,416,29,205,800,75,27,186,32,32,209
"chromosome_14_689525",94,4049,64,3,216,412,498,135,20,337,82,951,148,38,21,144,115,12,365
"chromosome_14_689529",94,4049,64,3,216,412,498,135,20,337,82,951,148,38,21,144,115,12,365
"chromosome_9_317153",236,2516,209,11,173,370,710,217,220,638,70,254,81,67,7,452,351,145,686
"chromosome_12_488933",25,4030,43,4,233,490,1305,80,139,440,95,955,123,24,12,67,151,25,216
"chromosome_1_25557",53,2521,144,8,350,405,386,340,132,512,64,1341,199,69,31,164,126,21,245
"chromosome_1_20660",18,2669,354,5,623,0,709,68,34,149,21,21,34,42,7,86,16,24,102
"chromosome_6_180004",144,587,185,14,102,378,251,122,409,481,41,216,410,94,27,281,186,68,85
"chromosome_7_227926",33,2552,123,4,326,218,621,176,173,661,40,765,202,51,6,143,74,92,198
"chromosome_4_131820",79,672,36,1,110,139,1505,93,174,891,6,564,299,10,3,198,27,42,390
"chromosome_1_27389",14,2568,304,2,78,111,787,154,78,842,23,552,255,14,3,44,69,37,104
"chromosome_6_209828",70,1736,239,10,249,214,450,247,185,604,34,475,458,53,16,127,127,86,266
"chromosome_6_209796",70,1736,239,10,249,214,450,247,185,604,34,475,458,53,16,127,127,86,266
"chromosome_10_386939",97,1237,225,9,134,385,446,240,485,291,29,233,314,11,18,134,96,13,358
