"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Cluster_30_chromosome_1:2984897-2984988",105.381723231997,-0.505054157106239,0.574203363182681,-0.879573665864367,0.379090309990982,0.99217579626234
"Cluster_137_chromosome_1:16932585-16932677",102.800921634174,0.14065685599188,0.644285899962253,0.218314347714455,0.827184196205374,0.99217579626234
"Cluster_247_chromosome_2:2155518-2155610",156.060982273071,0.0876262882668509,0.498394228090509,0.175817221243858,0.860437539791315,0.99217579626234
"Cluster_449_chromosome_2:20014602-20014694",60.8471188739145,0.0456538908949736,0.703757820902222,0.0648715929528783,0.948276238477403,0.99217579626234
"Cluster_492_chromosome_3:3503348-3503440",5042.3690484182,0.042546600870953,0.53915837185077,0.0789129930875471,0.937101828482576,0.99217579626234
"Cluster_508_chromosome_3:4941258-4941354",1459.51138995306,-0.26477363131774,0.478768081263965,-0.553031084734655,0.580242124959362,0.99217579626234
"Cluster_860_chromosome_4:10324776-10324865",50.0435054693086,0.269043786228694,0.583957047912819,0.460725300243077,0.644995700953096,0.99217579626234
"Cluster_995_chromosome_4:21646377-21646462",571.87237621575,-1.27673494157241,0.542936227757717,-2.35153757715749,0.0186960011195705,0.807260807448231
"Cluster_996_chromosome_4:21646970-21647061",146.82760580023,-1.11666820779125,0.636032065331446,-1.75567910591007,0.0791432164164933,0.807260807448231
"Cluster_998_chromosome_4:21649547-21649634",124.477843470602,0.071675249045112,0.584830526362204,0.12255729790808,0.902457670773401,0.99217579626234
"Cluster_1155_chromosome_5:8149568-8149660",92.2893104898239,0.105105971721128,0.501712521212911,0.20949441617887,0.834062293926151,0.99217579626234
"Cluster_1192_chromosome_5:12612059-12612149",30.2060099661269,0.283859642496181,0.672246439095203,0.422255330765659,0.672838658883886,0.99217579626234
"Cluster_1411_chromosome_6:4849414-4849507",573.071337968258,-0.256829943724194,0.713647802727625,-0.359883324438984,0.71893438785559,0.99217579626234
"Cluster_1452_chromosome_6:9195228-9195318",550.58755585527,0.190360412239144,0.703109600400182,0.270740738187614,0.78659044199375,0.99217579626234
"Cluster_1453_chromosome_6:9302199-9302289",183.711563238798,-0.755436260159786,0.560544951724144,-1.34768185465981,0.177760730669027,0.99217579626234
"Cluster_1473_chromosome_6:10443372-10443462",25.4318805091381,-0.0330613354812178,0.618627198495014,-0.0534430680733871,0.957378890862733,0.99217579626234
"Cluster_1483_chromosome_6:11028835-11028927",41.0952327451703,0.152031524046081,0.740634356214846,0.205272038449671,0.83735958896542,0.99217579626234
"Cluster_1567_chromosome_6:15161760-15161851",5.71088981896396,3.07461291773607,2.13685548523493,1.43884925254927,0.15019323828116,0.957481894042394
"Cluster_1663_chromosome_6:21902734-21902826",28.7571410744489,0.633509943062865,0.641845727369087,0.987012791468769,0.323636367846076,0.99217579626234
"Cluster_1765_chromosome_7:1696720-1696810",29.0751849728624,0.419241101251044,0.525818564445541,0.797311334363252,0.425270239261406,0.99217579626234
"Cluster_1772_chromosome_7:2303817-2303911",55.2674909252641,1.06098371712436,0.648616153075879,1.63576517805323,0.101888742480226,0.86605431108192
"Cluster_2003_chromosome_7:21599176-21599270",24993.5885558369,-1.21173390584883,0.582955054466799,-2.07860605472774,0.0376535740212904,0.807260807448231
"Cluster_2073_chromosome_7:28589761-28589956",449.078894437771,-0.49507009562352,0.647776788867387,-0.764260319498528,0.444712126957434,0.99217579626234
"Cluster_2097_chromosome_8:223816-223904",255.437230974295,0.553546191649842,0.536094863938596,1.03255268588666,0.301813279797113,0.99217579626234
"Cluster_2151_chromosome_8:4117884-4117974",59.8793522491332,-0.096345268019305,0.61389811558384,-0.156940159243977,0.87529200950404,0.99217579626234
"Cluster_2972_chromosome_10:5278782-5278872",53.9289209040342,-0.461756865458537,0.740276597900528,-0.623762613552974,0.532783495875571,0.99217579626234
"Cluster_3037_chromosome_10:11981301-11981397",3753.66207843411,0.325634256881909,0.442587986732233,0.735750329072801,0.461882654589989,0.99217579626234
"Cluster_3044_chromosome_10:12450144-12450240",265.216528285268,0.602669709716593,0.527387025119524,1.14274656184423,0.25314383162247,0.99217579626234
"Cluster_3293_chromosome_10:27379383-27379471",178.864135154078,0.35947700975555,0.550937583030267,0.652482278987675,0.514090101097035,0.99217579626234
"Cluster_3331_chromosome_10:30762009-30762103",2403.20294747405,-1.16989940527475,0.61007946225071,-1.91761807709236,0.0551594562719574,0.807260807448231
"Cluster_3337_chromosome_10:30943312-30943406",1137.79036810385,1.70661401305856,2.54259625376841,0.671209206152637,0.502087264730325,0.99217579626234
"Cluster_3338_chromosome_10:30952312-30952406",1148.82585544192,1.43644886079462,2.55316865914652,0.562614167947213,0.57369764232356,0.99217579626234
"Cluster_3406_chromosome_11:4453816-4453908",85.3855266537256,0.562063112936266,1.10542717809863,0.508457837903926,0.611132300067528,0.99217579626234
"Cluster_3423_chromosome_11:5587646-5587736",26.1899231375381,-2.12162469501238,1.17754598823509,-1.80173404368883,0.0715872591835247,0.807260807448231
"Cluster_3730_chromosome_11:30949714-30949806",333.671345525026,0.847500610570741,0.552206124682389,1.53475409396844,0.124844242853078,0.909579483643852
"Cluster_3889_chromosome_12:9275018-9275111",224.136532390689,-0.0054988780205595,0.552772372039621,-0.0099478163141,0.992062921857111,0.99217579626234
"Cluster_4044_chromosome_12:23068953-23069045",213.55838132026,-0.624294791551164,0.988856439825053,-0.631330056020683,0.527824738604657,0.99217579626234
"Cluster_4425_chromosome_13:7028626-7028718",113.709847673239,-0.14215190701207,0.603817268309316,-0.235422063052443,0.813881163394601,0.99217579626234
