"Plot Title: 20444040"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444040, SEN S/N: 20444040)","Coupler Detached (LGR S/N: 20444040)","Coupler Attached (LGR S/N: 20444040)","Host Connected (LGR S/N: 20444040)","End Of File (LGR S/N: 20444040)"
1,02/06/21 04:00:00 PM,5.282,Logged,,,
2,02/06/21 04:10:00 PM,5.642,,,,
3,02/06/21 04:20:00 PM,5.616,,,,
4,02/06/21 04:30:00 PM,5.231,,,,
5,02/06/21 04:40:00 PM,4.844,,,,
6,02/06/21 04:50:00 PM,5.102,,,,
7,02/06/21 05:00:00 PM,5.462,,,,
8,02/06/21 05:10:00 PM,5.745,,,,
9,02/06/21 05:20:00 PM,5.488,,,,
10,02/06/21 05:30:00 PM,5.102,,,,
11,02/06/21 05:40:00 PM,4.818,,,,
12,02/06/21 05:50:00 PM,5.179,,,,
13,02/06/21 06:00:00 PM,5.488,,,,
14,02/06/21 06:10:00 PM,5.770,,,,
15,02/06/21 06:20:00 PM,5.514,,,,
16,02/06/21 06:30:00 PM,5.102,,,,
17,02/06/21 06:40:00 PM,4.844,,,,
18,02/06/21 06:50:00 PM,5.205,,,,
19,02/06/21 07:00:00 PM,5.488,,,,
20,02/06/21 07:10:00 PM,5.719,,,,
21,02/06/21 07:20:00 PM,5.616,,,,
22,02/06/21 07:30:00 PM,5.205,,,,
23,02/06/21 07:40:00 PM,4.844,,,,
24,02/06/21 07:50:00 PM,5.128,,,,
25,02/06/21 08:00:00 PM,5.488,,,,
26,02/06/21 08:10:00 PM,5.745,,,,
27,02/06/21 08:20:00 PM,5.437,,,,
28,02/06/21 08:30:00 PM,5.024,,,,
29,02/06/21 08:40:00 PM,4.973,,,,
30,02/06/21 08:50:00 PM,5.282,,,,
31,02/06/21 09:00:00 PM,5.565,,,,
32,02/06/21 09:10:00 PM,5.796,,,,
33,02/06/21 09:20:00 PM,5.539,,,,
34,02/06/21 09:30:00 PM,5.154,,,,
35,02/06/21 09:40:00 PM,4.844,,,,
36,02/06/21 09:50:00 PM,5.102,,,,
37,02/06/21 10:00:00 PM,5.462,,,,
38,02/06/21 10:10:00 PM,5.745,,,,
39,02/06/21 10:20:00 PM,5.411,,,,
40,02/06/21 10:30:00 PM,5.024,,,,
41,02/06/21 10:40:00 PM,4.947,,,,
42,02/06/21 10:50:00 PM,5.334,,,,
43,02/06/21 11:00:00 PM,5.693,,,,
