mVTris,TTris
-90.6,15.21
-90.3,16
-89.3,17
-86.5,18.14
-86.5,19.08
-85.7,20.01
-84.9,21
-83.7,22.01
-82.6,23.05
-81.6,24.05
-80.5,25.02
