mVTris,TTris
-80.5,4.63
-81,5.12
-80.7,5.88
-80.3,6.4
-79.8,6.81
-79.4,7.35
-79,7.7
-78.6,8.15
-78.1,8.88
-77.4,9.21
-76.9,9.62
-76.4,10.28
-75.9,10.62
-75.1,11.35
-74.6,11.79
