mVTris,TTris
-80.7,13.25
-80,14.11
-79.4,14.63
-78.7,15.13
-78.1,15.7
-77.7,16.04
-77.1,16.45
-76.2,17.28
-74.9,18.32
-73.9,19.03
-72.8,20.08
-71.6,20.05
