mVTris,TTris
-82,13.11
-82,14.66
-81.8,15.78
-80.7,16.86
-80.5,17.95
-79.6,18.99
-78.4,19.95
-77.5,20.81
-76.4,21.85
-75.4,22.82
-74.4,23.84
-73.3,24.84
-72.1,25.92
