mVTris,TTris
-80.4,5.05
-80.4,5.9
-80.1,6.36
-79.7,6.88
-79.4,7.18
-78.9,7.65
-78.6,7.98
-78.3,8.46
-77.7,8.8
-77.3,9.25
-76.8,9.58
-76.3,10.06
-75.7,10.64
-75,11.12
-74.4,11.78
