mVTris,TTris
-83.5,3.14
-83.7,4.03
-82.9,4.92
-82.3,5.45
-81.8,5.95
-81.4,6.48
-80.8,7.02
-80,7.77
-79.5,8.1
-78.9,8.69
-78.3,9.21
-77.5,9.78
-77.2,10.23
-76.5,10.62
-75.6,11.31
-75,11.98
-74.4,12.51
-73.4,13.33
-71.9,14.52
-71.5,14.92
-70.6,15.65
-70.2,16.03
