mVTris,TTris
-83.8,-1.39
-85.5,-0.43
-85.5,0.34
-85.3,1.3
-84.9,2.02
-84.4,2.8
-83.7,3.31
-83.1,4.33
-82.4,5.04
-81.6,5.57
-81,5.9
-80.3,6.42
-79.6,7.33
-78,8.63
-77.4,9.29
-76.2,10.35
-75.4,11.2
-74.6,11.79
-73.5,12.67
