mVTris,TTris
-82.8,5.95
-82.6,6.53
-82.5,7.12
-82.1,7.41
-81.9,7.75
-81.5,8.08
-81.4,8.37
-81.1,8.72
-80.6,9.2
-80.2,9.47
-79.9,9.77
-79.5,10.11
-78.4,10.33
-78.1,11.2
-77.4,11.69
