mVTris,TTris
-84.3,12.95
-83,14.08
-82.5,15.07
-81.4,16.19
-80.2,17.25
-79.7,18.02
-78.5,19.19
-77.6,20.03
-76.5,21.06
-75.5,22.08
-74,23.28
-73.2,24.06
-72.1,25.02
