mVTris,TTris
-80.1,5.8
-80,6.5
-79.7,7.08
-79.4,7.4
-78.5,8.3
-77.8,8.9
-77.3,9.4
-76.8,9.7
-76.1,10.4
-75.5,11.1
-74.9,11.6
-74.4,12.1
-74,12.6
-73.4,13.1
-72.9,13.5
-71.9,14.3
-71,15.2
