"","GO.ID","Term","Annotated","Significant","Expected","Fisher","ontology","cluster"
"1","GO:0030204","chondroitin sulfate metabolic process",100,5,1.57,0.00042,"Biological Processes","1"
"2","GO:0014012","peripheral nervous system axon regeneration",10,3,0.16,0.00043,"Biological Processes","1"
"3","GO:0060071","Wnt signaling pathway, planar cell polarity pathway",139,11,2.19,0.00076,"Biological Processes","1"
"4","GO:0022008","neurogenesis",1557,37,24.49,0.00086,"Biological Processes","1"
"5","GO:0090090","negative regulation of canonical Wnt signaling path...",193,10,3.04,0.00099,"Biological Processes","1"
"6","GO:0090103","cochlea morphogenesis",100,7,1.57,0.00102,"Biological Processes","1"
"7","GO:0010923","negative regulation of phosphatase activity",29,4,0.46,0.00104,"Biological Processes","1"
"8","GO:2000095","regulation of Wnt signaling pathway, planar cell po...",14,3,0.22,0.00123,"Biological Processes","1"
"9","GO:0007156","homophilic cell adhesion via plasma membrane adhesi...",200,10,3.15,0.00129,"Biological Processes","1"
"10","GO:0060027","convergent extension involved in gastrulation",15,3,0.24,0.00152,"Biological Processes","1"
"11","GO:0071300","cellular response to retinoic acid",82,6,1.29,0.00185,"Biological Processes","1"
"12","GO:0043161","proteasome-mediated ubiquitin-dependent protein cat...",221,9,3.48,0.00227,"Biological Processes","1"
"13","GO:0050982","detection of mechanical stimulus",170,9,2.67,0.0032,"Biological Processes","1"
"14","GO:0072300","positive regulation of metanephric glomerulus devel...",40,4,0.63,0.00351,"Biological Processes","1"
"15","GO:0035799","ureter maturation",40,4,0.63,0.00351,"Biological Processes","1"
"16","GO:0021940","positive regulation of cerebellar granule cell prec...",6,2,0.09,0.00355,"Biological Processes","1"
"17","GO:0060447","bud outgrowth involved in lung branching",6,2,0.09,0.00355,"Biological Processes","1"
"18","GO:0060739","mesenchymal-epithelial cell signaling involved in p...",6,2,0.09,0.00355,"Biological Processes","1"
"19","GO:0071799","cellular response to prostaglandin D stimulus",6,2,0.09,0.00355,"Biological Processes","1"
"20","GO:1900020","positive regulation of protein kinase C activity",6,2,0.09,0.00355,"Biological Processes","1"
"21","GO:0030162","regulation of proteolysis",272,9,4.28,0.00366,"Biological Processes","1"
"22","GO:0032703","negative regulation of interleukin-2 production",8,2,0.13,0.00648,"Biological Processes","1"
"23","GO:0048678","response to axon injury",75,7,1.18,0.00663,"Biological Processes","1"
"24","GO:0010800","positive regulation of peptidyl-threonine phosphory...",26,3,0.41,0.00766,"Biological Processes","1"
"25","GO:0055129","L-proline biosynthetic process",9,2,0.14,0.00825,"Biological Processes","1"
"26","GO:0043406","positive regulation of MAP kinase activity",105,6,1.65,0.00826,"Biological Processes","1"
"27","GO:0001502","cartilage condensation",27,3,0.42,0.00852,"Biological Processes","1"
"28","GO:0060041","retina development in camera-type eye",197,11,3.1,0.0098,"Biological Processes","1"
"29","GO:0035726","common myeloid progenitor cell proliferation",10,2,0.16,0.01021,"Biological Processes","1"
"30","GO:0060122","inner ear receptor cell stereocilium organization",118,6,1.86,0.01091,"Biological Processes","1"
"31","GO:0031104","dendrite regeneration",11,2,0.17,0.01235,"Biological Processes","1"
"32","GO:0043932","ossification involved in bone remodeling",91,5,1.43,0.01441,"Biological Processes","1"
"33","GO:0090177","establishment of planar polarity involved in neural...",91,5,1.43,0.01441,"Biological Processes","1"
"34","GO:0030205","dermatan sulfate metabolic process",12,2,0.19,0.01466,"Biological Processes","1"
"35","GO:0007447","imaginal disc pattern formation",25,3,0.39,0.01564,"Biological Processes","1"
"36","GO:0036148","phosphatidylglycerol acyl-chain remodeling",1,1,0.02,0.01573,"Biological Processes","1"
"37","GO:0036149","phosphatidylinositol acyl-chain remodeling",1,1,0.02,0.01573,"Biological Processes","1"
"38","GO:0036261","7-methylguanosine cap hypermethylation",1,1,0.02,0.01573,"Biological Processes","1"
"39","GO:0045317","equator specification",1,1,0.02,0.01573,"Biological Processes","1"
"40","GO:0046013","regulation of T cell homeostatic proliferation",1,1,0.02,0.01573,"Biological Processes","1"
"41","GO:0090176","microtubule cytoskeleton organization involved in e...",1,1,0.02,0.01573,"Biological Processes","1"
"42","GO:0010189","vitamin E biosynthetic process",1,1,0.02,0.01573,"Biological Processes","1"
"43","GO:0000911","cytokinesis by cell plate formation",1,1,0.02,0.01573,"Biological Processes","1"
"44","GO:0000918","division septum site selection",1,1,0.02,0.01573,"Biological Processes","1"
"45","GO:2000594","positive regulation of metanephric DCT cell differe...",1,1,0.02,0.01573,"Biological Processes","1"
"46","GO:2000597","positive regulation of optic nerve formation",1,1,0.02,0.01573,"Biological Processes","1"
"47","GO:0030328","prenylcysteine catabolic process",1,1,0.02,0.01573,"Biological Processes","1"
"48","GO:0001879","detection of yeast",1,1,0.02,0.01573,"Biological Processes","1"
"49","GO:0030473","nuclear migration along microtubule",1,1,0.02,0.01573,"Biological Processes","1"
"50","GO:0071477","cellular hypotonic salinity response",1,1,0.02,0.01573,"Biological Processes","1"
"51","GO:1900215","negative regulation of apoptotic process involved i...",1,1,0.02,0.01573,"Biological Processes","1"
"52","GO:0016336","establishment or maintenance of polarity of larval ...",1,1,0.02,0.01573,"Biological Processes","1"
"53","GO:0061360","optic chiasma development",1,1,0.02,0.01573,"Biological Processes","1"
"54","GO:0072305","negative regulation of mesenchymal cell apoptotic p...",1,1,0.02,0.01573,"Biological Processes","1"
"55","GO:0035209","pupal development",1,1,0.02,0.01573,"Biological Processes","1"
"56","GO:0021650","vestibulocochlear nerve formation",1,1,0.02,0.01573,"Biological Processes","1"
"57","GO:0001928","regulation of exocyst assembly",1,1,0.02,0.01573,"Biological Processes","1"
"58","GO:0072179","nephric duct formation",1,1,0.02,0.01573,"Biological Processes","1"
"59","GO:0072108","positive regulation of mesenchymal to epithelial tr...",1,1,0.02,0.01573,"Biological Processes","1"
"60","GO:0045918","negative regulation of cytolysis",1,1,0.02,0.01573,"Biological Processes","1"
"61","GO:0035566","regulation of metanephros size",1,1,0.02,0.01573,"Biological Processes","1"
"62","GO:0045669","positive regulation of osteoblast differentiation",166,7,2.61,0.01616,"Biological Processes","1"
"63","GO:0072307","regulation of metanephric nephron tubule epithelial...",13,2,0.2,0.01715,"Biological Processes","1"
"64","GO:0043152","induction of bacterial agglutination",36,3,0.57,0.01875,"Biological Processes","1"
"65","GO:0048047","mating behavior, sex discrimination",36,3,0.57,0.01875,"Biological Processes","1"
"66","GO:0032438","melanosome organization",14,2,0.22,0.01981,"Biological Processes","1"
"67","GO:0033141","positive regulation of peptidyl-serine phosphorylat...",39,3,0.61,0.02319,"Biological Processes","1"
"68","GO:0033690","positive regulation of osteoblast proliferation",103,5,1.62,0.02335,"Biological Processes","1"
"69","GO:0050766","positive regulation of phagocytosis",40,3,0.63,0.02479,"Biological Processes","1"
"70","GO:0001838","embryonic epithelial tube formation",245,10,3.85,0.02549,"Biological Processes","1"
"71","GO:0097264","self proteolysis",16,2,0.25,0.02558,"Biological Processes","1"
"72","GO:0043393","regulation of protein binding",206,8,3.24,0.0281,"Biological Processes","1"
"73","GO:0061146","Peyer's patch morphogenesis",42,3,0.66,0.02815,"Biological Processes","1"
"74","GO:2001244","positive regulation of intrinsic apoptotic signalin...",17,2,0.27,0.0287,"Biological Processes","1"
"75","GO:0014042","positive regulation of neuron maturation",43,3,0.68,0.02992,"Biological Processes","1"
