"","pair_id","miRNA","mRNA","timepoint","Ambient","Heat","cluster"
"42","Cluster_137_evm.TU.chromosome_11.1231","Cluster_137","evm.TU.chromosome_11.1231","TP5",-0.8,0.8,"1"
"43","Cluster_137_evm.TU.chromosome_11.136","Cluster_137","evm.TU.chromosome_11.136","TP5",0.4,0.4,"3"
"44","Cluster_137_evm.TU.chromosome_11.1719","Cluster_137","evm.TU.chromosome_11.1719","TP5",0.632455532033676,0.4,"2"
"45","Cluster_137_evm.TU.chromosome_11.1965","Cluster_137","evm.TU.chromosome_11.1965","TP5",0.8,0.210818510677892,"2"
"46","Cluster_137_evm.TU.chromosome_11.2465","Cluster_137","evm.TU.chromosome_11.2465","TP5",-0.316227766016838,0.4,"1"
"47","Cluster_137_evm.TU.chromosome_11.250","Cluster_137","evm.TU.chromosome_11.250","TP5",0.316227766016838,0.4,"3"
"48","Cluster_137_evm.TU.chromosome_11.2944","Cluster_137","evm.TU.chromosome_11.2944","TP5",0.4,0.4,"3"
"49","Cluster_137_evm.TU.chromosome_11.330","Cluster_137","evm.TU.chromosome_11.330","TP5",0.4,0.8,"3"
"50","Cluster_137_evm.TU.chromosome_11.331","Cluster_137","evm.TU.chromosome_11.331","TP5",0.6,0.8,"3"
"51","Cluster_137_evm.TU.chromosome_11.338","Cluster_137","evm.TU.chromosome_11.338","TP5",-0.6,-0.2,"1"
"52","Cluster_137_evm.TU.chromosome_11.396","Cluster_137","evm.TU.chromosome_11.396","TP5",-0.737864787372622,-0.2,"1"
"53","Cluster_137_evm.TU.chromosome_11.406","Cluster_137","evm.TU.chromosome_11.406","TP5",-0.210818510677892,0.210818510677892,"3"
"54","Cluster_137_evm.TU.chromosome_11.413","Cluster_137","evm.TU.chromosome_11.413","TP5",-0.4,0.4,"1"
"55","Cluster_137_evm.TU.chromosome_11.416","Cluster_137","evm.TU.chromosome_11.416","TP5",0.4,-0.4,"2"
"56","Cluster_137_evm.TU.chromosome_11.675","Cluster_137","evm.TU.chromosome_11.675","TP5",-0.737864787372622,0.948683298050514,"1"
"57","Cluster_137_evm.TU.chromosome_11.725","Cluster_137","evm.TU.chromosome_11.725","TP5",-0.948683298050514,1,"1"
"58","Cluster_137_evm.TU.chromosome_11.870","Cluster_137","evm.TU.chromosome_11.870","TP5",0,0.632455532033676,"3"
"59","Cluster_137_evm.TU.chromosome_12.1523","Cluster_137","evm.TU.chromosome_12.1523","TP5",0.2,0.105409255338946,"3"
"60","Cluster_137_evm.TU.chromosome_12.191","Cluster_137","evm.TU.chromosome_12.191","TP5",0.8,-0.8,"2"
"61","Cluster_137_evm.TU.chromosome_12.1925","Cluster_137","evm.TU.chromosome_12.1925","TP5",-0.4,0.8,"1"
"62","Cluster_137_evm.TU.chromosome_12.2046","Cluster_137","evm.TU.chromosome_12.2046","TP5",-0.8,0.8,"1"
"63","Cluster_137_evm.TU.chromosome_12.2136","Cluster_137","evm.TU.chromosome_12.2136","TP5",-0.737864787372622,-1,"3"
"64","Cluster_137_evm.TU.chromosome_12.2344","Cluster_137","evm.TU.chromosome_12.2344","TP5",-1,0.8,"1"
"65","Cluster_137_evm.TU.chromosome_12.2512","Cluster_137","evm.TU.chromosome_12.2512","TP5",-0.737864787372622,0.8,"1"
"66","Cluster_137_evm.TU.chromosome_12.2617","Cluster_137","evm.TU.chromosome_12.2617","TP5",0.2,1,"3"
"67","Cluster_137_evm.TU.chromosome_12.2785","Cluster_137","evm.TU.chromosome_12.2785","TP5",0,-0.258198889747161,"3"
"68","Cluster_137_evm.TU.chromosome_12.3135","Cluster_137","evm.TU.chromosome_12.3135","TP5",-0.6,0.4,"1"
"69","Cluster_137_evm.TU.chromosome_12.3285","Cluster_137","evm.TU.chromosome_12.3285","TP5",0.6,0.8,"3"
