"","pair_id","miRNA","mRNA","TP0","TP5","TP7","cluster.x","cluster.y","raw_cluster","cluster"
"105","Cluster_137_evm.TU.chromosome_2.1823","Cluster_137","evm.TU.chromosome_2.1823",-0.4,1,-0.5,"4","4","4","1"
"106","Cluster_137_evm.TU.chromosome_2.1987","Cluster_137","evm.TU.chromosome_2.1987",-0.4,-0.948683298050514,0.5,"1","1","1","4"
"107","Cluster_137_evm.TU.chromosome_2.255","Cluster_137","evm.TU.chromosome_2.255",0.8,-0.4,0.5,"1","1","1","4"
"108","Cluster_137_evm.TU.chromosome_2.591","Cluster_137","evm.TU.chromosome_2.591",-1,-0.4,0.5,"5","5","5","2"
"109","Cluster_137_evm.TU.chromosome_2.678","Cluster_137","evm.TU.chromosome_2.678",-0.4,-0.4,-0.5,"3","3","3","5"
"110","Cluster_137_evm.TU.chromosome_3.1035","Cluster_137","evm.TU.chromosome_3.1035",-0.6,-0.4,0.5,"5","5","5","2"
"111","Cluster_137_evm.TU.chromosome_3.139","Cluster_137","evm.TU.chromosome_3.139",0.8,-0.8,-0.5,"2","2","2","3"
"112","Cluster_137_evm.TU.chromosome_3.1566","Cluster_137","evm.TU.chromosome_3.1566",0.4,0.2,0.5,"3","3","3","5"
"113","Cluster_137_evm.TU.chromosome_3.1717","Cluster_137","evm.TU.chromosome_3.1717",0.8,0.8,-0.5,"4","4","4","1"
"114","Cluster_137_evm.TU.chromosome_3.542","Cluster_137","evm.TU.chromosome_3.542",-0.2,-1,-0.5,"1","1","1","4"
"115","Cluster_137_evm.TU.chromosome_3.733","Cluster_137","evm.TU.chromosome_3.733",0.8,-0.6,-0.5,"2","2","2","3"
"116","Cluster_137_evm.TU.chromosome_3.980","Cluster_137","evm.TU.chromosome_3.980",-0.4,0.2,1,"5","5","5","2"
"117","Cluster_137_evm.TU.chromosome_4.1350","Cluster_137","evm.TU.chromosome_4.1350",0.2,-0.8,0.5,"1","1","1","4"
"118","Cluster_137_evm.TU.chromosome_4.2151","Cluster_137","evm.TU.chromosome_4.2151",-0.8,-0.4,-0.5,"3","3","3","5"
"119","Cluster_137_evm.TU.chromosome_4.2203","Cluster_137","evm.TU.chromosome_4.2203",0.8,0.4,-0.5,"2","2","2","3"
"120","Cluster_137_evm.TU.chromosome_4.2300","Cluster_137","evm.TU.chromosome_4.2300",-0.8,0.6,0.5,"5","5","5","2"
"121","Cluster_137_evm.TU.chromosome_4.831","Cluster_137","evm.TU.chromosome_4.831",0.4,0.6,0.866025403784439,"3","3","3","5"
