timepoint,n_nodes,n_edges,n_mirnas,n_mrnas,density,mean_degree,max_degree,mean_targets_per_mirna,mean_mirnas_per_mrna,n_components,largest_component,transitivity
TP0 (Feb),8957,22436,51,8906,2.796847405970155e-4,5.009713073573741,5126,439.921568627451,2.5192005389624974,1,8957,0
TP5 (June),8883,22311,51,8832,2.8277994473072256e-4,5.023302938196555,5087,437.47058823529414,2.5261548913043477,1,8883,0
TP7 (Aug),8751,21924,50,8701,2.863215632499143e-4,5.0106273568735,4897,438.48,2.5197103781174577,1,8751,0
